method	condition_id	label	stage	O2	feasible	agreement_score	spearman_expr_vs_flux	hi_expr_recall	flux_precision_hi_med	mcc_active_vs_expr	jaccard_active_vs_expr	n_flux_nonzero	n_gpr
eflux	01_trehalose	Trehalose	pre-infection	aerobic	True	0.574	0.1339	0.3525	0.9776	0.1603	0.3617	464	1045
eflux	01_trehalose	Trehalose	pre-infection	anaerobic	True	0.5702	0.1243	0.35	0.9829	0.1719	0.3583	465	1045
eflux	02_glycerol	Glycerol	pre-infection	aerobic	True	0.5769	0.1328	0.36	0.9776	0.1603	0.3617	469	1045
eflux	02_glycerol	Glycerol	pre-infection	anaerobic	True	0.4982	0.132	0.305	0.9822	0.145	0.2869	360	1045
eflux	03_palmitate	Palmitate (C16:0)	pre-infection	aerobic	True	0.5855	0.1077	0.3575	0.9758	0.1607	0.3758	482	1045
eflux	04_oleate	Oleate (C18:1)	pre-infection	aerobic	True	0.5786	0.1125	0.35	0.9781	0.1643	0.3699	482	1045
eflux	05_hexacosanoate	Hexacosanoate (C26)	pre-infection	aerobic	True	0.601	0.1171	0.3775	0.9817	0.1801	0.389	497	1045
eflux	06_glucose_low	Glucose (LOW, -1)	biotrophic	aerobic	True	0.5766	0.1381	0.3575	0.9804	0.1676	0.3631	463	1045
eflux	06_glucose_low	Glucose (LOW, -1)	biotrophic	anaerobic	True	0.5631	0.12	0.3425	0.9798	0.1621	0.3517	459	1045
eflux	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	aerobic	True	0.5806	0.1504	0.3625	0.9806	0.1691	0.3662	467	1045
eflux	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	anaerobic	True	0.5688	0.1266	0.35	0.98	0.1641	0.3558	463	1045
eflux	08_glutamate	L-Glutamate	biotrophic	aerobic	True	0.5811	0.1369	0.3675	0.975	0.1546	0.3634	477	1045
eflux	08_glutamate	L-Glutamate	biotrophic	anaerobic	True	0.482	0.1196	0.28	0.9817	0.1411	0.2786	351	1045
eflux	09_glutamine	L-Glutamine	biotrophic	aerobic	True	0.5778	0.1325	0.3625	0.9749	0.1536	0.3613	473	1045
eflux	09_glutamine	L-Glutamine	biotrophic	anaerobic	True	0.4784	0.1122	0.275	0.9815	0.1401	0.2765	351	1045
eflux	10_gaba	GABA	biotrophic	aerobic	True	0.5762	0.1358	0.36	0.9775	0.1598	0.3606	464	1045
eflux	11_galacturonate	D-Galacturonate	necrotrophic	aerobic	False	0.0	0.0	0.0	0.0	0.0	0.0	0	1045
eflux	11_galacturonate	D-Galacturonate	necrotrophic	anaerobic	False	0.0	0.0	0.0	0.0	0.0	0.0	0	1045
eflux	12_xylose	Xylose	necrotrophic	aerobic	True	0.5747	0.1297	0.3525	0.9777	0.1608	0.3627	464	1045
eflux	12_xylose	Xylose	necrotrophic	anaerobic	True	0.5738	0.1133	0.35	0.9804	0.1676	0.3631	474	1045
eflux	13_arabinose	L-Arabinose	necrotrophic	aerobic	True	0.5719	0.1135	0.345	0.9804	0.1676	0.3631	464	1045
eflux	14_maltose	Maltose (starch)	necrotrophic	aerobic	True	0.5766	0.1333	0.3575	0.9749	0.1541	0.3623	465	1045
eflux	14_maltose	Maltose (starch)	necrotrophic	anaerobic	True	0.5712	0.107	0.3525	0.9746	0.1515	0.3571	470	1045
eflux	15_mixed_aa	Mixed AAs + glc	necrotrophic	aerobic	True	0.5635	0.1163	0.355	0.9737	0.1454	0.3447	483	1045
eflux	15_mixed_aa	Mixed AAs + glc	necrotrophic	anaerobic	True	0.5445	0.0932	0.335	0.9725	0.1378	0.3292	458	1045
eflux	16_pre_infection_mix	Pre-infection mix	cocktail	aerobic	True	0.5802	0.1229	0.3525	0.9835	0.1783	0.3718	483	1045
eflux	16_pre_infection_mix	Pre-infection mix	cocktail	anaerobic	True	0.5733	0.1305	0.3525	0.9831	0.1734	0.3614	479	1045
eflux	17_biotrophic_mix	Biotrophic mix	cocktail	aerobic	True	0.5745	0.1254	0.35	0.975	0.1546	0.3634	475	1045
eflux	17_biotrophic_mix	Biotrophic mix	cocktail	anaerobic	True	0.5738	0.1396	0.3575	0.9802	0.1656	0.3589	475	1045
eflux	18_necrotrophic_mix	Necrotrophic mix	cocktail	aerobic	True	0.5765	0.1262	0.37	0.9717	0.1437	0.3547	496	1045
eflux	18_necrotrophic_mix	Necrotrophic mix	cocktail	anaerobic	True	0.5493	0.0865	0.3375	0.9729	0.1403	0.3344	478	1045
eflux	19_pdb_baseline	PDB (baseline)	biotrophic	aerobic	True	0.5871	0.1254	0.36	0.9785	0.1679	0.3772	502	1045
eflux	19_pdb_baseline	PDB (baseline)	biotrophic	anaerobic	True	0.5643	0.0986	0.3475	0.9769	0.1548	0.3503	482	1045
eflux	20_pdb_half	PDB (1/2 dilution)	biotrophic	aerobic	True	0.588	0.1206	0.3625	0.9785	0.1679	0.3772	505	1045
