method	condition_id	label	stage	O2	feasible	agreement_score	spearman_expr_vs_flux	hi_expr_recall	flux_precision_hi_med	mcc_active_vs_expr	jaccard_active_vs_expr	n_flux_nonzero	n_gpr	spearman_expr_vs_flux_rn	hi_expr_recall_rn	flux_precision_hi_med_rn	mcc_active_vs_expr_rn	composite
pfba	02_glycerol	Glycerol	pre-infection	anaerobic	True	0.4991	0.1363	0.305	0.9823	0.1455	0.2879	357	1045	0.5734265734265734	0.03146853146853147	0.6993006993006993	0.0979020979020979	0.3505
pfba	03_palmitate	Palmitate (C16:0)	pre-infection	aerobic	True	0.5855	0.1209	0.3575	0.9784	0.1674	0.3762	481	1045	0.2517482517482518	0.3741258741258741	0.3986013986013986	0.36713286713286714	0.3479
pfba	04_oleate	Oleate (C18:1)	pre-infection	aerobic	True	0.5802	0.1098	0.3525	0.9781	0.1648	0.371	485	1045	0.08391608391608392	0.22727272727272727	0.3706293706293706	0.32867132867132864	0.2526
pfba	05_hexacosanoate	Hexacosanoate (C26)	pre-infection	aerobic	True	0.6026	0.1235	0.38	0.9843	0.1872	0.3904	497	1045	0.3076923076923077	0.7027972027972028	0.7902097902097902	0.7202797202797203	0.6302
pfba	06_glucose_low	Glucose (LOW, -1)	biotrophic	aerobic	True	0.5776	0.1426	0.36	0.9777	0.1608	0.3627	463	1045	0.6328671328671329	0.44405594405594406	0.32867132867132864	0.2727272727272727	0.4196
pfba	06_glucose_low	Glucose (LOW, -1)	biotrophic	anaerobic	True	0.5691	0.1362	0.3525	0.9828	0.1704	0.3551	460	1045	0.5664335664335665	0.22727272727272727	0.7167832167832168	0.493006993006993	0.5009
pfba	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	aerobic	True	0.5799	0.1505	0.3625	0.9778	0.1618	0.3648	467	1045	0.7062937062937062	0.5244755244755245	0.34615384615384615	0.2937062937062937	0.4677
pfba	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	anaerobic	True	0.5698	0.1323	0.3525	0.9828	0.1709	0.3562	463	1045	0.47202797202797203	0.22727272727272727	0.7167832167832168	0.5034965034965035	0.4799
pfba	08_glutamate	L-Glutamate	biotrophic	aerobic	True	0.5795	0.1323	0.365	0.9804	0.1676	0.3631	472	1045	0.47202797202797203	0.583916083916084	0.5804195804195804	0.3951048951048951	0.5079
pfba	09_glutamine	L-Glutamine	biotrophic	aerobic	True	0.5792	0.1309	0.3625	0.9804	0.1681	0.3641	476	1045	0.44755244755244755	0.5244755244755245	0.5804195804195804	0.4405594405594406	0.4983
pfba	10_gaba	GABA	biotrophic	aerobic	True	0.5757	0.1316	0.3625	0.9719	0.1453	0.3578	467	1045	0.45454545454545453	0.5244755244755245	0.03496503496503497	0.07692307692307693	0.2727
pfba	11_galacturonate	D-Galacturonate	necrotrophic	aerobic	True	0.5787	0.1219	0.36	0.9751	0.1556	0.3654	477	1045	0.26573426573426573	0.44405594405594406	0.15384615384615385	0.1888111888111888	0.2631
pfba	11_galacturonate	D-Galacturonate	necrotrophic	anaerobic	True	0.574	0.111	0.355	0.9776	0.1603	0.3617	477	1045	0.09090909090909091	0.3111888111888112	0.3041958041958042	0.24125874125874125	0.2369
pfba	12_xylose	Xylose	necrotrophic	aerobic	True	0.5747	0.1256	0.3525	0.9777	0.1608	0.3627	464	1045	0.34965034965034963	0.22727272727272727	0.32867132867132864	0.2727272727272727	0.2946
pfba	12_xylose	Xylose	necrotrophic	anaerobic	True	0.5747	0.1203	0.3525	0.9831	0.1743	0.3634	473	1045	0.22377622377622378	0.22727272727272727	0.7482517482517482	0.5384615384615384	0.4344
pfba	13_arabinose	L-Arabinose	necrotrophic	aerobic	True	0.5728	0.1231	0.3475	0.9804	0.1676	0.3631	466	1045	0.27972027972027974	0.13286713286713286	0.5804195804195804	0.3951048951048951	0.347
pfba	14_maltose	Maltose (starch)	necrotrophic	aerobic	True	0.5789	0.1342	0.36	0.9751	0.1551	0.3644	469	1045	0.5384615384615384	0.44405594405594406	0.15384615384615385	0.18181818181818182	0.3295
pfba	14_maltose	Maltose (starch)	necrotrophic	anaerobic	True	0.5738	0.1243	0.3575	0.9774	0.1588	0.3585	469	1045	0.32517482517482516	0.3741258741258741	0.2727272727272727	0.21678321678321677	0.2972
pfba	15_mixed_aa	Mixed AAs + glc	necrotrophic	aerobic	True	0.5635	0.117	0.355	0.9737	0.1454	0.3447	483	1045	0.17482517482517482	0.3111888111888112	0.08741258741258741	0.08741258741258741	0.1652
pfba	15_mixed_aa	Mixed AAs + glc	necrotrophic	anaerobic	True	0.5455	0.0991	0.3375	0.9725	0.1378	0.3292	458	1045	0.03496503496503497	0.08041958041958042	0.05244755244755245	0.017482517482517484	0.0463
pfba	16_pre_infection_mix	Pre-infection mix	cocktail	aerobic	True	0.5812	0.1234	0.355	0.9835	0.1783	0.3718	483	1045	0.2937062937062937	0.3111888111888112	0.7762237762237763	0.5699300699300699	0.4878
pfba	16_pre_infection_mix	Pre-infection mix	cocktail	anaerobic	True	0.5743	0.1307	0.355	0.9831	0.1734	0.3614	479	1045	0.4405594405594406	0.3111888111888112	0.7482517482517482	0.527972027972028	0.507
pfba	17_biotrophic_mix	Biotrophic mix	cocktail	aerobic	True	0.5784	0.1334	0.355	0.9833	0.1763	0.3676	476	1045	0.5174825174825175	0.3111888111888112	0.7622377622377622	0.5524475524475524	0.5358
pfba	17_biotrophic_mix	Biotrophic mix	cocktail	anaerobic	True	0.5757	0.1423	0.3625	0.9802	0.1656	0.3589	477	1045	0.6223776223776224	0.5244755244755245	0.534965034965035	0.33916083916083917	0.5052
pfba	18_necrotrophic_mix	Necrotrophic mix	cocktail	aerobic	True	0.5762	0.1126	0.37	0.9663	0.1307	0.355	504	1045	0.11188811188811189	0.6468531468531469	0.006993006993006993	0.0	0.1914
pfba	18_necrotrophic_mix	Necrotrophic mix	cocktail	anaerobic	True	0.5501	0.0907	0.34	0.9701	0.1339	0.3351	478	1045	0.006993006993006993	0.0979020979020979	0.013986013986013986	0.006993006993006993	0.0315
pfba	19_pdb_baseline	PDB (baseline)	biotrophic	aerobic	True	0.5884	0.1151	0.3625	0.9786	0.1689	0.3793	505	1045	0.13636363636363635	0.5244755244755245	0.42657342657342656	0.46503496503496505	0.3881
pfba	19_pdb_baseline	PDB (baseline)	biotrophic	anaerobic	True	0.5652	0.1024	0.3525	0.9769	0.1548	0.3503	484	1045	0.04895104895104895	0.22727272727272727	0.22377622377622378	0.16783216783216784	0.167
pfba	20_pdb_half	PDB (1/2 dilution)	biotrophic	aerobic	True	0.5884	0.1167	0.3625	0.9786	0.1689	0.3793	505	1045	0.16783216783216784	0.5244755244755245	0.42657342657342656	0.46503496503496505	0.396
pfba	20_pdb_half	PDB (1/2 dilution)	biotrophic	anaerobic	True	0.5652	0.1044	0.3525	0.9769	0.1548	0.3503	482	1045	0.055944055944055944	0.22727272727272727	0.22377622377622378	0.16783216783216784	0.1687
pfba	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	aerobic	True	0.5878	0.1166	0.3625	0.9759	0.1617	0.3778	503	1045	0.16083916083916083	0.5244755244755245	0.1958041958041958	0.2867132867132867	0.292
pfba	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	anaerobic	True	0.5294	0.1068	0.32	0.9808	0.1527	0.3178	426	1045	0.06293706293706294	0.055944055944055944	0.6363636363636364	0.11888111888111888	0.2185
