gene	ko_id	uniprot_chig_id	logFC_half_vs_PDA	adjP_half_vs_PDA	logFC_onetenth_vs_PDA	adjP_onetenth_vs_PDA	logFC_onetenth_vs_half	adjP_onetenth_vs_half	sig_half_vs_PDA	sig_onetenth_vs_PDA	sig_onetenth_vs_half
gene_12607	K00128	tr|A0A1B7Y5F9|A0A1B7Y5F9_COLHI	-0.1716	0.6961	-1.1894	0.0022	-1.0178	0.0039	False	True	True
gene_12874	K01900	tr|H1VP37|H1VP37_COLHI	-0.3538	0.2201	-0.0181	0.938	0.3357	0.1157	False	False	False
gene_1950	K01892	tr|A0A1B7YTT8|A0A1B7YTT8_COLHI	0.5331	0.1874	-0.1855	0.5469	-0.7186	0.024	False	False	False
gene_7927	K00948	tr|A0A1B7Y2P2|A0A1B7Y2P2_COLHI	0.8715	0.0793	1.2464	0.0042	0.3749	0.2915	False	True	False
gene_11813	K17819	tr|A0A1B7Y792|A0A1B7Y792_COLHI	0.3864	0.5545	0.5721	0.2102	0.1858	0.6994	False	False	False
gene_1757	K21456	tr|A0A1B7YPJ0|A0A1B7YPJ0_COLHI	0.2089	0.6027	-1.287	0.0009	-1.4959	0.0003	False	True	True
gene_4705		tr|H1VIJ6|H1VIJ6_COLHI	0.3563	0.7743	3.0234	0.003	2.6671	0.0049	False	True	True
gene_10255	K00234	tr|A0A1B7YTR8|A0A1B7YTR8_COLHI	-0.0589	0.9102	-0.0178	0.9573	0.0411	0.9055	False	False	False
gene_6824	K00763	tr|A0A1B7YEE2|A0A1B7YEE2_COLHI	0.1495	0.771	-1.1653	0.0043	-1.3148	0.0017	False	True	True
gene_7762	K00797	tr|A0A1B7Y5T7|A0A1B7Y5T7_COLHI	0.0625	0.8837	0.4555	0.0853	0.393	0.1312	False	False	False
gene_5898	K01869	tr|A0A1B7Y343|A0A1B7Y343_COLHI	0.6289	0.0611	0.4477	0.0611	-0.1813	0.4402	False	False	False
gene_8784	K25880	tr|H1UVF3|H1UVF3_COLHI	-0.367	0.4132	-0.1392	0.678	0.2278	0.4795	False	False	False
gene_2689	K00549	tr|A0A1B7YUL4|A0A1B7YUL4_COLHI	-0.0029	0.9925	-0.1585	0.5769	-0.1556	0.5819	False	False	False
gene_4003	K10401	tr|H1V4K4|H1V4K4_COLHI	-0.6562	0.646					False	False	False
gene_3527	K16302	tr|H1VWI4|H1VWI4_COLHI	0.3963	0.3497	0.2219	0.4842	-0.1744	0.5797	False	False	False
gene_1542	K01952	tr|A0A1B7YIX1|A0A1B7YIX1_COLHI	0.1342	0.6962	-0.2959	0.2102	-0.4301	0.073	False	False	False
gene_8746	K00939	tr|A0A1B7XUX6|A0A1B7XUX6_COLHI	-0.0208	0.9664	-0.8411	0.0094	-0.8203	0.0101	False	False	False
gene_6154	K01115	tr|A0A1B7Y6L5|A0A1B7Y6L5_COLHI	0.4374	0.7728	-0.7322	0.4762	-1.1696	0.2351	False	False	False
gene_8310	K00143	tr|H1VSI0|H1VSI0_COLHI	0.5033	0.1087	0.7873	0.0044	0.284	0.2109	False	False	False
gene_8846	K00868	tr|A0A1B7YTS4|A0A1B7YTS4_COLHI	0.688	0.2506	-0.0861	0.8649	-0.7741	0.0849	False	False	False
gene_7697	K02135	tr|H1VL64|H1VL64_COLHI					0.5222	0.5995	False	False	False
gene_7923	K00767	tr|A0A1B7Y8C7|A0A1B7Y8C7_COLHI	0.1427	0.7323	0.085	0.7792	-0.0577	0.8515	False	False	False
gene_4658	K22438	tr|A0A1B7YDS1|A0A1B7YDS1_COLHI	-0.502	0.3229	-0.7363	0.0648	-0.2343	0.5568	False	False	False
gene_9972	K01942	tr|A0A1B7YFY7|A0A1B7YFY7_COLHI	0.0753	0.9397	1.1983	0.0432	1.123	0.055	False	True	False
