gene	ko_id	uniprot_chig_id	logFC_half_vs_PDA	adjP_half_vs_PDA	logFC_onetenth_vs_PDA	adjP_onetenth_vs_PDA	logFC_onetenth_vs_half	adjP_onetenth_vs_half	sig_half_vs_PDA	sig_onetenth_vs_PDA	sig_onetenth_vs_half
gene_12737	K00140	tr|A0A1B7YU25|A0A1B7YU25_COLHI	-0.1707	0.6627	-0.7402	0.0124	-0.5695	0.0403	False	False	False
gene_7786		tr|A0A1B7YIP9|A0A1B7YIP9_COLHI	0.7881	0.1827	-1.3159	0.0179	-2.1039	0.0015	False	True	True
gene_1247	K23114	tr|H1VZ75|H1VZ75_COLHI	0.2609	0.5959	-0.281	0.4169	-0.5419	0.111	False	False	False
gene_11182	K00053	tr|A0A1B7Y6W4|A0A1B7Y6W4_COLHI	-0.0685	0.8693	0.3662	0.1501	0.4347	0.09	False	False	False
gene_12325	K15633	tr|A0A1B7YVW2|A0A1B7YVW2_COLHI	-0.0516	0.9423	-1.827	0.0015	-1.7754	0.0012	False	True	True
gene_954	K01647	tr|H1UVB0|H1UVB0_COLHI	0.5678	0.2365	0.4924	0.1653	-0.0754	0.8472	False	False	False
gene_2303	K22832	tr|A0A1B7XX19|A0A1B7XX19_COLHI	-0.9044	0.4187	-2.598	0.0124	-1.6936	0.0722	False	True	False
gene_5507	K12662	tr|H1W5V4|H1W5V4_COLHI	0.4653	0.516	-0.1354	0.8083	-0.6008	0.2264	False	False	False
gene_9714	K03935	tr|H1VB49|H1VB49_COLHI	-0.5005	0.2421	0.863	0.0134	1.3635	0.001	False	False	True
gene_1620	K01850	tr|A0A1B7YAT7|A0A1B7YAT7_COLHI	0.4814	0.358	-0.2106	0.5909	-0.692	0.0735	False	False	False
gene_431		tr|A0A1B7XZ74|A0A1B7XZ74_COLHI	0.7374	0.0448	0.6503	0.0168	-0.0871	0.743	False	False	False
gene_3442	K17583	tr|H1UVK3|H1UVK3_COLHI	-0.0942	0.8458	-0.669	0.0362	-0.5748	0.0653	False	False	False
gene_1035	K24104	tr|H1UYJ3|H1UYJ3_COLHI	-0.0324	0.9573	-0.1148	0.7751	-0.0823	0.8377	False	False	False
gene_5687	K06173	tr|H1VP93|H1VP93_COLHI	0.3147	0.4881	-0.0858	0.8111	-0.4005	0.2074	False	False	False
gene_47	K03671	tr|A0A1B7XRH0|A0A1B7XRH0_COLHI	0.157	0.7433	-0.6544	0.0473	-0.8114	0.0182	False	False	False
gene_319	K01067	tr|H1V5D8|H1V5D8_COLHI	0.6975	0.3536	-0.3775	0.5006	-1.075	0.0544	False	False	False
gene_11438	K01738	tr|A0A1B7YDH3|A0A1B7YDH3_COLHI	0.1666	0.9009					False	False	False
gene_10776	K01867	tr|A0A1B7YL93|A0A1B7YL93_COLHI	0.0975	0.7827	-0.1458	0.5403	-0.2434	0.2883	False	False	False
gene_1695	K22278	tr|H1VTS0|H1VTS0_COLHI	-0.1946	0.8947	-3.0782	0.0043	-2.8836	0.0051	False	True	True
gene_9465		tr|A0A1B7YCE2|A0A1B7YCE2_COLHI	0.4169	0.3924	-0.0628	0.8738	-0.4797	0.165	False	False	False
gene_10982		tr|A0A1B7Y7D8|A0A1B7Y7D8_COLHI	-0.718	0.4269	0.2559	0.7085	0.9739	0.1297	False	False	False
gene_83	K01810	tr|A0A1B7XRA1|A0A1B7XRA1_COLHI	-0.5739	0.3231	-1.484	0.0039	-0.9101	0.0376	False	True	False
gene_12865	K00668	tr|H1VYE2|H1VYE2_COLHI	2.1069	0.0428	-1.3653	0.0582	-3.4722	0.0004	True	False	True
gene_2265	K10392	tr|A0A1B7Y5X8|A0A1B7Y5X8_COLHI	0.6716	0.2341					False	False	False
gene_1181	K00276	tr|A0A1B7YM44|A0A1B7YM44_COLHI	-0.3051	0.4933					False	False	False
gene_4384	K11292	tr|A0A1B7Y678|A0A1B7Y678_COLHI	0.2953	0.4242	0.2059	0.445	-0.0894	0.7491	False	False	False
gene_4118		tr|A0A1B7YUE5|A0A1B7YUE5_COLHI	-0.0518	0.9114	-0.5105	0.0674	-0.4587	0.0975	False	False	False
gene_378		tr|H1VX26|H1VX26_COLHI	1.2864	0.0622	0.4995	0.3097	-0.7869	0.1075	False	False	False
gene_9205	K04718	tr|H1V3Q7|H1V3Q7_COLHI	0.4149	0.6886	-1.8027	0.0252	-2.2175	0.009	False	True	True
gene_5145	K00111	tr|A0A1B7Y3S0|A0A1B7Y3S0_COLHI	0.3706	0.3711	2.288	0.0	1.9175	0.0001	False	True	True
gene_7509	K01637	tr|A0A1B7Y5Y9|A0A1B7Y5Y9_COLHI	0.6738	0.0734	-0.541	0.0513	-1.2147	0.0008	False	False	True
gene_919	K01923	tr|H1UWU9|H1UWU9_COLHI	0.2081	0.669	-0.3875	0.2468	-0.5956	0.078	False	False	False
gene_3583	K00128	tr|A0A1B7Y2H1|A0A1B7Y2H1_COLHI	0.6642	0.1047	-1.084	0.0034	-1.7482	0.0002	False	True	True
gene_4419	K01881	tr|A0A1B7XRR2|A0A1B7XRR2_COLHI	-0.1541	0.6059	0.2539	0.221	0.408	0.054	False	False	False
gene_1284	K00026	tr|A0A1B7YPE8|A0A1B7YPE8_COLHI	-0.4226	0.4606	-1.5035	0.003	-1.0809	0.0143	False	True	True
gene_2297		tr|A0A1B7Y3C8|A0A1B7Y3C8_COLHI	0.0869	0.8793	0.0842	0.8311	-0.0027	0.9954	False	False	False
gene_2859	K01045	tr|H1UVI3|H1UVI3_COLHI	-0.8557	0.3103					False	False	False
gene_12956		tr|A0A1B7Y973|A0A1B7Y973_COLHI	0.3114	0.3497	-0.2126	0.3849	-0.524	0.0367	False	False	False
gene_6939	K03781	tr|H1UZ49|H1UZ49_COLHI	0.0637	0.8826	-0.732	0.0122	-0.7957	0.0074	False	False	False
gene_10876	K01881	tr|A0A1B7YVI0|A0A1B7YVI0_COLHI	0.6335	0.4148	-0.206	0.7294	-0.8395	0.1282	False	False	False
gene_5784	K05351	tr|A0A1B7YC54|A0A1B7YC54_COLHI	0.368	0.4692	0.3765	0.3006	0.0084	0.9838	False	False	False
gene_2093	K01692	tr|H1VKZ5|H1VKZ5_COLHI	-0.1558	0.6775	-0.0688	0.809	0.087	0.7491	False	False	False
gene_892	K01077	tr|A0A1B7YMJ8|A0A1B7YMJ8_COLHI	-0.5255	0.6299	-0.8786	0.2482	-0.353	0.654	False	False	False
gene_2245		tr|A0A1B7Y2N8|A0A1B7Y2N8_COLHI	0.1741	0.8458	-1.1806	0.044	-1.3547	0.0242	False	True	True
gene_5252		tr|A0A1B7YJU4|A0A1B7YJU4_COLHI	0.3872	0.5318	-0.0368	0.938	-0.424	0.3254	False	False	False
gene_3840	K00814	tr|H1VJV5|H1VJV5_COLHI	0.5866	0.3717	-1.1636	0.0217	-1.7502	0.0024	False	True	True
gene_7984	K22337	tr|A0A1B7XXF9|A0A1B7XXF9_COLHI	0.145	0.6739	-0.3698	0.1187	-0.5148	0.0364	False	False	False
gene_8684	K00809	tr|A0A1B7Y2B5|A0A1B7Y2B5_COLHI	1.0248	0.075	-0.6748	0.1238	-1.6996	0.0019	False	False	True
gene_5005	K01755	tr|A0A1B7XZH6|A0A1B7XZH6_COLHI	-0.1753	0.7216	-0.5	0.1302	-0.3247	0.3206	False	False	False
gene_12907	K13519	tr|H1W1J4|H1W1J4_COLHI	0.4389	0.5454	0.6646	0.1882	0.2257	0.6678	False	False	False
gene_9399	K01673	tr|H1W0G5|H1W0G5_COLHI	-1.3002	0.2897	-1.3625	0.1302	-0.0623	0.9552	False	False	False
gene_11623	K00817	tr|H1W3J6|H1W3J6_COLHI	2.0927	0.066	0.1278	0.8895	-1.9648	0.0144	False	False	True
gene_9816	K15378	tr|H1VB29|H1VB29_COLHI							False	False	False
gene_4436	K13501	tr|A0A1B7YP30|A0A1B7YP30_COLHI	-0.1154	0.7555	-0.0542	0.8438	0.0612	0.8181	False	False	False
gene_11280	K01537	tr|A0A1B7XSY3|A0A1B7XSY3_COLHI	-0.2694	0.9038					False	False	False
gene_313	K00667	tr|H1VYE0|H1VYE0_COLHI	1.9066	0.1998	-2.6167	0.025	-4.5233	0.0013	False	True	True
gene_11548	K06674	tr|A0A1B7YK96|A0A1B7YK96_COLHI	0.5799	0.2907	0.5646	0.1842	-0.0153	0.9757	False	False	False
gene_9836	K01621	tr|A0A1B7YRH4|A0A1B7YRH4_COLHI	0.0841	0.8737	-0.9501	0.0096	-1.0342	0.0057	False	False	True
gene_3061	K00381	tr|H1V672|H1V672_COLHI	0.4023	0.3378	-0.2855	0.3507	-0.6877	0.0305	False	False	False
gene_8889	K01663	tr|A0A1B7Y6R9|A0A1B7Y6R9_COLHI	0.4613	0.4799	0.1432	0.7775	-0.3181	0.4976	False	False	False
gene_9929	K01940	tr|A0A1B7YEC3|A0A1B7YEC3_COLHI	0.2514	0.423	0.2323	0.3013	-0.0191	0.9434	False	False	False
gene_11978	K00820	tr|H1VN27|H1VN27_COLHI	-0.567	0.2047	-0.7	0.0406	-0.133	0.7027	False	False	False
gene_6981	K00600	tr|H1VV04|H1VV04_COLHI	0.5846	0.2027	0.0846	0.8241	-0.5	0.1393	False	False	False
gene_1637	K14284	tr|A0A1B7YUP4|A0A1B7YUP4_COLHI	1.2136	0.046					True	False	False
gene_2491	K00819	tr|H1VU98|H1VU98_COLHI	-1.0884	0.1007	-2.1336	0.0011	-1.0452	0.0373	False	True	True
gene_8616	K00467	tr|H1VWA4|H1VWA4_COLHI	-0.5426	0.2212	-0.7047	0.0393	-0.1621	0.6336	False	False	False
gene_1196	K01866	tr|H1VGY1|H1VGY1_COLHI	-0.4264	0.1779	-0.842	0.0036	-0.4156	0.0811	False	False	False
gene_2294	K12196	tr|H1W1P2|H1W1P2_COLHI	-0.1047	0.8489	0.3466	0.3188	0.4513	0.1863	False	False	False
gene_6768	K15105	tr|A0A1B7YJY9|A0A1B7YJY9_COLHI	0.6366	0.1318	0.8518	0.0134	0.2152	0.4976	False	False	False
gene_1507	K05285	tr|A0A1B7YJH3|A0A1B7YJH3_COLHI	0.8782	0.2818					False	False	False
gene_980	K22531	tr|A0A1B7YQ77|A0A1B7YQ77_COLHI	0.0069	0.9856	-0.1986	0.405	-0.2055	0.3801	False	False	False
gene_10955		tr|H1VS02|H1VS02_COLHI	-0.1526	0.6293	-0.4286	0.0568	-0.276	0.2023	False	False	False
gene_10506	K01621	tr|A0A1B7YVR0|A0A1B7YVR0_COLHI	0.0543	0.9672	-4.0177	0.0005	-4.072	0.0003	False	True	True
gene_6703		tr|H1VSX6|H1VSX6_COLHI	0.0583	0.9213	0.0198	0.9569	-0.0385	0.9207	False	False	False
gene_174		tr|A0A1B7YDR2|A0A1B7YDR2_COLHI	0.2668	0.7095	-0.9089	0.066	-1.1757	0.0228	False	False	True
gene_3484	K00611	tr|H1W452|H1W452_COLHI	-0.1994	0.7554	0.0553	0.9105	0.2548	0.557	False	False	False
gene_1133	K01784	tr|H1VXG9|H1VXG9_COLHI	0.0693	0.9138	-0.9826	0.0166	-1.0519	0.0113	False	False	True
gene_4094	K01476	tr|A0A1B7Y0N5|A0A1B7Y0N5_COLHI	-1.0237	0.2212	-2.0179	0.0058	-0.9942	0.1097	False	True	False
gene_885	K02437	tr|H1VUV5|H1VUV5_COLHI	-0.3603	0.6933	0.1396	0.842	0.4999	0.4249	False	False	False
gene_8206	K01070	tr|H1V9B4|H1V9B4_COLHI	0.2591	0.4507	-0.5812	0.025	-0.8403	0.0036	False	False	False
gene_10554	K00326	tr|H1VL01|H1VL01_COLHI	-0.0232	0.9539	-0.0372	0.8967	-0.014	0.9622	False	False	False
gene_6685	K00135	tr|H1VE82|H1VE82_COLHI	-0.2814	0.5503	-1.0018	0.0077	-0.7204	0.0355	False	True	False
gene_12086	K00826	tr|H1UWE4|H1UWE4_COLHI	-2.2342	0.0148	-0.8832	0.1102	1.351	0.0213	True	False	True
gene_6997	K03365	tr|A0A1B7YU36|A0A1B7YU36_COLHI	0.806	0.2726	0.0644	0.9199	-0.7417	0.1908	False	False	False
gene_2406	K01638	tr|H1V9W2|H1V9W2_COLHI	0.5668	0.3305	-2.1368	0.0005	-2.7035	0.0001	False	True	True
gene_8831	K14454	tr|A0A1B7YKM6|A0A1B7YKM6_COLHI	-0.2015	0.6051	-0.066	0.8274	0.1356	0.6261	False	False	False
gene_780	K25004	tr|H1VMU2|H1VMU2_COLHI	0.4389	0.5831	-0.6311	0.3285	-1.07	0.099	False	False	False
gene_5937	K00288	tr|A0A1B7Y773|A0A1B7Y773_COLHI	-0.0968	0.8384	-1.0333	0.0044	-0.9365	0.0065	False	True	False
gene_4508	K16369	tr|A0A1B7YAF9|A0A1B7YAF9_COLHI	0.1486	0.8314	0.0862	0.8657	-0.0623	0.901	False	False	False
gene_3742	K00505	tr|A0A1B7Y3U5|A0A1B7Y3U5_COLHI	-3.7479	0.0185	-3.1907	0.0075	0.5572	0.5969	True	True	False
gene_11668	K00761	tr|H1VW77|H1VW77_COLHI	-0.416	0.2413	-0.2525	0.3431	0.1635	0.5435	False	False	False
gene_8048	K13507	tr|A0A1B7YBD8|A0A1B7YBD8_COLHI	0.8336	0.0608	0.8846	0.0102	0.0509	0.8833	False	False	False
gene_3566	K00826	tr|A0A1B7XXE5|A0A1B7XXE5_COLHI	-0.1959	0.6612	-1.3521	0.0011	-1.1563	0.0021	False	True	True
gene_3295	K00860	tr|A0A1B7YV75|A0A1B7YV75_COLHI	1.1509	0.1547	0.1681	0.8013	-0.9828	0.1045	False	False	False
gene_8476	K15728	tr|A0A1B7YDJ6|A0A1B7YDJ6_COLHI	-0.1496	0.7677	0.4399	0.1855	0.5894	0.0805	False	False	False
gene_1739		tr|H1UV44|H1UV44_COLHI	-0.9739	0.205	2.3399	0.0018	3.3138	0.0002	False	True	True
gene_2694	K01194	tr|A0A1B7Y5Z3|A0A1B7Y5Z3_COLHI	0.5434	0.2554	0.5817	0.1023	0.0383	0.9247	False	False	False
gene_4570	K01634	tr|H1V3V8|H1V3V8_COLHI	0.0484	0.9423	-0.9472	0.0268	-0.9956	0.0211	False	False	False
gene_1480	K05824	tr|A0A1B7YF16|A0A1B7YF16_COLHI	0.2039	0.6901	-0.3673	0.2962	-0.5711	0.1038	False	False	False
gene_11239	K01874	tr|A0A1B7YIA5|A0A1B7YIA5_COLHI							False	False	False
gene_12477	K00217	tr|A0A1B7XT99|A0A1B7XT99_COLHI	0.2786	0.479	-0.1069	0.7214	-0.3854	0.164	False	False	False
gene_5750	K01092	tr|A0A1B7YB36|A0A1B7YB36_COLHI	0.7633	0.2625	0.2973	0.5652	-0.466	0.3519	False	False	False
gene_11855	K01740	tr|H1W1Y6|H1W1Y6_COLHI	-0.9939	0.0583	-1.2019	0.0051	-0.2079	0.5733	False	True	False
gene_5781	K01638	tr|A0A1B7Y9R0|A0A1B7Y9R0_COLHI	0.703	0.0734	-0.0258	0.9335	-0.7288	0.0168	False	False	False
gene_6132	K01115	tr|A0A1B7YL18|A0A1B7YL18_COLHI	-0.0246	0.9429	0.1611	0.446	0.1857	0.368	False	False	False
gene_6205	K03841	tr|H1VSX4|H1VSX4_COLHI	0.0635	0.9397	-1.4125	0.0096	-1.476	0.0071	False	True	True
gene_6735	K13333	tr|A0A1B7YE64|A0A1B7YE64_COLHI	-2.073	0.1118	-2.6056	0.0134	-0.5327	0.5881	False	True	False
gene_2958	K00062	tr|H1VQE0|H1VQE0_COLHI	0.162	0.8489	-0.4226	0.4399	-0.5846	0.2404	False	False	False
gene_3264	K02865	tr|H1VGZ1|H1VGZ1_COLHI	0.2033	0.5824	0.0768	0.7834	-0.1265	0.6313	False	False	False
gene_2710	K08683	tr|H1VM78|H1VM78_COLHI	0.2113	0.5503	0.1726	0.4958	-0.0388	0.8887	False	False	False
gene_7878	K20457	tr|A0A1B7Y545|A0A1B7Y545_COLHI	-0.7703	0.6258	4.8643	0.0022	5.6346	0.0008	False	True	True
gene_4606	K00621	tr|H1UZK0|H1UZK0_COLHI	0.3668	0.6612	-1.4324	0.0199	-1.7992	0.0059	False	True	True
gene_11775	K01754	tr|H1VTD2|H1VTD2_COLHI	0.3408	0.7057	-0.9195	0.1348	-1.2604	0.046	False	False	True
gene_11435	K01735	tr|A0A1B7YK84|A0A1B7YK84_COLHI							False	False	False
gene_2984	K12275	tr|H1VPM7|H1VPM7_COLHI	-0.0975	0.8899	2.6072	0.0002	2.7047	0.0001	False	True	True
gene_5179	K01702	tr|A0A1B7YAW0|A0A1B7YAW0_COLHI	0.6095	0.0401	-0.1913	0.3389	-0.8008	0.0014	False	False	False
gene_1017	K00728	tr|A0A1B7XUW0|A0A1B7XUW0_COLHI	0.199	0.8005	2.077	0.0022	1.8781	0.0028	False	True	True
gene_11823	K01899	tr|H1VPP7|H1VPP7_COLHI	0.1433	0.7419	0.4201	0.1478	0.2768	0.3362	False	False	False
gene_9490	K00938	tr|A0A1B7YKX5|A0A1B7YKX5_COLHI	-0.2739	0.5292	-1.1236	0.0031	-0.8497	0.0114	False	True	False
gene_11513	K01490	tr|H1W214|H1W214_COLHI	0.2862	0.4276	0.195	0.4582	-0.0912	0.7377	False	False	False
gene_10704		tr|A0A1B7YPH3|A0A1B7YPH3_COLHI	0.2949	0.6032	-0.815	0.044	-1.11	0.0104	False	False	True
gene_99	K01875	tr|H1VTS5|H1VTS5_COLHI	0.5814	0.3104	0.413	0.3254	-0.1684	0.7012	False	False	False
gene_2665	K00863	tr|H1VS18|H1VS18_COLHI	1.1744	0.3107	-2.3247	0.0124	-3.4991	0.0012	False	True	True
gene_8032	K02269	tr|H1V2R9|H1V2R9_COLHI							False	False	False
gene_4385	K02144	tr|H1V0D2|H1V0D2_COLHI	-0.1579	0.6948	-0.4497	0.1039	-0.2918	0.283	False	False	False
gene_610		tr|A0A1B7Y633|A0A1B7Y633_COLHI	-0.4715	0.1845	-0.1617	0.5507	0.3098	0.2351	False	False	False
gene_10190	K01637	tr|A0A1B7Y822|A0A1B7Y822_COLHI	0.0571	0.885	0.1838	0.4603	0.1267	0.6135	False	False	False
gene_12988	K01489	tr|H1VF72|H1VF72_COLHI	-0.3212	0.4743	-1.4204	0.0011	-1.0992	0.0036	False	True	True
gene_187	K01426	tr|H1VM31|H1VM31_COLHI	0.1396	0.7862					False	False	False
gene_1340	K06210	tr|A0A1B7XXD1|A0A1B7XXD1_COLHI	0.1688	0.885	-1.3023	0.0747	-1.471	0.0473	False	False	True
gene_5491	K00290	tr|A0A1B7YDF0|A0A1B7YDF0_COLHI	0.5434	0.3059	0.8095	0.0425	0.2661	0.495	False	False	False
gene_10116	K03564	tr|A0A1B7Y557|A0A1B7Y557_COLHI	0.0516	0.8966	0.8347	0.0042	0.7831	0.0049	False	False	False
gene_1886	K01883	tr|A0A1B7YHR5|A0A1B7YHR5_COLHI	0.418	0.2091	-0.3637	0.1399	-0.7816	0.0056	False	False	False
gene_463		tr|A0A1B7XUM7|A0A1B7XUM7_COLHI	-0.5669	0.3122	-0.471	0.2498	0.0958	0.8299	False	False	False
gene_1773	K02133	tr|H1VA88|H1VA88_COLHI	0.3237	0.5931	-1.3467	0.006	-1.6704	0.0015	False	True	True
gene_8096	K00383	tr|A0A1B7Y2Q3|A0A1B7Y2Q3_COLHI	0.0666	0.8757	-0.254	0.3427	-0.3206	0.2197	False	False	False
gene_12313	K00940	tr|A0A1B7YHM5|A0A1B7YHM5_COLHI	-0.2344	0.6104	0.3797	0.2367	0.6141	0.0598	False	False	False
gene_4876	K14264	tr|H1V8J1|H1V8J1_COLHI	0.6819	0.2081	-0.1013	0.8206	-0.7832	0.0552	False	False	False
gene_12711	K17743	tr|H1VH13|H1VH13_COLHI	-0.2539	0.7445	1.3997	0.0139	1.6536	0.0055	False	True	True
gene_5498	K00872	tr|A0A1B7Y4U0|A0A1B7Y4U0_COLHI	0.3779	0.5318	1.2005	0.0109	0.8227	0.0572	False	True	False
gene_7011		tr|H1UZL4|H1UZL4_COLHI	-0.1452	0.7058	0.6049	0.0284	0.7501	0.0097	False	False	False
gene_11626	K01886	tr|A0A1B7YL48|A0A1B7YL48_COLHI	0.0221	0.9499	-0.0414	0.8642	-0.0635	0.7806	False	False	False
gene_2924	K03062	tr|A0A1B7XWP7|A0A1B7XWP7_COLHI	0.4746	0.3055	0.2631	0.445	-0.2115	0.5383	False	False	False
gene_4522	K03441	tr|A0A1B7Y3K9|A0A1B7Y3K9_COLHI			0.9497	0.2361			False	False	False
gene_2865	K18097	tr|H1VRC3|H1VRC3_COLHI	-0.2136	0.6049	0.1481	0.6176	0.3617	0.1996	False	False	False
gene_9152	K00844	tr|H1V9F6|H1V9F6_COLHI	-0.0846	0.7983	-0.2991	0.1722	-0.2145	0.3247	False	False	False
gene_12319	K00765	tr|H1W2L9|H1W2L9_COLHI	0.2412	0.7062	-1.1001	0.0191	-1.3412	0.0066	False	True	True
gene_10768	K13179	tr|H1W1V8|H1W1V8_COLHI	-0.2763	0.4383	-0.0403	0.89	0.236	0.3512	False	False	False
gene_10727	K01336	tr|A0A1B7Y9A7|A0A1B7Y9A7_COLHI	0.1596	0.6854	0.0287	0.9236	-0.1309	0.6395	False	False	False
gene_4674	K07390	tr|H1VF10|H1VF10_COLHI	-0.2815	0.8089	-0.0991	0.9114	0.1824	0.8282	False	False	False
gene_9437	K01679	tr|A0A1B7Y9L1|A0A1B7Y9L1_COLHI	-0.2459	0.3992	-0.3748	0.0766	-0.1289	0.5464	False	False	False
gene_3587	K01641	tr|A0A1B7XT30|A0A1B7XT30_COLHI	0.5556	0.2252	-0.168	0.6357	-0.7236	0.04	False	False	False
gene_5322	K15371	tr|A0A1B7YMH2|A0A1B7YMH2_COLHI	-1.1113	0.2423	-3.2219	0.001	-2.1106	0.0078	False	True	True
gene_1869	K01897	tr|H1VRU0|H1VRU0_COLHI	0.0318	0.9423	0.7817	0.0085	0.75	0.0098	False	False	False
gene_12777	K18738	tr|A0A1B7YP99|A0A1B7YP99_COLHI	0.1017	0.8939	-1.4608	0.0063	-1.5625	0.0038	False	True	True
gene_7654	K00560	tr|H1VFQ1|H1VFQ1_COLHI	0.5377	0.3085	-0.0285	0.9455	-0.5662	0.1382	False	False	False
gene_7800		tr|A0A1B7YAF6|A0A1B7YAF6_COLHI	-0.2387	0.9005	-1.2159	0.2942	-0.9772	0.396	False	False	False
gene_5167	K01580	tr|H1UX33|H1UX33_COLHI	0.2461	0.6787	-1.491	0.0032	-1.7371	0.001	False	True	True
gene_11370	K00058	tr|A0A1B7YJH2|A0A1B7YJH2_COLHI	0.0453	0.8979	-0.3956	0.0669	-0.4409	0.0443	False	False	False
gene_4823	K01647	tr|H1VNV1|H1VNV1_COLHI	0.0954	0.8075	0.1445	0.5862	0.0491	0.8643	False	False	False
gene_10565	K00830	tr|H1VJ92|H1VJ92_COLHI	-0.1556	0.7774	-0.0406	0.9208	0.115	0.7673	False	False	False
gene_1922		tr|H1VD21|H1VD21_COLHI	0.402	0.2425	-0.7872	0.0074	-1.1893	0.0007	False	False	True
gene_2273	K13524	tr|A0A1B7YPU5|A0A1B7YPU5_COLHI	0.2703	0.5133	-0.2939	0.3149	-0.5642	0.0571	False	False	False
gene_5421	K00122	tr|A0A1B7YIJ1|A0A1B7YIJ1_COLHI	-0.1734	0.7829	-1.0891	0.0156	-0.9157	0.0344	False	True	False
gene_6190	K00101	tr|H1VLZ9|H1VLZ9_COLHI	-0.207	0.6303	0.0231	0.9445	0.2301	0.4436	False	False	False
gene_3827	K00966	tr|H1VYV3|H1VYV3_COLHI	0.0385	0.9357	-0.0925	0.7463	-0.131	0.6308	False	False	False
gene_12242	K07160	tr|H1VXL4|H1VXL4_COLHI	-0.4109	0.7623	0.3924	0.6765	0.8033	0.3399	False	False	False
gene_11125	K00864	tr|A0A1B7Y3L2|A0A1B7Y3L2_COLHI	-0.33	0.6299	-0.1488	0.7754	0.1812	0.7199	False	False	False
gene_6873	K01115	tr|A0A1B7YAE7|A0A1B7YAE7_COLHI	0.3822	0.2502	0.3483	0.1577	-0.034	0.9022	False	False	False
gene_12409	K01807	tr|A0A1B7YKL7|A0A1B7YKL7_COLHI	-0.0429	0.9131	-0.2766	0.2359	-0.2337	0.3118	False	False	False
gene_6597	K00249	tr|H1VND0|H1VND0_COLHI	0.1053	0.8458	0.0933	0.8066	-0.012	0.976	False	False	False
gene_5126	K00589	tr|A0A1B7Y889|A0A1B7Y889_COLHI	-0.4525	0.4735					False	False	False
gene_391	K15389	tr|H1VLT1|H1VLT1_COLHI	-0.572	0.3081	1.3391	0.0054	1.9111	0.0006	False	True	True
gene_7361	K01568	tr|H1VYE9|H1VYE9_COLHI	0.0553	0.9622	-5.1935	0.0	-5.2487	0.0	False	True	True
gene_12807	K01624	tr|A0A1B7YEY3|A0A1B7YEY3_COLHI	0.0195	0.9832	-0.5237	0.3692	-0.5432	0.343	False	False	False
gene_3210	K00101	tr|A0A1B7YJR9|A0A1B7YJR9_COLHI	0.1564	0.758	-0.9761	0.0095	-1.1325	0.0039	False	False	True
gene_1088		tr|H1VXD8|H1VXD8_COLHI	0.1537	0.7419	-0.6612	0.0402	-0.8149	0.0155	False	False	False
gene_5772	K03038	tr|H1VNB1|H1VNB1_COLHI	-0.1795	0.8371	-0.9579	0.0886	-0.7784	0.1594	False	False	False
gene_10187	K03950	tr|H1VC07|H1VC07_COLHI							False	False	False
gene_377	K01783	tr|A0A1B7XZE4|A0A1B7XZE4_COLHI	0.1326	0.7623	-0.6052	0.0434	-0.7378	0.018	False	False	False
gene_8678		tr|H1V708|H1V708_COLHI	-0.0701	0.9403	0.4341	0.4468	0.5042	0.3651	False	False	False
gene_2897		tr|A0A1B7YD61|A0A1B7YD61_COLHI	0.4706	0.6233					False	False	False
gene_1973	K08900	tr|A0A1B7XT34|A0A1B7XT34_COLHI	0.3857	0.6691	-0.4069	0.5454	-0.7927	0.2222	False	False	False
gene_12910	K00838	tr|H1V528|H1V528_COLHI	-0.6009	0.4735	-0.8113	0.173	-0.2104	0.7228	False	False	False
gene_10562	K00486	tr|A0A1B7YES6|A0A1B7YES6_COLHI	1.3	0.0616					False	False	False
gene_10373		tr|H1VL10|H1VL10_COLHI	-0.205	0.5302	0.0518	0.8406	0.2568	0.2557	False	False	False
gene_4271	K01507	tr|A0A1B7YU22|A0A1B7YU22_COLHI	0.0997	0.7555	-0.1114	0.6126	-0.211	0.3164	False	False	False
gene_11318	K00963	tr|A0A1B7YV55|A0A1B7YV55_COLHI	0.3246	0.4712	-0.8048	0.0195	-1.1294	0.0031	False	False	True
gene_700	K18664	tr|A0A1B7YK48|A0A1B7YK48_COLHI	-2.6118	0.3263	-1.3049	0.5087	1.3069	0.5029	False	False	False
gene_8372		tr|H1UV99|H1UV99_COLHI	0.7827	0.1849	1.2993	0.0076	0.5165	0.2047	False	True	False
gene_6331	K01870	tr|H1UZC8|H1UZC8_COLHI	0.0647	0.8825	-0.5918	0.0343	-0.6565	0.0214	False	False	False
gene_4690	K01693	tr|H1W483|H1W483_COLHI	-0.0403	0.9777	-3.1066	0.0046	-3.0663	0.0042	False	True	True
gene_3917	K01187	tr|A0A1B7YEA3|A0A1B7YEA3_COLHI	-0.6331	0.2875	0.8439	0.0582	1.477	0.0039	False	False	True
gene_641	K00988	tr|A0A1B7YRT1|A0A1B7YRT1_COLHI	0.0576	0.8993	0.6582	0.024	0.6007	0.0355	False	False	False
gene_2120	K00293	tr|H1VZP2|H1VZP2_COLHI	0.1969	0.5292	-0.3804	0.0865	-0.5773	0.0153	False	False	False
gene_9783	K00102	tr|H1W053|H1W053_COLHI	-0.0698	0.9625	-2.6696	0.0078	-2.5998	0.0083	False	True	True
