kegg_pathway_name	method	condition_id	O2	stage	n_rxn	n_active	total_flux	active_rate
2-Oxocarboxylic acid metabolism	gimme	14_maltose	anaerobic	necrotrophic	1	1	0.0191	1.0
2-Oxocarboxylic acid metabolism	gimme	15_mixed_aa	aerobic	necrotrophic	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism	gimme	15_mixed_aa	anaerobic	necrotrophic	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism	gimme	16_pre_infection_mix	aerobic	cocktail	1	1	0.0179	1.0
2-Oxocarboxylic acid metabolism	gimme	16_pre_infection_mix	anaerobic	cocktail	1	1	0.0013	1.0
2-Oxocarboxylic acid metabolism	gimme	17_biotrophic_mix	aerobic	cocktail	1	1	0.0161	1.0
2-Oxocarboxylic acid metabolism	gimme	17_biotrophic_mix	anaerobic	cocktail	1	1	0.0024	1.0
2-Oxocarboxylic acid metabolism	gimme	18_necrotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism	gimme	18_necrotrophic_mix	anaerobic	cocktail	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism	imat	01_trehalose	aerobic	pre-infection	1	1	0.0057	1.0
2-Oxocarboxylic acid metabolism	imat	01_trehalose	anaerobic	pre-infection	1	1	0.0028	1.0
2-Oxocarboxylic acid metabolism	imat	02_glycerol	aerobic	pre-infection	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	02_glycerol	anaerobic	pre-infection	1	1	0.0	1.0
2-Oxocarboxylic acid metabolism	imat	03_palmitate	aerobic	pre-infection	1	1	0.0238	1.0
2-Oxocarboxylic acid metabolism	imat	04_oleate	aerobic	pre-infection	1	1	0.0057	1.0
2-Oxocarboxylic acid metabolism	imat	05_hexacosanoate	aerobic	pre-infection	1	1	0.0059	1.0
2-Oxocarboxylic acid metabolism	imat	06_glucose_low	aerobic	biotrophic	1	1	0.0095	1.0
2-Oxocarboxylic acid metabolism	imat	06_glucose_low	anaerobic	biotrophic	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	07_sucrose_low	aerobic	biotrophic	1	1	0.0057	1.0
2-Oxocarboxylic acid metabolism	imat	07_sucrose_low	anaerobic	biotrophic	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	08_glutamate	aerobic	biotrophic	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	08_glutamate	anaerobic	biotrophic	1	1	0.001	1.0
2-Oxocarboxylic acid metabolism	imat	09_glutamine	aerobic	biotrophic	1	1	0.0057	1.0
2-Oxocarboxylic acid metabolism	imat	09_glutamine	anaerobic	biotrophic	1	1	0.0	1.0
2-Oxocarboxylic acid metabolism	imat	10_gaba	aerobic	biotrophic	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	11_galacturonate	aerobic	necrotrophic	1	1	0.0358	1.0
2-Oxocarboxylic acid metabolism	imat	11_galacturonate	anaerobic	necrotrophic	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	12_xylose	aerobic	necrotrophic	1	1	0.0057	1.0
2-Oxocarboxylic acid metabolism	imat	12_xylose	anaerobic	necrotrophic	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	13_arabinose	aerobic	necrotrophic	1	1	0.035	1.0
2-Oxocarboxylic acid metabolism	imat	14_maltose	aerobic	necrotrophic	1	1	0.0753	1.0
2-Oxocarboxylic acid metabolism	imat	14_maltose	anaerobic	necrotrophic	1	1	0.0021	1.0
2-Oxocarboxylic acid metabolism	imat	15_mixed_aa	aerobic	necrotrophic	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	15_mixed_aa	anaerobic	necrotrophic	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	16_pre_infection_mix	aerobic	cocktail	1	1	0.0177	1.0
2-Oxocarboxylic acid metabolism	imat	16_pre_infection_mix	anaerobic	cocktail	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	17_biotrophic_mix	aerobic	cocktail	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	17_biotrophic_mix	anaerobic	cocktail	1	1	0.002	1.0
2-Oxocarboxylic acid metabolism	imat	18_necrotrophic_mix	aerobic	cocktail	1	1	0.0477	1.0
2-Oxocarboxylic acid metabolism	imat	18_necrotrophic_mix	anaerobic	cocktail	1	1	0.002	1.0
