pathway	method	condition_id	O2	stage	n_rxn	n_active	total_flux	active_rate
Fatty-acid biosynthesis	eflux	12_xylose	anaerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	13_arabinose	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	14_maltose	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	14_maltose	anaerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	15_mixed_aa	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	15_mixed_aa	anaerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	16_pre_infection_mix	aerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	16_pre_infection_mix	anaerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	17_biotrophic_mix	aerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	17_biotrophic_mix	anaerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	18_necrotrophic_mix	aerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	eflux	18_necrotrophic_mix	anaerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	01_trehalose	aerobic	pre-infection	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	01_trehalose	anaerobic	pre-infection	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	02_glycerol	aerobic	pre-infection	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	02_glycerol	anaerobic	pre-infection	38	2	0.0	0.0526
Fatty-acid biosynthesis	gimme	03_palmitate	aerobic	pre-infection	38	2	1.0	0.0526
Fatty-acid biosynthesis	gimme	04_oleate	aerobic	pre-infection	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	05_hexacosanoate	aerobic	pre-infection	38	1	1.0	0.0263
Fatty-acid biosynthesis	gimme	06_glucose_low	aerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	06_glucose_low	anaerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	07_sucrose_low	aerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	07_sucrose_low	anaerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	08_glutamate	aerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	08_glutamate	anaerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	09_glutamine	aerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	09_glutamine	anaerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	10_gaba	aerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	11_galacturonate	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	11_galacturonate	anaerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	12_xylose	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	12_xylose	anaerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	13_arabinose	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	14_maltose	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	14_maltose	anaerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	15_mixed_aa	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	15_mixed_aa	anaerobic	necrotrophic	38	2	0.0009	0.0526
Fatty-acid biosynthesis	gimme	16_pre_infection_mix	aerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	16_pre_infection_mix	anaerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	17_biotrophic_mix	aerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	17_biotrophic_mix	anaerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	18_necrotrophic_mix	aerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	gimme	18_necrotrophic_mix	anaerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	imat	01_trehalose	aerobic	pre-infection	38	3	0.0249	0.0789
Fatty-acid biosynthesis	imat	01_trehalose	anaerobic	pre-infection	38	4	0.0245	0.1053
Fatty-acid biosynthesis	imat	02_glycerol	aerobic	pre-infection	38	8	0.0267	0.2105
Fatty-acid biosynthesis	imat	02_glycerol	anaerobic	pre-infection	38	2	0.0	0.0526
Fatty-acid biosynthesis	imat	03_palmitate	aerobic	pre-infection	38	3	0.2385	0.0789
Fatty-acid biosynthesis	imat	04_oleate	aerobic	pre-infection	38	2	0.002	0.0526
Fatty-acid biosynthesis	imat	05_hexacosanoate	aerobic	pre-infection	38	3	0.0226	0.0789
Fatty-acid biosynthesis	imat	06_glucose_low	aerobic	biotrophic	38	3	0.0254	0.0789
Fatty-acid biosynthesis	imat	06_glucose_low	anaerobic	biotrophic	38	5	0.0257	0.1316
Fatty-acid biosynthesis	imat	07_sucrose_low	aerobic	biotrophic	38	4	0.0161	0.1053
Fatty-acid biosynthesis	imat	07_sucrose_low	anaerobic	biotrophic	38	3	0.0254	0.0789
Fatty-acid biosynthesis	imat	08_glutamate	aerobic	biotrophic	38	2	0.002	0.0526
Fatty-acid biosynthesis	imat	08_glutamate	anaerobic	biotrophic	38	2	0.0	0.0526
Fatty-acid biosynthesis	imat	09_glutamine	aerobic	biotrophic	38	3	0.0249	0.0789
Fatty-acid biosynthesis	imat	09_glutamine	anaerobic	biotrophic	38	2	0.0	0.0526
Fatty-acid biosynthesis	imat	10_gaba	aerobic	biotrophic	38	3	0.0274	0.0789
Fatty-acid biosynthesis	imat	11_galacturonate	aerobic	necrotrophic	38	3	0.0274	0.0789
Fatty-acid biosynthesis	imat	11_galacturonate	anaerobic	necrotrophic	38	5	0.0249	0.1316
Fatty-acid biosynthesis	imat	12_xylose	aerobic	necrotrophic	38	3	0.0249	0.0789
Fatty-acid biosynthesis	imat	12_xylose	anaerobic	necrotrophic	38	10	0.0267	0.2632
Fatty-acid biosynthesis	imat	13_arabinose	aerobic	necrotrophic	38	3	0.0254	0.0789
Fatty-acid biosynthesis	imat	14_maltose	aerobic	necrotrophic	38	3	0.0141	0.0789
Fatty-acid biosynthesis	imat	14_maltose	anaerobic	necrotrophic	38	4	0.0251	0.1053
Fatty-acid biosynthesis	imat	15_mixed_aa	aerobic	necrotrophic	38	3	0.0274	0.0789
Fatty-acid biosynthesis	imat	15_mixed_aa	anaerobic	necrotrophic	38	3	0.0254	0.0789
Fatty-acid biosynthesis	imat	16_pre_infection_mix	aerobic	cocktail	38	3	0.0254	0.0789
Fatty-acid biosynthesis	imat	16_pre_infection_mix	anaerobic	cocktail	38	3	0.0254	0.0789
Fatty-acid biosynthesis	imat	17_biotrophic_mix	aerobic	cocktail	38	2	0.0065	0.0526
Fatty-acid biosynthesis	imat	17_biotrophic_mix	anaerobic	cocktail	38	3	0.0254	0.0789
Fatty-acid biosynthesis	imat	18_necrotrophic_mix	aerobic	cocktail	38	6	0.0159	0.1579
Fatty-acid biosynthesis	imat	18_necrotrophic_mix	anaerobic	cocktail	38	2	0.002	0.0526
Fatty-acid biosynthesis	pfba	01_trehalose	aerobic	pre-infection	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	01_trehalose	anaerobic	pre-infection	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	02_glycerol	aerobic	pre-infection	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	02_glycerol	anaerobic	pre-infection	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	03_palmitate	aerobic	pre-infection	38	2	1.0	0.0526
Fatty-acid biosynthesis	pfba	04_oleate	aerobic	pre-infection	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	05_hexacosanoate	aerobic	pre-infection	38	1	1.0	0.0263
Fatty-acid biosynthesis	pfba	06_glucose_low	aerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	06_glucose_low	anaerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	07_sucrose_low	aerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	07_sucrose_low	anaerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	08_glutamate	aerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	08_glutamate	anaerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	09_glutamine	aerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	09_glutamine	anaerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	10_gaba	aerobic	biotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	11_galacturonate	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	11_galacturonate	anaerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	12_xylose	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	12_xylose	anaerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	13_arabinose	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	14_maltose	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	14_maltose	anaerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	15_mixed_aa	aerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	15_mixed_aa	anaerobic	necrotrophic	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	16_pre_infection_mix	aerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	16_pre_infection_mix	anaerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	17_biotrophic_mix	aerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	17_biotrophic_mix	anaerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	18_necrotrophic_mix	aerobic	cocktail	38	0	0.0	0.0
Fatty-acid biosynthesis	pfba	18_necrotrophic_mix	anaerobic	cocktail	38	0	0.0	0.0
GAM / maintenance	eflux	01_trehalose	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	eflux	01_trehalose	anaerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	eflux	02_glycerol	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	eflux	02_glycerol	anaerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	eflux	03_palmitate	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	eflux	04_oleate	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	eflux	05_hexacosanoate	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	eflux	06_glucose_low	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	06_glucose_low	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	07_sucrose_low	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	07_sucrose_low	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	08_glutamate	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	08_glutamate	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	09_glutamine	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	09_glutamine	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	10_gaba	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	11_galacturonate	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	11_galacturonate	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	12_xylose	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	12_xylose	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	13_arabinose	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	14_maltose	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	14_maltose	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	15_mixed_aa	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	15_mixed_aa	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	eflux	16_pre_infection_mix	aerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	eflux	16_pre_infection_mix	anaerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	eflux	17_biotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	eflux	17_biotrophic_mix	anaerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	eflux	18_necrotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	eflux	18_necrotrophic_mix	anaerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	gimme	01_trehalose	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	gimme	01_trehalose	anaerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	gimme	02_glycerol	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	gimme	02_glycerol	anaerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	gimme	03_palmitate	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	gimme	04_oleate	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	gimme	05_hexacosanoate	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	gimme	06_glucose_low	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	06_glucose_low	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	07_sucrose_low	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	07_sucrose_low	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	08_glutamate	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	08_glutamate	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	09_glutamine	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	09_glutamine	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	10_gaba	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	11_galacturonate	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	11_galacturonate	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	12_xylose	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	12_xylose	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	13_arabinose	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	14_maltose	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	14_maltose	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	15_mixed_aa	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	15_mixed_aa	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	gimme	16_pre_infection_mix	aerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	gimme	16_pre_infection_mix	anaerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	gimme	17_biotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	gimme	17_biotrophic_mix	anaerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	gimme	18_necrotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	gimme	18_necrotrophic_mix	anaerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	imat	01_trehalose	aerobic	pre-infection	1	1	0.001	1.0
GAM / maintenance	imat	01_trehalose	anaerobic	pre-infection	1	1	0.001	1.0
GAM / maintenance	imat	02_glycerol	aerobic	pre-infection	1	1	0.001	1.0
GAM / maintenance	imat	02_glycerol	anaerobic	pre-infection	1	1	0.001	1.0
GAM / maintenance	imat	03_palmitate	aerobic	pre-infection	1	1	0.001	1.0
GAM / maintenance	imat	04_oleate	aerobic	pre-infection	1	1	0.001	1.0
GAM / maintenance	imat	05_hexacosanoate	aerobic	pre-infection	1	1	0.001	1.0
GAM / maintenance	imat	06_glucose_low	aerobic	biotrophic	1	1	0.001	1.0
GAM / maintenance	imat	06_glucose_low	anaerobic	biotrophic	1	1	0.001	1.0
GAM / maintenance	imat	07_sucrose_low	aerobic	biotrophic	1	1	0.001	1.0
GAM / maintenance	imat	07_sucrose_low	anaerobic	biotrophic	1	1	0.001	1.0
GAM / maintenance	imat	08_glutamate	aerobic	biotrophic	1	1	0.001	1.0
GAM / maintenance	imat	08_glutamate	anaerobic	biotrophic	1	1	0.0011	1.0
GAM / maintenance	imat	09_glutamine	aerobic	biotrophic	1	1	0.001	1.0
GAM / maintenance	imat	09_glutamine	anaerobic	biotrophic	1	1	0.001	1.0
GAM / maintenance	imat	10_gaba	aerobic	biotrophic	1	1	0.001	1.0
GAM / maintenance	imat	11_galacturonate	aerobic	necrotrophic	1	1	0.001	1.0
GAM / maintenance	imat	11_galacturonate	anaerobic	necrotrophic	1	1	0.001	1.0
GAM / maintenance	imat	12_xylose	aerobic	necrotrophic	1	1	0.001	1.0
GAM / maintenance	imat	12_xylose	anaerobic	necrotrophic	1	1	0.001	1.0
GAM / maintenance	imat	13_arabinose	aerobic	necrotrophic	1	1	0.001	1.0
GAM / maintenance	imat	14_maltose	aerobic	necrotrophic	1	1	0.001	1.0
GAM / maintenance	imat	14_maltose	anaerobic	necrotrophic	1	1	0.001	1.0
GAM / maintenance	imat	15_mixed_aa	aerobic	necrotrophic	1	1	0.001	1.0
GAM / maintenance	imat	15_mixed_aa	anaerobic	necrotrophic	1	1	0.001	1.0
GAM / maintenance	imat	16_pre_infection_mix	aerobic	cocktail	1	1	0.001	1.0
GAM / maintenance	imat	16_pre_infection_mix	anaerobic	cocktail	1	1	0.001	1.0
GAM / maintenance	imat	17_biotrophic_mix	aerobic	cocktail	1	1	0.001	1.0
GAM / maintenance	imat	17_biotrophic_mix	anaerobic	cocktail	1	1	0.001	1.0
GAM / maintenance	imat	18_necrotrophic_mix	aerobic	cocktail	1	1	0.001	1.0
GAM / maintenance	imat	18_necrotrophic_mix	anaerobic	cocktail	1	1	0.001	1.0
GAM / maintenance	pfba	01_trehalose	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	pfba	01_trehalose	anaerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	pfba	02_glycerol	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	pfba	02_glycerol	anaerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	pfba	03_palmitate	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	pfba	04_oleate	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	pfba	05_hexacosanoate	aerobic	pre-infection	1	0	0.0	0.0
GAM / maintenance	pfba	06_glucose_low	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	06_glucose_low	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	07_sucrose_low	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	07_sucrose_low	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	08_glutamate	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	08_glutamate	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	09_glutamine	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	09_glutamine	anaerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	10_gaba	aerobic	biotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	11_galacturonate	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	11_galacturonate	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	12_xylose	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	12_xylose	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	13_arabinose	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	14_maltose	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	14_maltose	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	15_mixed_aa	aerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	15_mixed_aa	anaerobic	necrotrophic	1	0	0.0	0.0
GAM / maintenance	pfba	16_pre_infection_mix	aerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	pfba	16_pre_infection_mix	anaerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	pfba	17_biotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	pfba	17_biotrophic_mix	anaerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	pfba	18_necrotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
GAM / maintenance	pfba	18_necrotrophic_mix	anaerobic	cocktail	1	0	0.0	0.0
Glycolysis / gluconeogenesis	eflux	01_trehalose	aerobic	pre-infection	58	27	23.6128	0.4655
Glycolysis / gluconeogenesis	eflux	01_trehalose	anaerobic	pre-infection	58	25	31.9699	0.431
Glycolysis / gluconeogenesis	eflux	02_glycerol	aerobic	pre-infection	58	26	6.9125	0.4483
Glycolysis / gluconeogenesis	eflux	02_glycerol	anaerobic	pre-infection	58	25	8.0864	0.431
Glycolysis / gluconeogenesis	eflux	03_palmitate	aerobic	pre-infection	58	23	16.975	0.3966
Glycolysis / gluconeogenesis	eflux	04_oleate	aerobic	pre-infection	58	24	19.0819	0.4138
Glycolysis / gluconeogenesis	eflux	05_hexacosanoate	aerobic	pre-infection	58	23	18.8804	0.3966
Glycolysis / gluconeogenesis	eflux	06_glucose_low	aerobic	biotrophic	58	28	11.8102	0.4828
Glycolysis / gluconeogenesis	eflux	06_glucose_low	anaerobic	biotrophic	58	26	15.9859	0.4483
Glycolysis / gluconeogenesis	eflux	07_sucrose_low	aerobic	biotrophic	58	30	12.1867	0.5172
Glycolysis / gluconeogenesis	eflux	07_sucrose_low	anaerobic	biotrophic	58	28	15.9859	0.4828
Glycolysis / gluconeogenesis	eflux	08_glutamate	aerobic	biotrophic	58	24	8.8542	0.4138
Glycolysis / gluconeogenesis	eflux	08_glutamate	anaerobic	biotrophic	58	24	0.3293	0.4138
Glycolysis / gluconeogenesis	eflux	09_glutamine	aerobic	biotrophic	58	24	8.8631	0.4138
Glycolysis / gluconeogenesis	eflux	09_glutamine	anaerobic	biotrophic	58	24	0.33	0.4138
Glycolysis / gluconeogenesis	eflux	10_gaba	aerobic	biotrophic	58	24	7.5386	0.4138
Glycolysis / gluconeogenesis	eflux	11_galacturonate	aerobic	necrotrophic	58	0	0.0	0.0
Glycolysis / gluconeogenesis	eflux	11_galacturonate	anaerobic	necrotrophic	58	0	0.0	0.0
Glycolysis / gluconeogenesis	eflux	12_xylose	aerobic	necrotrophic	58	25	44.3796	0.431
Glycolysis / gluconeogenesis	eflux	12_xylose	anaerobic	necrotrophic	58	25	22.3779	0.431
Glycolysis / gluconeogenesis	eflux	13_arabinose	aerobic	necrotrophic	58	25	44.8222	0.431
Glycolysis / gluconeogenesis	eflux	14_maltose	aerobic	necrotrophic	58	30	128.1024	0.5172
Glycolysis / gluconeogenesis	eflux	14_maltose	anaerobic	necrotrophic	58	28	169.8593	0.4828
Glycolysis / gluconeogenesis	eflux	15_mixed_aa	aerobic	necrotrophic	58	22	16.2299	0.3793
Glycolysis / gluconeogenesis	eflux	15_mixed_aa	anaerobic	necrotrophic	58	22	6.3567	0.3793
Glycolysis / gluconeogenesis	eflux	16_pre_infection_mix	aerobic	cocktail	58	25	5.9184	0.431
Glycolysis / gluconeogenesis	eflux	16_pre_infection_mix	anaerobic	cocktail	58	26	11.958	0.4483
Glycolysis / gluconeogenesis	eflux	17_biotrophic_mix	aerobic	cocktail	58	27	6.7479	0.4655
Glycolysis / gluconeogenesis	eflux	17_biotrophic_mix	anaerobic	cocktail	58	27	10.4351	0.4655
Glycolysis / gluconeogenesis	eflux	18_necrotrophic_mix	aerobic	cocktail	58	27	107.7272	0.4655
Glycolysis / gluconeogenesis	eflux	18_necrotrophic_mix	anaerobic	cocktail	58	26	129.9479	0.4483
Glycolysis / gluconeogenesis	gimme	01_trehalose	aerobic	pre-infection	58	28	23.8899	0.4828
Glycolysis / gluconeogenesis	gimme	01_trehalose	anaerobic	pre-infection	58	25	32.173	0.431
Glycolysis / gluconeogenesis	gimme	02_glycerol	aerobic	pre-infection	58	26	6.9486	0.4483
Glycolysis / gluconeogenesis	gimme	02_glycerol	anaerobic	pre-infection	58	25	8.0977	0.431
Glycolysis / gluconeogenesis	gimme	03_palmitate	aerobic	pre-infection	58	24	16.6437	0.4138
Glycolysis / gluconeogenesis	gimme	04_oleate	aerobic	pre-infection	58	24	17.3199	0.4138
Glycolysis / gluconeogenesis	gimme	05_hexacosanoate	aerobic	pre-infection	58	24	18.5198	0.4138
Glycolysis / gluconeogenesis	gimme	06_glucose_low	aerobic	biotrophic	58	28	11.9489	0.4828
Glycolysis / gluconeogenesis	gimme	06_glucose_low	anaerobic	biotrophic	58	26	16.0873	0.4483
Glycolysis / gluconeogenesis	gimme	07_sucrose_low	aerobic	biotrophic	58	29	12.8063	0.5
Glycolysis / gluconeogenesis	gimme	07_sucrose_low	anaerobic	biotrophic	58	28	14.3875	0.4828
Glycolysis / gluconeogenesis	gimme	08_glutamate	aerobic	biotrophic	58	24	8.5564	0.4138
Glycolysis / gluconeogenesis	gimme	08_glutamate	anaerobic	biotrophic	58	25	0.3282	0.431
Glycolysis / gluconeogenesis	gimme	09_glutamine	aerobic	biotrophic	58	24	7.9768	0.4138
Glycolysis / gluconeogenesis	gimme	09_glutamine	anaerobic	biotrophic	58	24	0.3274	0.4138
Glycolysis / gluconeogenesis	gimme	10_gaba	aerobic	biotrophic	58	24	7.1947	0.4138
Glycolysis / gluconeogenesis	gimme	11_galacturonate	aerobic	necrotrophic	58	28	32.1565	0.4828
Glycolysis / gluconeogenesis	gimme	11_galacturonate	anaerobic	necrotrophic	58	27	35.0117	0.4655
Glycolysis / gluconeogenesis	gimme	12_xylose	aerobic	necrotrophic	58	25	44.8597	0.431
Glycolysis / gluconeogenesis	gimme	12_xylose	anaerobic	necrotrophic	58	25	23.4611	0.431
Glycolysis / gluconeogenesis	gimme	13_arabinose	aerobic	necrotrophic	58	25	45.2844	0.431
Glycolysis / gluconeogenesis	gimme	14_maltose	aerobic	necrotrophic	58	30	118.6865	0.5172
Glycolysis / gluconeogenesis	gimme	14_maltose	anaerobic	necrotrophic	58	28	152.8753	0.4828
Glycolysis / gluconeogenesis	gimme	15_mixed_aa	aerobic	necrotrophic	58	22	13.9069	0.3793
Glycolysis / gluconeogenesis	gimme	15_mixed_aa	anaerobic	necrotrophic	58	25	6.9586	0.431
Glycolysis / gluconeogenesis	gimme	16_pre_infection_mix	aerobic	cocktail	58	25	5.9908	0.431
Glycolysis / gluconeogenesis	gimme	16_pre_infection_mix	anaerobic	cocktail	58	25	11.9498	0.431
Glycolysis / gluconeogenesis	gimme	17_biotrophic_mix	aerobic	cocktail	58	26	6.2288	0.4483
Glycolysis / gluconeogenesis	gimme	17_biotrophic_mix	anaerobic	cocktail	58	28	10.5966	0.4828
