rxn_id	flux
H2Otm_c0	-30.84066262466147
rxn09780_c0	26.542020603916818
rxn09121_c0	25.24790795817172
rxn08173_m0	24.494205736514733
EX_cpd00011_e0	14.202470827505136
rxn05467_c0	-14.202470827505136
rxn05319_c0	-11.890269309153059
EX_cpd00001_e0	11.890269309153059
frxn35348_m0	10.665058325754252
frxn13726_m0	8.57456027822805
CO2tm_c0	-6.69121805098188
rxn00764_c0	6.393758473138765
rxn00744_c0	6.393758473138765
EX_cpd00007_e0	-5.6717511845237105
rxn05468_c0	5.6717511845237105
O2tm_m0	5.332648573088725
rxn35347_m0	5.332529162877158
rxn00001_c0	5.033358341174839
rxn05673_c0	5.000000000001706
rxn07491_c0	-5.000000000000001
rxn21750_c0	5.0
EX_cpd00280_e0	-5.0
rxn21749_c0	5.0
rxn09954_c0	4.999999999999998
rxn00558_c0	-4.1585424138085925
EX_cpd00067_e0	-4.031602588353699
rxn00097_c0	4.020735865047025
rxn00175_c0	3.8501135989956077
rxn00507_c0	3.840157772607599
rxn00102_c0	-3.801334527569864
rxn01115_c0	3.664422958345259
rxn01476_c0	3.6644229583452588
rxn00533_c0	3.4624632734196776
rxn00747_c0	-2.944276188292606
rxn05469_m0	2.5175238903659065
rxn01116_c0	2.3952989890571184
rxn00154_m0	2.3211985762736775
rxn19316_m0	2.228864630179665
rxn00973_m0	2.138984563933331
rxn00198_m0	2.138984563933331
rxn00248_m0	2.1359843823685987
rxn00781_c0	2.078447670498172
rxn01100_c0	-2.078447670498112
rxn09417_m0	2.0739298806717663
rxn30674_m0	2.0739298806717663
rxn01241_m0	2.072279034496839
rxn30341_m0	2.072279034496839
rxn01243_m0	2.072279034496839
rxn00285_m0	-2.0718013936505746
rxn00786_c0	-2.0467083407350803
rxn00549_c0	2.0467083407350803
rxn00077_m0	2.0024091344538286
rxn00078_m0	-2.0024091344538184
rxn00604_c0	1.933512236579012
rxn13211_c0	-1.9200788863037996
rxn00003_c0	-1.9200788863037996
rxn02113_c0	1.9200788863037996
rxn01106_c0	-1.8030817521144733
rxn00459_c0	1.803081752114473
rxn09648_c0	-1.730910721766247
rxn00604_r0	1.730910721766247
rxn08570_c0	1.7309107217662467
rxn35242_c0	-1.7190468157243195
rxn30381_c0	-1.4027142390062737
rxn00610_c0	1.3937584731382797
rxn15114_c0	-1.2690344116294663
rxn09121_m0	-1.2682364528913423
rxn01333_c0	1.218658228625676
rxn34273_c0	1.218658228625676
rxn00785_c0	-1.1766407604306155
rxn00187_c0	1.0759606376006028
rxn05466_c0	1.0541175246483614
EX_cpd00013_e0	-1.0541175246483612
PIt2r_c0	-0.9683974116471842
rxn00069_c0	0.9304055602106084
TRP_coa_c0r0	-0.865321024395112
H2Oter_c0	-0.6901611703030922
TRP_co2_c0r0	-0.6899074236035126
TRP_malcoa_c0r0	0.6899074236035125
rxn00409_c0	0.5258676454636503
rxn00364_c0	0.5258676454636503
rxn09421_c0	0.37023136096280035
rxn09441_c0	0.3702313609628003
rxn09438_c0	0.36984327777520837
rxn09435_c0	0.36867902821243215
rxn09431_c0	0.3634399051799398
TRP_nadph_c0r0	-0.35082720158319636
TRP_nadp_c0r0	0.350827201583196
EX_cpd00009_e0	-0.2998390412441581
rxn09733_c0	0.29837626615290186
rxn00250_c0	0.2983762661526027
rxn02914_c0	0.27536591838363855
rxn01101_c0	0.2753659183836385
rxn00420_c0	0.27432107903243036
rxn30365_c0	0.2699864883524886
rxn00237_c0	0.2688729881299626
rxn30444_c0	0.2688431355778055
rxn00609_c0	-0.26550860541873444
PINOS_SC_c0	0.26550860541873444
rxn00881_c0	0.2655086054187344
rxn13384_c0	0.26252335012956496
rxn00751_c0	0.2625233501295649
rxn09552_c0	0.2625233501295649
rxn01380_c0	0.2625233501295649
rxn05301_c0	0.2534690708385826
rxn00527_m0	0.2534690708385774
rxn09802_c0	-0.25346907083857734
rxn32754_c0	0.24614922486847024
rxn00641_c0	0.24614922486847024
rxn00559_c0	-0.2461492248684702
rxn00117_c0	0.23925328515048863
rxn00704_c0	-0.22511810135627125
rxn00213_c0	0.22511810135627122
rxn05217_c0	-0.20549601834162903
rxn00260_m0	-0.20549601834162903
rxn09427_c0	0.17638380876057833
rxn00948_c0	0.17541360079159932
rxn02134_c0	0.1754136007915993
TRP_sphinganine_r0c0	-0.17541360079159926
rxn22099_r0	0.17541360079159846
rxn19045_r0	-0.17541360079159843
rxn23535_r0	-0.17541360079159843
rxn23559_r0	0.17541360079159843
rxn19044_r0	-0.1754136007915984
rxn22098_r0	0.1754136007915984
rxn23531_r0	-0.17541360079159837
rxn23554_r0	0.17541360079159835
rxn19046_r0	-0.17541360079159835
rxn23565_r0	0.17541360079159835
rxn23551_r0	0.17541360079159832
rxn23534_r0	-0.17541360079159832
TRP_strcoa_c0r0	0.17541360079159832
rxn09400_c0	0.16938338510747686
rxn22100_r0	0.16366662122871758
rxn23536_r0	-0.16366662122871756
rxn23557_r0	0.16366662122871756
rxn19047_r0	-0.16366662122871756
rxn13236_c0	-0.16366662122871733
rxn09606_r0	0.16366662122871733
rxn09608_c0	0.15971115797056773
IPCS326_SC_c0	0.1557109158830806
rxn09600_c0	0.15571091588308056
bio_gsm	0.1492627644584745
rxn09647_c0	-0.12058938740600154
rxn09511_r0	0.12058938740600153
rxn09642_c0	-0.12058938740600153
rxn09510_c0	0.12058938740600153
rxn09582_c0	0.10585715255395012
PIN4K_SC_c0	0.09009500462713523
rxn09537_c0	-0.09009500462713521
rxn00973_c0	0.08988006624633439
rxn00198_c0	0.08775157922514017
rxn15467_m0	0.0837811896905405
KARA1im_m0	0.0837811896905405
rxn33164_m0	0.0837811896905405
rxn00191_c0	-0.07177449291834528
rxn09588_c0	0.06889969207403182
rxn01301_c0	0.06728765421873498
rxn00337_c0	0.06728765421873498
rxn01643_c0	-0.06728765421873498
rxn00692_c0	-0.0625172162664567
rxn30674_c0	-0.062054501696189826
rxn01069_c0	0.05733182782852802
rxn01300_c0	0.05733182782852801
rxn15108_c0	0.050301551622389244
rxn09779_c0	-0.047862598051273825
rxn01211_c0	0.04624160442990602
rxn00907_c0	0.04624160442990601
rxn13300_c0	0.04477882933754235
rxn00806_c0	-0.04424148338549184
rxn02811_c0	-0.04424148338549183
rxn02789_c0	-0.04424148338549183
rxn03062_c0	0.04424148338549183
rxn30417_c0	0.04424148338549183
rxn27497_m0	0.044241483385491824
3C3HMPtm_c0	-0.044241483385491824
rxn00510_c0	0.0427190031880154
SACCD1_c0	0.0427190031880154
rxn01423_c0	0.0427190031880154
AASAD2_c0	0.0427190031880154
rxn01420_m0	0.0427190031880154
rxn30391_m0	0.04271900318801539
rxn30206_m0	0.04271900318801539
HACNHm_m0	0.04271900318801539
HICITDm_m0	0.04271900318801539
rxn09803_c0	0.04271900318801539
rxn01255_c0	0.042017468195060574
rxn01739_c0	0.042017468195060574
rxn02476_c0	0.042017468195060574
rxn01740_c0	0.04201746819506057
rxn01332_m0	0.04201746819506056
rxn09778_c0	-0.04201746819506056
rxn02213_c0	0.04201746819506056
rxn09765_m0	0.04201746819506056
rxn09807_c0	-0.04201746819506055
rxn02212_c0	0.04201746819506055
rxn00414_c0	0.040494987997584
rxn09799_c0	-0.03953970630504868
rxn00903_c0	-0.03949492747571236
rxn01256_c0	0.03536034890021265
rxn00546_c0	-0.029852552891694903
rxn01560_c0	0.0298525528916949
rxn00737_c0	0.028762934711148214
3MOPtm_c0	-0.028762934711148068
rxn30333_m0	0.02876293471114804
rxn13195_c0	0.02876293471114804
rxn30145_m0	0.02876293471114804
rxn01575_c0	-0.028762934711148037
rxn30403_m0	0.028762934711148033
rxn03137_c0	0.02827036758876935
rxn00832_c0	-0.028270367588769347
rxn00179_c0	0.0245835773063108
rxn09412_c0	0.024583577306310795
rxn02374_c0	0.024583577306310757
rxn00931_c0	0.024583577306310753
rxn29990_c0	0.023986526248476858
rxn29991_c0	0.023986526248476858
