rxn_id	flux	name	equation	gpr
rxn00800_c0	0.41687991362154136	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_c0	Adenylosuccinate_c0 <=> AMP + Fumarate	gene_370
rxn00130_c0	0.41653797749735044	AMP aminohydrolase_c0	H2O + AMP + H+ --> NH3 + IMP_c0	gene_11513
rxn05496_c0	-0.3313227169026875	TRANS-RXNBWI-115637.ce.maizeexp.L-ALPHA-ALANINE_L-ALPHA-ALANINE_c0	L-Alanine_e0 + H+ <=> L-Alanine + H+	gene_5741 or gene_12204 or gene_3268
EX_cpd00035_e0	0.33132271690268744	Exchange for L-Alanine_e0	L-Alanine_e0 --> 	
rxn00102_c0	-0.2880420698921814	carbonate hydro-lyase (carbon-dioxide-forming)[c0]	H+ + H2CO3 <=> H2O + CO2	gene_10957 or gene_1132 or gene_9399 or gene_935
rxn00250_c0	0.2809275053732352		ATP + Pyruvate + H2CO3 --> ADP + Phosphate + Oxaloacetate + H+	gene_10796 or gene_12451 or gene_10336 or gene_2859 or gene_10986 or gene_9951
rxn05652_c0	0.27847697484101447	spermidine transport in via proton antiport_c0	H+ + Spermidine_e0 --> H+ + Spermidine_c0	gene_12888 or gene_10460
rxn09266_c0	0.27847697484101447	spermidine transport via diffusion (extracellular to periplasm)_c0	Spermidine_c0 --> Spermidine_e0	gene_11732
rxn09753_c0	0.2756545105369868	CustomReaction_c0	Fumarate + FADH2 --> FAD + Succinate	gene_364 or gene_1870 or gene_8693 or gene_2716
frxn13726_m0	0.275654404655152	NADH dehydrogenase-Complex-I (ubiquinone-6)	NADH + 5 H+ + Ubiquinone-6 --> NAD + 4 H+ + Ubiquinol-6	gene_2528 or gene_1095 or gene_7993 or gene_11913 or gene_910 or gene_10116 or gene_12112 or gene_10187 or gene_9415 or gene_5161 or gene_7271 or gene_8921 or gene_1739 or gene_658 or gene_2602 or gene_1389 or gene_8874 or gene_8546 or gene_9714 or gene_3875 or gene_5629 or gene_6133 or gene_5834
