rxn_id	name	subsystem	ec	kcat	kcat_source	mw_kDa	cost	reversible	abund_PDA	abund_half	abund_onetenth
rxn00952_c0	O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase_c0		2.7.4.1	139.8	brenda_any	66.6	476.4150160228887	False	217890452.21207815	122152238.21789914	123288901.14069217
rxn00790_c0	5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)_c0		2.4.2.14	2.0	brenda_ecfamily	61.24	30621.13676999995	False	85350806.64202496	94275303.53385851	63768263.3312626
rxn05238_c0	TRANS-RXNBWI-115353.ce_c0			10.0	default_no_ec	91.0	9099.86882400001	False			
rxn06441_m0	L-Leucine:tRNA(Leu) ligase (AMP-forming)_m0		6.1.1.4	37.5	brenda_fungal	107.01	2853.482457066679	False	8716278.26042903	16428015.423454205	42492169.392971486
rxn05465_c0	Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase_c0		2.7.8.7	1.161	brenda_any	203.65	175405.13844961347	True	163046032.12912548	611307669.1863863	48967762.92428113
rxn09464_x0	Fatty acid oxidation_x0		1.1.1.100	117.5	brenda_fungal	30.2	256.99342161702134	False	1843722950.6461	1270541210.148279	636789975.42434
rxn06440_m0	L-Isoleucine:tRNA(Ile) ligase (AMP-forming)_m0		6.1.1.5	0.2	brenda_fungal	104.55	522773.88370000245	False	57130437.45915642	54696708.883470654	59182127.76525926
rxn09216_c0	putrescine transport via diffusion (extracellular to periplasm)_c0			10.0	default_no_ec	56.01	5601.280143999989	False			
rxn09434_m0	fatty-acyl-ACP synthase (n-C14:1ACP), mitochondrial_m0		1.1.1.100	117.5	brenda_fungal	15.14	128.828143319149	False	1769573620.0478923	2696457671.113977	1637069584.806687
rxn34726_c0	oleoyl-[acyl-carrier-protein] hydrolase ((11Z)-n-C18:1)_c0		2.7.8.7	1.161	brenda_any	203.65	175405.13844961347	True	163046032.12912548	611307669.1863863	48967762.92428113
rxn01791_c0	(R)-Pantoate:beta-alanine ligase (AMP-forming)_c0		6.3.2.1	59.1	brenda_any	41.0	693.6856656514373	False	53390616.64271705	65605756.28258503	446270898.5273218
PHEt2r_c0	TRANS-RXNBWI-115637.ce.maizeexp.PHE_PHE_c0			10.0	default_no_ec	68.35	6834.836073999983	True			
rxn13260_c0	UDP-glucose:ergosterol glucosyltransferase_c0		2.4.1.173	650.6	brenda_fungal	165.35	254.1438285275148	False	799292195.9279451	600389112.1344279	83598830.1877219
rxn09461_x0	3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosyl-CoA), peroxisomal_x0		1.1.1.100	117.5	brenda_fungal	97.58	830.4285714042584	False	451300564.9791456	425781955.1422406	496432153.5702999
rxn00392_m0	ATP:riboflavin 5'-phosphotransferase_m0			10.0	default_no_ec	22.45	2245.154694	False	119480552.43660994	157702730.06074366	177271714.35029596
rxn01211_m0	5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)_m0		3.5.4.9	169.8	brenda_any	118.39	697.2295349823358	True	385749926.9761907	360711651.6600296	188475672.12430087
rxn09784_c0	TRANS-RXNBWI-115551.cm_m0			10.0	default_no_ec	32.84	3283.569373999999	True			
rxn13200_c0	3-Isopropylmalate 3-methyltransferase_c0		2.1.1.145	0.028	brenda_ecfamily	34.92	1247136.5514285695	False	71398178.22071806	50416161.533707164	41192709.02544314
rxn01637_m0	N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase_m0		2.6.1.17	24.0	brenda_any	53.32	2221.625318333327	False	23484715.88290565	39402984.732400164	26907692.00063592
rxn06444_c0	L-Phenylalanine:tRNA(Ala) ligase (AMP-forming)_c0		6.1.1.20	603.0	brenda_fungal	68.63	113.8073013930346	False	162148450.46066678	169847793.61353117	146481516.77797258
rxn09697_c0	Allantoate permease_c0			10.0	default_no_ec	54.59	5459.19141399999	False			
rxn09601_c0	Ceramide-3 synthase (24C)_c0		1.14.18.6	12.7	brenda_ecfamily	89.32	7032.812467716554	False	133141700.20626892	95346771.2044125	48452779.088206664
rxn09491_c0	triglycerol synthesis_c0		2.3.1.20	0.92	brenda_any	56.6	61523.15786956499	False	162929087.4349658	157179315.05138677	114372981.48485522
rxn01368_c0	Cytidine aminohydrolase_c0		3.5.4.5	143.222	brenda_any	52.47	366.35820672300787	False	310254841.24361914	248329138.7202967	115917230.45610063
rxn13363_c0	N-formyltyrosine oxidase_c0		1.6.2.4	102.0	brenda_fungal	57.93	567.9849876470579	False	153286626.59818548	153021700.70947674	215059665.80589318
rxn10832_c0	CoA transporter_m0			10.0	default_no_ec	41.17	4116.677343999994	False			
rxn30333_m0	2-aceto-2-hydroxybutanoate synthase, mitochondrial_m0		2.2.1.6	61.6	brenda_any	34.6	561.6453870129869	False	214708310.45985943	302186569.5473596	224675017.08426276
rxn03062_c0	3-Isopropylmalate:NAD+ oxidoreductase_c0		1.1.1.85	50.1	brenda_any	38.69	772.2445137724542	False	246712763.0403715	232243195.9413966	256812908.37665495
rxn00214_c0	UDP-glucose 4-epimerase_c0		5.1.3.2	64.8	brenda_fungal	40.84	630.2376101851844	True	238053923.16144985	249760418.6617316	120468795.75587474
rxn00119_c0	ATP:UMP phosphotransferase_c0		2.7.4.14	175.4	brenda_any	33.05	188.45417468643095	True	246089333.3489096	267505604.89343327	341289083.38083667
rxn30365_c0	CDP-Diacylglycerol synthetase, yeast-specific, mitochondrial_c0		2.7.7.41	8.92	brenda_fungal	85.45	9579.117493273561	True	105525416.74779242	72013347.0330359	93503055.17621714
rxn00510_c0	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-lysine-forming)_c0		1.5.1.7	18.8	brenda_fungal	41.21	2192.0669329787206	True	315300624.1787674	459529739.78699917	552591626.203042
rxn08857_c0	Lysyl-tRNA synthetase_c0		6.1.1.6	8.2	brenda_any	71.16	8677.681870731692	False	167861457.44222638	157194461.11859253	165884604.33481312
rxn00907_m0	5,10-methylenetetrahydrofolate:NADP+ oxidoreductase_m0		3.5.4.9	169.8	brenda_any	118.39	697.2295349823358	True	385749926.9761907	360711651.6600296	188475672.12430087
rxn00737_c0	L-threonine ammonia-lyase (2-oxobutanoate-forming)_c0		4.3.1.19	1394.0	brenda_any	41.77	29.961135466284013	False	81221055.47510405	94157964.6586115	65719368.88960518
rxn01396_c0	ATP:pyridoxine 5'-phosphotransferase_c0		2.7.1.35	3.58	brenda_any	44.07	12310.569117318422	False	56113625.94585992	90400934.87063883	52860982.609395154
rxn05235_c0	2'-Deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase_c0		1.17.4.1	9.61	brenda_any	15.72	1636.00404162331	False	13611404157.237934	15176211649.374285	8648133279.658728
rxn02937_c0	2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)_c0		6.3.4.13	6.34	brenda_any	158.32	24971.779675079008	False	123349450.61986351	156317519.2703171	113232675.90825973
rxn00260_c0	L-Aspartate:2-oxoglutarate aminotransferase_c0		2.6.1.1	319.0	brenda_any	49.06	153.80744025078354	True	486064827.8532282	422697111.3150356	464344333.71008885
rxn09473_x0	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexacosyl-CoA), peroxisomal_x0		1.1.1.100	117.5	brenda_fungal	97.58	830.4285714042584	False	451300564.9791456	425781955.1422406	496432153.5702999
rxn00130_c0	AMP aminohydrolase_c0		3.5.4.6	5.59	brenda_ecfamily	200.84	35928.17993559962	False	83441990.31335858	101750896.16600826	95519174.83157909
rxn00363_c0	Cytidine-5'-monophosphate phosphohydrolase_c0		3.1.3.-	13.5	brenda_ecfamily	34.98	2590.894914074073	False	52681536.08237353	39630946.62279603	60437871.79397528
rxn01507_c0	2'-Deoxyadenosine 5'-monophosphate phosphohydrolase_c0		3.1.3.89	3.48	brenda_fungal	30.82	8856.567597701147	False	91646130.60841663	75094507.69012202	121363540.7081785
rxn01301_c0	L-Homoserine:NAD+ oxidoreductase_c0		1.1.1.3	39.78	brenda_any	38.48	967.3940608345895	False	384429519.1555838	400272634.15715915	389734610.66386807
rxn21082_c0	myristoyl-ACP hydrolase activity_c0		2.7.8.7	1.161	brenda_any	203.65	175405.13844961347	True	163046032.12912548	611307669.1863863	48967762.92428113
rxn27497_c0	3-carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating)_c0		2.3.3.13	13.79	brenda_fungal	70.63	5121.603411167503	False	172821144.7255746	141845143.9759252	127875555.10673098
rxn00194_c0	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)_c0		4.1.1.15	0.537	brenda_fungal	64.01	119204.10566107972	False	679814262.1164988	806264113.6060376	241855884.2154376
rxn00369_c0	GTP:cytidine 5'-phosphotransferase_c0		1.6.5.9	0.031	brenda_fungal	113.37	3657210.1238709814	False	79388745.58907671	89368302.19990122	89326856.36541352
rxn00351_c0	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)_c0		6.3.2.3	16.328	brenda_any	57.24	3505.489719500239	False	104563028.80709808	120852145.2669032	42849994.46644259
rxn00127_c0	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]_c0		4.1.1.50	1.61	brenda_any	56.73	35237.98580124221	False	17165615.066476215	40266248.69873234	293397955.2001328
rxn01673_c0	ATP:dCDP phosphotransferase_c0		2.7.4.6	321.0	brenda_fungal	31.19	97.16652629283482	True	2886058239.9714293	2453246329.3976145	3754942378.645335
rxn00917_c0	Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)_c0		6.3.5.2	1657.0	brenda_fungal	59.12	35.68069791188886	False	76597542.67840292	124990569.71468414	104169677.50565857
rxn00409_c0	ATP:CDP phosphotransferase_c0		2.7.4.6	321.0	brenda_fungal	31.19	97.16652629283482	True	2886058239.9714293	2453246329.3976145	3754942378.645335
rxn01917_m0	ATP:N-acetyl-L-glutamate 5-phosphotransferase_m0		2.7.2.8	13.0	brenda_fungal	98.21	7554.666910769259	False	189712099.47849995	239021585.56967196	184932928.9190138
