ec	kcat	tier	n	n_fungal	n_any
1.1.1.390	30.56	brenda_any	2	0	2
1.1.1.391	19.72	brenda_any	6	0	6
1.1.1.392	4.85	brenda_any	1	0	1
1.1.1.393	157.2	brenda_any	1	0	1
1.1.1.395	0.739	brenda_any	30	0	30
1.1.1.399	33.3	brenda_any	1	0	1
1.1.1.4	96.62	brenda_fungal	48	8	48
1.1.1.40	275.7	brenda_any	221	0	221
1.1.1.401	0.724	brenda_any	3	0	3
1.1.1.404	18.3	brenda_any	4	0	4
1.1.1.405	17.623	brenda_any	14	0	14
1.1.1.407	1.9	brenda_any	1	0	1
1.1.1.408	7.25	brenda_any	4	0	4
1.1.1.41	94.04	brenda_any	90	0	90
1.1.1.410	17.4	brenda_any	2	0	2
1.1.1.411	31.5	brenda_any	10	0	10
1.1.1.412	1.76	brenda_any	5	0	5
1.1.1.414	63.18	brenda_any	4	0	4
1.1.1.415	1.718	brenda_any	4	0	4
1.1.1.416	10.0	brenda_any	1	0	1
1.1.1.42	72.0	brenda_fungal	183	3	183
1.1.1.422	38.124	brenda_any	17	0	17
1.1.1.423	33.618	brenda_any	17	0	17
1.1.1.424	359.2	brenda_any	3	0	3
1.1.1.425	333.0	brenda_any	1	0	1
1.1.1.427	69.5	brenda_fungal	12	8	12
1.1.1.430	27.5	brenda_fungal	34	8	34
1.1.1.431	4638.0	brenda_fungal	74	32	74
1.1.1.433	22.83	brenda_any	10	0	10
1.1.1.434	9.3	brenda_any	3	0	3
1.1.1.435	23.5	brenda_any	6	0	6
1.1.1.44	70.45	brenda_any	56	0	56
1.1.1.45	6.7333	brenda_any	2	0	2
1.1.1.47	325.5	brenda_any	126	0	126
1.1.1.48	1097.8	brenda_any	2	0	2
1.1.1.49	83.0	brenda_fungal	69	1	69
1.1.1.50	60.0	brenda_any	103	0	103
1.1.1.51	2.29	brenda_any	42	0	42
1.1.1.53	297.6	brenda_any	9	0	9
1.1.1.54	3.25	brenda_any	2	0	2
1.1.1.56	193.8	brenda_any	5	0	5
1.1.1.59	30.97	brenda_fungal	6	4	6
1.1.1.6	97.796	brenda_any	52	0	52
1.1.1.60	243.0	brenda_any	1	0	1
1.1.1.61	1329.0	brenda_any	1	0	1
1.1.1.62	4.08	brenda_any	44	0	44
1.1.1.64	0.148	brenda_any	1	0	1
1.1.1.67	212.0	brenda_fungal	68	5	68
1.1.1.69	2.6	brenda_fungal	4	4	4
1.1.1.71	62.9	brenda_fungal	49	6	49
1.1.1.72	52.84	brenda_any	3	0	3
1.1.1.76	717.2	brenda_any	9	0	9
1.1.1.79	22000.0	brenda_any	71	0	71
1.1.1.8	372.0	brenda_any	15	0	15
1.1.1.80	0.22	brenda_fungal	2	2	2
1.1.1.81	189.6	brenda_any	39	0	39
1.1.1.82	222.7	brenda_any	12	0	12
1.1.1.85	50.1	brenda_any	223	0	223
1.1.1.86	3.6	brenda_any	153	0	153
1.1.1.87	17.0	brenda_fungal	63	15	63
1.1.1.88	21.73	brenda_any	2	0	2
1.1.1.9	210.0	brenda_fungal	69	38	69
1.1.1.90	568.4	brenda_any	23	0	23
1.1.1.91	2.87	brenda_fungal	45	6	45
1.1.1.93	11.94	brenda_any	13	0	13
1.1.1.95	1569.9	brenda_any	124	0	124
1.1.2.10	3.88	brenda_any	12	0	12
1.1.2.3	473.0	brenda_fungal	88	87	88
1.1.2.4	1500.0	brenda_fungal	11	2	11
1.1.2.7	2.96	brenda_any	11	0	11
1.1.2.8	68.15	brenda_any	4	0	4
1.1.3.10	615.0	brenda_fungal	314	262	314
1.1.3.12	16.18	brenda_any	3	0	3
1.1.3.13	87.5	brenda_colletotrichum	46	11	46
1.1.3.15	15.62	brenda_any	39	0	39
1.1.3.17	60.0	brenda_any	60	0	60
1.1.3.2	274.0	brenda_any	23	0	23
1.1.3.21	22.03	brenda_any	4	0	4
1.1.3.23	4.667	brenda_any	2	0	2
1.1.3.30	45.24	brenda_any	2	0	2
1.1.3.37	20.9	brenda_fungal	3	2	3
1.1.3.38	39.0	brenda_fungal	150	144	150
1.1.3.4	2003.0	brenda_fungal	98	80	98
1.1.3.41	13.0	brenda_any	49	0	49
1.1.3.46	4.669	brenda_any	4	0	4
1.1.3.47	201.0	brenda_colletotrichum	71	39	71
1.1.3.50	4.3	brenda_any	1	0	1
1.1.3.6	63.8	brenda_any	129	0	129
1.1.3.7	289.0	brenda_colletotrichum	201	185	201
1.1.3.8	0.005	brenda_any	1	0	1
1.1.3.9	12243.0	brenda_fungal	89	77	89
1.1.5.10	124.0	brenda_any	6	0	6
1.1.5.12	109.2	brenda_any	13	0	13
1.1.5.13	551.708	brenda_any	2	0	2
1.1.5.14	223.6	brenda_any	4	0	4
1.1.5.2	2581.2	brenda_any	129	0	129
1.1.5.3	33.3	brenda_any	1	0	1
1.1.5.4	13.434	brenda_any	4	0	4
1.1.5.5	71.63	brenda_any	18	0	18
1.1.5.9	418.0	brenda_colletotrichum	14	12	14
1.1.9.1	20.02	brenda_any	8	0	8
1.1.98.2	3.65	brenda_any	16	0	16
1.1.98.5	153.85	brenda_any	12	0	12
1.1.99.13	239.0	brenda_fungal	7	7	7
1.1.99.14	5.42	brenda_any	3	0	3
1.1.99.18	156.0	brenda_fungal	393	185	393
1.1.99.2	613.0	brenda_any	1	0	1
1.1.99.20	11.5	brenda_any	6	0	6
1.1.99.21	3820.0	brenda_any	1	0	1
1.1.99.28	200.0	brenda_any	4	0	4
1.1.99.29	111.1	brenda_fungal	177	29	177
1.1.99.31	272.0	brenda_any	120	0	120
1.1.99.32	13.81	brenda_any	2	0	2
1.1.99.35	3083.7	brenda_any	40	0	40
1.1.99.38	0.0306	brenda_any	3	0	3
1.1.99.39	11.792	brenda_any	7	0	7
1.1.99.40	4.9	brenda_fungal	2	2	2
1.1.99.42	266.8	brenda_any	5	0	5
1.1.99.9	22.0	brenda_any	1	0	1
1.10.3.1	1350.0	brenda_fungal	58	24	58
1.10.3.15	19.0	brenda_any	6	0	6
1.10.3.2	158300.0	brenda_fungal	505	131	505
1.10.3.3	3110.0	brenda_fungal	21	8	21
1.10.3.4	19.0	brenda_any	6	0	6
1.10.3.9	0.054	brenda_any	1	0	1
1.10.5.1	55.696	brenda_any	9	0	9
1.11.1.1	71.68	brenda_any	8	0	8
1.11.1.10	842.6	brenda_any	35	0	35
1.11.1.11	0.2	brenda_fungal	45	1	45
1.11.1.12	69.88	brenda_any	4	0	4
1.11.1.13	479.7	brenda_fungal	125	12	125
1.11.1.14	2.13	brenda_fungal	36	3	36
1.11.1.16	54500.0	brenda_fungal	245	204	245
1.11.1.18	1950.0	brenda_any	6	0	6
1.11.1.19	375.0	brenda_fungal	209	12	209
1.11.1.20	0.25	brenda_any	11	0	11
1.11.1.21	7565.0	brenda_fungal	208	11	208
1.11.1.23	0.0028	brenda_any	1	0	1
1.11.1.24	19.0	brenda_fungal	50	2	50
1.11.1.25	22.68	brenda_any	7	0	7
1.11.1.26	40.0	brenda_any	28	0	28
1.11.1.28	17.95	brenda_any	15	0	15
1.11.1.5	2000.0	brenda_fungal	57	46	57
1.11.1.6	2830000.0	brenda_fungal	45	3	45
1.11.1.7	320.0	brenda_fungal	97	14	97
1.11.1.8	73.0	brenda_any	6	0	6
1.11.1.9	648.0	brenda_any	23	0	23
1.11.2.1	1910.0	brenda_fungal	139	13	139
1.11.2.2	39.0	brenda_any	33	0	33
1.11.2.5	0.4489	brenda_any	2	0	2
1.11.2.6	1.4076	brenda_any	2	0	2
1.12.1.2	284.0	brenda_any	21	0	21
1.12.2.1	133.2	brenda_any	19	0	19
1.12.5.1	7.05	brenda_any	1	0	1
1.12.7.2	474.3	brenda_any	4	0	4
1.12.98.1	4522.6	brenda_any	10	0	10
1.12.98.2	1413.3	brenda_any	2	0	2
1.12.99.6	842.0	brenda_any	8	0	8
1.13.11.1	5.6	brenda_fungal	68	2	68
1.13.11.11	323.127	brenda_any	8	0	8
1.13.11.12	18.58	brenda_fungal	22	4	22
1.13.11.15	15.24	brenda_any	20	0	20
1.13.11.16	23.92	brenda_any	3	0	3
1.13.11.18	169.6	brenda_any	14	0	14
1.13.11.2	396.0	brenda_any	52	0	52
1.13.11.20	16.9	brenda_any	31	0	31
1.13.11.24	466.7	brenda_fungal	12	4	12
1.13.11.27	6.8	brenda_any	60	0	60
1.13.11.3	3.9	brenda_fungal	40	1	40
1.13.11.31	36.94	brenda_any	34	0	34
1.13.11.33	16.66	brenda_any	54	0	54
1.13.11.34	70.2	brenda_any	7	0	7
1.13.11.36	13.3	brenda_any	1	0	1
1.13.11.37	59.31	brenda_any	4	0	4
1.13.11.38	114.0	brenda_any	9	0	9
1.13.11.39	53.83	brenda_any	61	0	61
1.13.11.4	155.632	brenda_any	33	0	33
1.13.11.40	198.2	brenda_any	17	0	17
1.13.11.41	2.41	brenda_any	2	0	2
1.13.11.45	0.0122	brenda_fungal	5	1	5
1.13.11.46	3.7	brenda_any	11	0	11
1.13.11.47	35.73	brenda_any	14	0	14
1.13.11.48	110.9	brenda_any	41	0	41
1.13.11.49	6065.0	brenda_any	24	0	24
1.13.11.5	67.34	brenda_any	9	0	9
1.13.11.50	6.6	brenda_any	31	0	31
1.13.11.52	9.05	brenda_any	106	0	106
1.13.11.53	500.0	brenda_any	4	0	4
1.13.11.54	260.0	brenda_any	5	0	5
1.13.11.55	1.99	brenda_any	2	0	2
1.13.11.57	286.18	brenda_any	2	0	2
1.13.11.58	334.0	brenda_any	8	0	8
1.13.11.6	17.5066	brenda_any	4	0	4
1.13.11.60	35.0	brenda_colletotrichum	29	28	29
1.13.11.61	5.12	brenda_any	6	0	6
1.13.11.63	0.1082	brenda_any	20	0	20
1.13.11.65	981.78	brenda_any	7	0	7
1.13.11.66	4.625	brenda_any	12	0	12
1.13.11.67	0.0993	brenda_any	2	0	2
1.13.11.71	0.0475	brenda_fungal	4	3	4
1.13.11.72	0.764	brenda_any	2	0	2
1.13.11.73	0.178	brenda_any	3	0	3
1.13.11.74	147.0	brenda_any	1	0	1
1.13.11.75	1144.1	brenda_any	4	0	4
1.13.11.77	169.4	brenda_any	3	0	3
1.13.11.78	11.0	brenda_any	10	0	10
1.13.11.79	0.0148	brenda_any	3	0	3
1.13.11.8	218.8	brenda_any	19	0	19
1.13.11.80	0.172	brenda_any	15	0	15
1.13.11.81	0.0011	brenda_any	1	0	1
1.13.11.82	0.3616	brenda_any	3	0	3
1.13.11.88	10.14	brenda_any	10	0	10
1.13.11.89	2.308	brenda_any	3	0	3
1.13.11.91	0.685	brenda_any	20	0	20
1.13.11.92	3.941	brenda_any	2	0	2
1.13.11.93	5.5	brenda_any	1	0	1
1.13.12.15	4.118	brenda_any	2	0	2
1.13.12.16	6400.0	brenda_fungal	65	62	65
1.13.12.19	0.34	brenda_any	9	0	9
1.13.12.2	8.1	brenda_any	11	0	11
1.13.12.22	1.5	brenda_any	11	0	11
1.13.12.3	13.2	brenda_any	16	0	16
1.13.12.4	0.0148	brenda_any	1	0	1
1.13.12.5	4.4	brenda_any	6	0	6
1.13.12.6	21.363	brenda_any	3	0	3
1.13.12.7	0.24	brenda_any	49	0	49
1.13.12.9	113.8	brenda_any	2	0	2
1.13.99.1	116.38	brenda_any	8	0	8
1.14.11.1	11.304	brenda_any	18	0	18
1.14.11.11	3.61	brenda_any	2	0	2
1.14.11.16	0.53	brenda_any	8	0	8
1.14.11.17	3.03	brenda_any	10	0	10
1.14.11.2	20.0	brenda_any	43	0	43
1.14.11.21	5.273	brenda_any	3	0	3
1.14.11.26	0.325	brenda_any	42	0	42
1.14.11.28	3.2	brenda_any	1	0	1
1.14.11.29	0.5155	brenda_any	16	0	16
1.14.11.30	0.55	brenda_any	6	0	6
1.14.11.31	0.0187	brenda_any	3	0	3
1.14.11.32	0.0151	brenda_any	3	0	3
1.14.11.33	0.1221	brenda_any	15	0	15
1.14.11.35	4.2	brenda_any	1	0	1
1.14.11.38	0.19	brenda_fungal	1	1	1
1.14.11.39	4.98	brenda_any	1	0	1
1.14.11.4	2.12	brenda_any	3	0	3
1.14.11.41	37.57	brenda_any	3	0	3
1.14.11.43	11.698	brenda_any	5	0	5
1.14.11.44	4.252	brenda_any	7	0	7
1.14.11.45	6.9	brenda_any	15	0	15
1.14.11.47	0.497	brenda_any	2	0	2
1.14.11.48	72.0	brenda_fungal	29	29	29
1.14.11.49	1.504	brenda_any	2	0	2
1.14.11.52	0.97	brenda_any	2	0	2
1.14.11.53	0.033	brenda_any	10	0	10
1.14.11.54	0.0379	brenda_any	5	0	5
1.14.11.55	7.82	brenda_any	10	0	10
1.14.11.56	24.6	brenda_any	5	0	5
1.14.11.59	2.1	brenda_any	1	0	1
1.14.11.6	0.765	brenda_fungal	12	3	12
1.14.11.60	1.73	brenda_any	1	0	1
1.14.11.61	9.368	brenda_any	3	0	3
1.14.11.65	0.282	brenda_any	4	0	4
1.14.11.66	0.0542	brenda_any	14	0	14
1.14.11.67	0.1017	brenda_any	20	0	20
1.14.11.69	0.0002	brenda_any	2	0	2
1.14.11.70	0.03	brenda_any	1	0	1
1.14.11.71	0.414	brenda_any	2	0	2
1.14.11.78	0.365	brenda_any	5	0	5
1.14.12.10	187.8	brenda_any	6	0	6
1.14.12.12	1.739	brenda_any	2	0	2
1.14.12.17	382.0	brenda_any	6	0	6
1.14.12.18	3.5	brenda_any	21	0	21
1.14.12.22	5.316	brenda_any	3	0	3
1.14.12.23	0.536	brenda_any	20	0	20
1.14.12.7	2.09	brenda_any	2	0	2
1.14.13.1	6.54	brenda_any	10	0	10
1.14.13.101	0.978	brenda_any	5	0	5
1.14.13.105	5.56	brenda_any	5	0	5
1.14.13.113	42.0	brenda_any	13	0	13
1.14.13.114	11.39	brenda_any	32	0	32
1.14.13.127	0.7315	brenda_any	2	0	2
1.14.13.128	2.693	brenda_any	4	0	4
1.14.13.131	5.45	brenda_any	1	0	1
1.14.13.148	0.733	brenda_any	15	0	15
1.14.13.154	1.8	brenda_any	1	0	1
1.14.13.16	2.16	brenda_any	3	0	3
1.14.13.160	8.91	brenda_any	8	0	8
1.14.13.163	19.14	brenda_any	7	0	7
1.14.13.168	0.31	brenda_any	1	0	1
1.14.13.172	1.738	brenda_any	2	0	2
1.14.13.178	2.87	brenda_any	4	0	4
1.14.13.179	0.698	brenda_any	4	0	4
1.14.13.181	0.4482	brenda_any	4	0	4
1.14.13.182	3.32	brenda_any	9	0	9
1.14.13.189	0.013	brenda_any	1	0	1
1.14.13.195	1.06	brenda_fungal	15	14	15
1.14.13.196	1.36	brenda_fungal	16	14	16
1.14.13.2	41.0	brenda_any	46	0	46
1.14.13.20	6.83	brenda_any	1	0	1
1.14.13.210	0.0149	brenda_any	2	0	2
1.14.13.212	6.16	brenda_any	4	0	4
1.14.13.215	13.4008	brenda_any	3	0	3
1.14.13.22	13.0	brenda_any	69	0	69
1.14.13.223	1.48	brenda_any	1	0	1
1.14.13.225	3.42	brenda_any	13	0	13
1.14.13.230	1.044	brenda_any	9	0	9
1.14.13.231	1.148	brenda_any	19	0	19
1.14.13.236	2.95	brenda_any	26	0	26
1.14.13.24	23.8	brenda_any	19	0	19
1.14.13.242	787.6	brenda_any	5	0	5
1.14.13.244	0.286	brenda_any	1	0	1
1.14.13.248	1.185	brenda_any	2	0	2
1.14.13.25	9.26	brenda_any	9	0	9
1.14.13.251	0.845	brenda_any	2	0	2
1.14.13.252	0.62	brenda_any	9	0	9
1.14.13.29	0.127	brenda_any	1	0	1
1.14.13.33	15.3	brenda_any	11	0	11
1.14.13.39	91.6	brenda_any	25	0	25
1.14.13.4	3.87	brenda_any	1	0	1
1.14.13.40	70.8	brenda_any	1	0	1
1.14.13.44	15.46	brenda_any	43	0	43
1.14.13.5	37.7	brenda_any	1	0	1
1.14.13.50	15200.0	brenda_any	11	0	11
1.14.13.54	2.4	brenda_any	6	0	6
1.14.13.59	1.623	brenda_any	28	0	28
1.14.13.6	26.0	brenda_any	1	0	1
1.14.13.63	35.94	brenda_any	4	0	4
1.14.13.64	19.8	brenda_fungal	17	16	17
1.14.13.7	1586.4	brenda_any	13	0	13
1.14.13.8	4.52	brenda_any	123	0	123
1.14.13.81	0.0174	brenda_any	2	0	2
1.14.13.84	12.45	brenda_any	66	0	66
1.14.13.9	2.891	brenda_any	8	0	8
1.14.13.92	2.7	brenda_any	61	0	61
1.14.14.1	125.34	brenda_any	38	0	38
1.14.14.108	516.8	brenda_any	5	0	5
1.14.14.11	1.64	brenda_any	7	0	7
1.14.14.111	48.7	brenda_any	2	0	2
1.14.14.114	7.119	brenda_any	2	0	2
1.14.14.12	0.224	brenda_any	5	0	5
1.14.14.123	0.013	brenda_any	6	0	6
1.14.14.127	0.003	brenda_any	1	0	1
1.14.14.133	78.56	brenda_any	2	0	2
1.14.14.14	0.02	brenda_any	1	0	1
1.14.14.141	340.0	brenda_any	1	0	1
1.14.14.147	0.0464	brenda_any	10	0	10
1.14.14.148	3.1	brenda_any	5	0	5
1.14.14.149	0.5811	brenda_any	10	0	10
1.14.14.15	0.023	brenda_any	1	0	1
1.14.14.151	15.58	brenda_any	12	0	12
1.14.14.154	0.55	brenda_fungal	6	4	6
1.14.14.16	2.1	brenda_any	36	0	36
1.14.14.17	0.0729	brenda_any	5	0	5
1.14.14.175	4.4	brenda_any	1	0	1
1.14.14.178	0.0271	brenda_any	2	0	2
1.14.14.18	0.2938	brenda_any	2	0	2
1.14.14.183	0.05	brenda_any	1	0	1
1.14.14.19	1.06	brenda_any	18	0	18
1.14.14.20	173.4	brenda_any	3	0	3
1.14.14.21	0.0744	brenda_any	5	0	5
1.14.14.23	0.1194	brenda_any	13	0	13
1.14.14.24	2.4201	brenda_any	14	0	14
1.14.14.25	0.0624	brenda_any	8	0	8
1.14.14.28	0.064	brenda_any	10	0	10
1.14.14.29	0.0314	brenda_any	2	0	2
1.14.14.3	0.07	brenda_any	4	0	4
1.14.14.30	1.97	brenda_any	1	0	1
1.14.14.32	4.102	brenda_any	17	0	17
1.14.14.33	20.19	brenda_any	10	0	10
1.14.14.36	5.83	brenda_any	6	0	6
1.14.14.38	1.07	brenda_any	5	0	5
1.14.14.39	3.67	brenda_any	7	0	7
1.14.14.41	0.329	brenda_any	4	0	4
1.14.14.43	1.95	brenda_any	3	0	3
1.14.14.44	0.695	brenda_any	6	0	6
1.14.14.45	0.873	brenda_any	8	0	8
1.14.14.47	0.183	brenda_any	1	0	1
1.14.14.5	1.093	brenda_any	12	0	12
1.14.14.55	0.1128	brenda_any	2	0	2
1.14.14.58	0.2	brenda_any	4	0	4
1.14.14.59	0.2	brenda_any	1	0	1
1.14.14.66	0.37	brenda_any	1	0	1
1.14.14.68	1.4	brenda_any	1	0	1
1.14.14.69	0.11	brenda_any	1	0	1
1.14.14.70	0.021	brenda_any	3	0	3
1.14.14.76	0.01	brenda_any	1	0	1
1.14.14.77	2.485	brenda_any	4	0	4
1.14.14.78	0.3296	brenda_any	4	0	4
1.14.14.80	1.18	brenda_any	39	0	39
1.14.14.81	62.08	brenda_any	4	0	4
1.14.14.82	28.74	brenda_any	17	0	17
1.14.14.83	2.5331	brenda_any	2	0	2
1.14.14.84	40.8	brenda_any	3	0	3
