condition	rxn_id	name	subsystem	ec	kcat	mw_kDa	flux	ceiling	utilization	saturated
half	rxn39089_c0	phosphatidylserine synthase, yeast-specific, mitochondrial_c0		2.7.8.8	0.065	100.56	0.0019	0.04334	0.0439	False
half	rxn30674_c0	(S)-malate hydro-lyase (fumarate-forming)_c0		4.2.1.2	0.098	29.38	-0.01853	0.45286	0.0409	False
half	rxn02938_c0	1-(5-phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase_c0		6.3.4.18	0.25	66.54	0.0083	0.23711	0.035	False
half	rxn30365_c0	CDP-Diacylglycerol synthetase, yeast-specific, mitochondrial_c0		2.7.7.41	8.92	85.45	0.11462	3.88511	0.0295	False
half	rxn09511_r0	Dolichyl-phosphate-mannose--protein mannosyltransferase 1_r0		2.4.1.109	2.9	83.91	0.05119	2.23394	0.0229	False
half	rxn02504_m0	2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase_m0		2.7.6.3	0.17	51.54	0.00101	0.04786	0.0212	False
half	rxn02200_m0	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_m0		2.7.6.3	0.17	51.54	0.00101	0.04786	0.0212	False
half	rxn23534_r0	3-oxoarachidoyl-CoA-reductase		1.1.1.62	4.08	37.45	-0.07447	3.87181	0.0192	False
half	rxn23531_r0	3-oxo-behenoyl-CoA-reductase		1.1.1.62	4.08	37.45	-0.07447	3.87181	0.0192	False
half	rxn23535_r0	3-oxo-lignoceronyl-CoA-reductase		1.1.1.62	4.08	37.45	-0.07447	3.87181	0.0192	False
half	rxn19046_r0	trans-arachidon-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.07447	3.9903	0.0187	False
half	rxn19044_r0	trans-docosan-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.07447	3.9903	0.0187	False
half	rxn19045_r0	trans-lignocero-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.07447	3.9903	0.0187	False
half	rxn23536_r0	3-hydroxy-lignoceroyl-CoA dehydratase		1.1.1.62	4.08	37.45	-0.06948	3.87181	0.0179	False
half	rxn19047_r0	trans-cerot-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.06948	3.9903	0.0174	False
half	rxn08173_m0	F(1)-ATPase		7.1.2.1	3.0	8.0	7.46256	533.37136	0.014	False
onetenth	rxn30674_m0	Fumarase_m0		4.2.1.2	0.098	29.38	0.05922	0.05922	1.0	True
onetenth	rxn09524_c0	NADH dehydrogenase, cytosolic/mitochondrial_m0		3.1.26.5	1.3	29.48	0.43939	0.43939	1.0	True
onetenth	PINOS_SC_c0	Phosphatidylinositol synthase  yeast specific		2.7.8.11	0.065	35.16	0.02413	0.02413	1.0	True
onetenth	rxn03084_c0	5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)_c0		6.3.5.3	0.05	147.78	0.00189	0.00197	0.9592	False
onetenth	rxn09552_c0	diacylglycerol cholinephosphotransferase, yeast-specific_c0		2.7.8.1	0.065	47.82	0.02386	0.03124	0.7639	False
onetenth	rxn00533_c0	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0		6.4.1.2	16.0	254.28	0.31472	0.45026	0.699	False
onetenth	rxn00216_c0			2.7.1.1	1.67	41.2	0.25089	0.48495	0.5174	False
onetenth	rxn30674_c0	(S)-malate hydro-lyase (fumarate-forming)_c0		4.2.1.2	0.098	29.38	-0.0196	0.05922	0.331	False
onetenth	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0			10.0	58.08	0.34971	1.05701	0.3308	False
onetenth	rxn09555_c0	 1-Acyl-glycerol-3-phosphate acyltransferase, yeast-specific		2.3.1.23	0.012	35.72	0.00081	0.00269	0.3031	False
onetenth	rxn09502_c0	Glucokinase_c0		2.7.1.1	1.67	60.09	0.09882	0.33248	0.2972	False
onetenth	rxn09780_c0	ADP/ATP transporter, mitochondrial_c0			10.0	50.66	1.66253	7.7342	0.215	False
onetenth	rxn09548_c0	glycerol 3-phosphate acyltransferase (glycerol 3-phosphate), yeast-specific		2.3.1.15	0.068	121.58	0.00081	0.00381	0.2135	False
onetenth	rxn23551_r0	3-oxo-arachidonyl-CoA-synthase		2.3.1.199	1.0	37.3	0.01594	0.08052	0.198	False
onetenth	rxn23554_r0	3-oxo-behenoyl-CoA-synthase		2.3.1.199	1.0	37.3	0.01594	0.08052	0.198	False
onetenth	rxn23559_r0	3-oxo-lignoceronyl-CoA-synthase		2.3.1.199	1.0	37.3	0.01594	0.08052	0.198	False
onetenth	rxn01643_c0	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)_c0		1.2.1.11	0.12	38.76	-0.00479	0.0254	0.1886	False
onetenth	rxn23557_r0	3-oxo-cerotoyl-CoA-synthase		2.3.1.199	1.0	37.3	0.01488	0.08052	0.1848	False
onetenth	rxn00751_c0	ATP:choline phosphotransferase_c0		2.7.1.32	2.55	89.09	0.02386	0.16616	0.1436	False
onetenth	rxn00704_c0	alpha-D-Glucose 1-phosphate 1,6-phosphomutase_c0		5.4.2.2	0.74	90.62	-0.02046	0.16099	0.1271	False
onetenth	rxn00948_c0	Palmitoyl-CoA:L-serine C-palmitoyltransferase (decarboxylating)_c0		2.3.1.50	1.14	56.85	0.01594	0.13064	0.122	False
onetenth	rxn02134_c0	Sphinganine:NADP+ 3-oxidoreductase_c0		1.1.1.102	1.07	35.94	0.01594	0.18197	0.0876	False
onetenth	rxn02938_c0	1-(5-phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase_c0		6.3.4.18	0.25	66.54	0.00178	0.02594	0.0685	False
onetenth	rxn39089_c0	phosphatidylserine synthase, yeast-specific, mitochondrial_c0		2.7.8.8	0.065	100.56	0.00041	0.00628	0.0649	False
onetenth	rxn00299_c0	GTP 7,8-8,9-dihydrolase_c0		3.5.4.16	0.025	34.93	0.00022	0.00405	0.0536	False
onetenth	rxn02914_c0	3-Phosphoserine:2-oxoglutarate aminotransferase_c0		2.6.1.52	1.824	45.93	0.01582	0.38122	0.0415	False
onetenth	rxn15561_c0	UDP-glucose:alpha-D-(1-3)-glucan 3-alpha-D-glucosyltransferase	cell wall polysaccharide / alpha-1,3-glucan	2.4.1.183	2.9	271.64	0.00068	0.01651	0.0411	False
onetenth	rxn30365_c0	CDP-Diacylglycerol synthetase, yeast-specific, mitochondrial_c0		2.7.7.41	8.92	85.45	0.02454	0.72129	0.034	False
onetenth	rxn09600_c0	Ceramide-3 synthase (26C)_c0		1.14.18.6	12.7	89.32	0.01415	0.50909	0.0278	False
onetenth	rxn09458_c0	stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA)_c0		1.14.19.1	0.455	53.87	0.00058	0.02476	0.0235	False
onetenth	rxn09400_c0	CustomReaction_c0		2.4.1.34	0.667	30.11	0.0154	0.69372	0.0222	False
