rxn_id	compartment	equation_cpd_ids	equation_names	reaction_name	source	log_action
rxn09587_c0	c0	cpd00083_c0 + 0.01 cpd15243_c0 --> cpd00031_c0 + cpd00067_c0 + 0.01 cpd15259_c0	GDP-mannose_c0 + 0.01 Inositol phosphorylceramide, ceramide-1 (24C), yeast-specific_c0 --> GDP_c0 + H+_c0 + 0.01 mannose-inositol phosphorylceramide, ceramide-1 (24C), yeast-specific_c0	mannose-inositiol phophorylceramide synthase (ceramide-1, 24C), yeast-specific_c0	excel_added_to_fsp237	added_imm904
rxn09586_c0	c0	cpd00083_c0 + 0.01 cpd15244_c0 --> cpd00031_c0 + cpd00067_c0 + 0.01 cpd15260_c0	GDP-mannose_c0 + 0.01 Inositol phosphorylceramide, ceramide-1 (26C), yeast-specific_c0 --> GDP_c0 + H+_c0 + 0.01 mannose-inositol phosphorylceramide, ceramide-1 (26C), yeast-specific_c0	mannose-inositol phosphorylceramide synthase (ceramide-1, 26C), yeast-specific_c0	excel_added_to_fsp237	added_imm904
rxn09585_c0	c0	cpd00083_c0 + 0.01 cpd15245_c0 --> cpd00031_c0 + cpd00067_c0 + 0.01 cpd15261_c0	GDP-mannose_c0 + 0.01 Inositol phosphorylceramide, ceramide-2 (24C), yeast-specific_c0 --> GDP_c0 + H+_c0 + 0.01 mannose-inositol phosphorylceramide, ceramide-2 (24C), yeast-specific_c0	mannose-inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific_c0	excel_added_to_fsp237	added_imm904
rxn09584_c0	c0	cpd00083_c0 + 0.01 cpd15246_c0 --> cpd00031_c0 + cpd00067_c0 + 0.01 cpd15262_c0	GDP-mannose_c0 + 0.01 Inositol phosphorylceramide, ceramide-2 (26C), yeast-specific_c0 --> GDP_c0 + H+_c0 + 0.01 mannose-inositol phosphorylceramide, ceramide-2 (26C), yeast-specific_c0	mannose-inositol phosphorylceramide synthase (ceramide-2, 26C), yeast-specific_c0	excel_added_to_fsp237	added_imm904
rxn09583_c0	c0	cpd00083_c0 + 0.01 cpd15247_c0 --> cpd00031_c0 + cpd00067_c0 + 0.01 cpd15263_c0	GDP-mannose_c0 + 0.01 Inositol phosphorylceramide, ceramide-3 (24C), yeast-specific_c0 --> GDP_c0 + H+_c0 + 0.01 mannose-inositol phosphorylceramide, ceramide-3 (24C), yeast-specific_c0	mannose-inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific_c0	excel_added_to_fsp237	added_imm904
rxn09582_c0	c0	cpd00083_c0 + 0.01 cpd15248_c0 --> cpd00031_c0 + cpd00067_c0 + 0.01 cpd15264_c0	GDP-mannose_c0 + 0.01 Inositol phosphorylceramide, ceramide-3 (26C), yeast-specific_c0 --> GDP_c0 + H+_c0 + 0.01 mannose-inositol phosphorylceramide, ceramide-3 (26C)_c0	mannose-inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific_c0	excel_added_to_fsp237	added_imm904
rxn00744_c0	c0	cpd00002_c0 + cpd00157_c0 --> cpd00008_c0 + cpd00067_c0 + cpd00095_c0	ATP_c0 + Glycerone_c0 --> ADP_c0 + H+_c0 + Glycerone-phosphate_c0	ATP:glycerone phosphotransferase_c0	excel_added_to_fsp237	added_imm904
rxn39089_m0	m0	cpd00054_m0 + 0.01 cpd29685_m0 <=> cpd00046_m0 + cpd00067_m0 + 0.01 cpd29687_m0	L-Serine_m0 + 0.01 cdpdag_BS_m0 <=> CMP_m0 + H+_m0 + 0.01 ps_BS_m0	phosphatidylserine synthase, yeast-specific, mitochondrial_m0	excel_added_to_fsp237	added_imm904
rxn13287_c0	c0	0.02 cpd00134_c0 + 0.03 cpd00327_c0 + 0.015 cpd01695_c0 + 0.01 cpd02755_c0 + 0.655 cpd15238_c0 + 0.01 cpd15241_c0 + 0.27 cpd15274_c0 --> cpd00010_c0 + 0.01 cpd16883_c0	0.02 Palmitoyl-CoA_c0 + 0.03 strcoa_c0 + 0.015 Myristoyl-CoA_c0 + 0.01 Fecosterol_c0 + 0.655 Hexadecenoyl-CoA_c0 + 0.01 Hexacosanoyl-CoA_c0 + 0.27 Octadecenoyl-CoA_c0 --> CoA_c0 + 0.01 fecosterol ester, yeast-specific_c0	Acyl-CoA:fecosterol acyltransferase, yeast-specific_c0	excel_added_to_fsp237	added_imm904
rxn13335_c0	c0	0.02 cpd00134_c0 + 0.03 cpd00327_c0 + 0.01 cpd01188_c0 + 0.015 cpd01695_c0 + 0.655 cpd15238_c0 + 0.01 cpd15241_c0 + 0.27 cpd15274_c0 --> cpd00010_c0 + 0.01 cpd16885_c0	0.02 Palmitoyl-CoA_c0 + 0.03 strcoa_c0 + 0.01 Lanosterol_c0 + 0.015 Myristoyl-CoA_c0 + 0.655 Hexadecenoyl-CoA_c0 + 0.01 Hexacosanoyl-CoA_c0 + 0.27 Octadecenoyl-CoA_c0 --> CoA_c0 + 0.01 lanosterol ester, yeast-specific_c0	Acyl-CoA:lanosterol acyltransferase, yeast-specific_c0	excel_added_to_fsp237	added_imm904
rxn13254_c0	c0	0.02 cpd00134_c0 + 0.03 cpd00327_c0 + 0.015 cpd01695_c0 + 0.01 cpd14514_c0 + 0.655 cpd15238_c0 + 0.01 cpd15241_c0 + 0.27 cpd15274_c0 --> cpd00010_c0 + 0.01 cpd16880_c0	0.02 Palmitoyl-CoA_c0 + 0.03 strcoa_c0 + 0.015 Myristoyl-CoA_c0 + 0.01 Episterol_c0 + 0.655 Hexadecenoyl-CoA_c0 + 0.01 Hexacosanoyl-CoA_c0 + 0.27 Octadecenoyl-CoA_c0 --> CoA_c0 + 0.01 episterol ester, yeast-specific_c0	Acyl-CoA:episterol acyltransferase, yeast-specific_c0	excel_added_to_fsp237	added_imm904
rxn09510_c0	c0	cpd00083_c0 + cpd11619_c0 --> cpd00031_c0 + cpd12407_r0	GDP-mannose_c0 + Dolichyl phosphate_c0 --> GDP_c0 + Dolichyl phosphate D-mannose_r0	Dolichyl-phosphate D-mannosyltransferase_g0	excel_added_to_fsp237	added_imm904
rxn13381_e0	e0	cpd00001_e0 + 0.005 cpd11822_e0 --> 0.27 cpd00214_e0 + 0.5 cpd00902_e0 + 0.05 cpd01080_e0 + 0.02 cpd01107_e0 + 0.06 cpd01741_e0 + 0.1 cpd03847_e0 + 0.17 cpd15237_e0 + 0.24 cpd15269_e0 + 0.09 cpd16888_e0	H2O_e0 + 0.005 1-Phosphatidyl-myo-inositol_e0 --> 0.27 Palmitate_e0 + 0.5 sn-glycero-3-Phospho-1-inositol_e0 + 0.05 ocdca_e0 + 0.02 Decanoate_e0 + 0.06 ddca_e0 + 0.1 Myristic acid_e0 + 0.17 hexadecenoate_e0 + 0.24 octadecenoate_e0 + 0.09 octadecadienoate (n-C18:2)_e0	phospholipase B (phosphatidylinositol), yeast-specific (extracellular)	excel_added_to_fsp237	added_imm904
