rxn_id	name	compartment	direction	lower_bound	upper_bound	equation_cpd	equation_name	ec_number	gpr	subsystem	n_metabolites	flux
PINOS_SC_c0	Phosphatidylinositol synthase  yeast specific	c0	=>	0.0	999999.0	cpd00121_c0 + 0.01 cpd29685_c0 --> cpd00046_c0 + cpd00067_c0 + 0.01 ptd1ino-SC-c_c0	L-Inositol_c0 + 0.01 cdpdag_BS_c0 --> CMP_c0 + H+_c0 + 0.01 Phosphatidyl 1D myo inositol  yeast specific C4140H7644O1300P100		gene_10850		5	0.4071502306837706
rxn13384_c0	phospholipase D, yeast-specific_c0	c0	=>	0.0	999999.0	cpd00001_c0 + 0.01 cpd11624_c0 --> cpd00067_c0 + cpd00098_c0 + 0.01 cpd15276_c0	H2O_c0 + 0.01 Lecithin_c0 --> H+_c0 + Choline_c0 + 0.01 Phosphatidate, yeast-specific_c0		gene_6154		5	0.4025724228280952
rxn00751_c0	ATP:choline phosphotransferase_c0	c0	=>	0.0	999999.0	cpd00002_c0 + cpd00098_c0 --> cpd00008_c0 + cpd00067_c0 + cpd00457_c0	ATP_c0 + Choline_c0 --> ADP_c0 + H+_c0 + Phosphocholine_c0		gene_9170		5	0.40257242282809513
rxn09552_c0	diacylglycerol cholinephosphotransferase, yeast-specific_c0	c0	=>	0.0	999999.0	cpd00256_c0 + 0.01 cpd15192_c0 --> cpd00046_c0 + cpd00067_c0 + 0.01 cpd11624_c0	CDPcholine_c0 + 0.01 1,2-Diacylglycerol, yeast-specific_c0 --> CMP_c0 + H+_c0 + 0.01 Lecithin_c0		YHR123W or YNL130C		5	0.40257242282809513
rxn01380_c0	CTP:choline-phosphate cytidylyltransferase_c0	c0	=>	0.0	999999.0	cpd00052_c0 + cpd00067_c0 + cpd00457_c0 --> cpd00012_c0 + cpd00256_c0	CTP_c0 + H+_c0 + Phosphocholine_c0 --> PPi_c0 + CDPcholine_c0		gene_9244		5	0.40257242282809513
rxn00161_m0	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)_m0	m0	=>	0.0	1000.0	cpd00006_m0 + cpd00130_m0 --> cpd00005_m0 + cpd00011_m0 + cpd00020_m0	NADP_m0 + L-Malate_m0 --> NADPH_m0 + CO2_m0 + Pyruvate_m0		gene_4455 or gene_8151		5	0.4000241097884193
rxn00704_c0	alpha-D-Glucose 1-phosphate 1,6-phosphomutase_c0	c0	<=>	-1000.0	1000.0	cpd00089_c0 <=> cpd00079_c0	Glucose-1-phosphate_c0 <=> D-glucose-6-phosphate_c0		gene_895		2	-0.383780521580542
rxn32754_c0	PHOSMANMUT-RXN.d_c0	c0	<=>	-1000.0	1000.0	cpd00235_c0 <=> cpd00485_c0	D-mannose-6-phosphate_c0 <=> D-Mannose1-phosphate_c0		gene_10016 or gene_1839 or gene_1247		2	0.3774631467397156
rxn00559_c0	D-mannose-6-phosphate aldose-ketose-isomerase_c0	c0	<=>	-1000.0	1000.0	cpd00235_c0 <=> cpd00072_c0	D-mannose-6-phosphate_c0 <=> D-fructose-6-phosphate_c0		gene_10142		2	-0.3774631467397156
rxn00641_c0	GTP:alpha-D-mannose-1-phosphate guanylyltransferase_c0	c0	=>	0.0	1000.0	cpd00038_c0 + cpd00067_c0 + cpd00485_c0 --> cpd00012_c0 + cpd00083_c0	GTP_c0 + H+_c0 + D-Mannose1-phosphate_c0 --> PPi_c0 + GDP-mannose_c0		gene_3827		5	0.3774631467397156
rxn00248_m0	(S)-malate:NAD+ oxidoreductase_m0	m0	<=>	-1000.0	1000.0	cpd00003_m0 + cpd00130_m0 <=> cpd00004_m0 + cpd00032_m0 + cpd00067_m0	NAD_m0 + L-Malate_m0 <=> NADH_m0 + Oxaloacetate_m0 + H+_m0		gene_4455 or gene_10386		5	-0.29684032072150895
rxn09722_c0	phosphate transport via hydroxide ion symport, mitochondrial_m0	c0;m0	<=>	-999999.0	999999.0	cpd00009_c0 + cpd15275_m0 <=> cpd00009_m0 + cpd15275_c0	Phosphate_c0 + hydroxide ion_m0 <=> Phosphate_m0 + hydroxide ion_c0		gene_2195		4	-0.2916216196657414
