rxn_id	name	old_gpr	new_gpr	kept_gene_count	mapped_from_ch63r	unmapped_ch63r_removed	foreign_tokens_removed	curated_ch63r_from_excel	foreign_tokens_in_gpr	weak_matches_used
rxn00198_x0	Isocitrate:NADP+ oxidoreductase (decarboxylating)_x0	YNL009W	gene_11358	0	1	0	1	CH63R_09103	YNL009W	
rxn06134_c0	 MGDG specific palmitate delta-7 desaturase SP:A8J015_CHLRE		gene_1461	0	2	0	0	CH63R_03565;CH63R_04601		
rxn42762_c0	palmitoyl-CoA Z11-desaturase 		gene_1461	0	2	0	0	CH63R_03565;CH63R_04601		
rxn10667_c0	fatty acid synthase (n-C18:1)_c0	YJL196C	gene_1461 or gene_5256 or gene_12063 or gene_313 or gene_12865	0	8	0	1	CH63R_03565;CH63R_04601;CH63R_07457;CH63R_09523;CH63R_09765;CH63R_09768;CH63R_13996;CH63R_13998	YJL196C	CH63R_09523;CH63R_09765;CH63R_09768
rxn08445_c0	fatty-acid-CoA thioesterase (octadecenoate)		gene_5256	0	1	0	0	CH63R_07457		
rxn08053_x0	acyl-CoA dehydrogenase (octadecanoyl-CoA)		gene_6597 or gene_4956	0	2	0	0	CH63R_04256;CH63R_12147		
rxn00946_x0	 Palmitoyl-CoA:oxygen 2-oxidoreductase		gene_6597 or gene_4956	0	2	0	0	CH63R_04256;CH63R_12147		
rxn02804_x0	 myristoyl-CoA:acetylCoA C-myristoyltransferase		gene_5400 or gene_1935	0	2	0	0	CH63R_05320;CH63R_14072		
rxn02803_x0	Tetradecanoyl-CoA:(acceptor) 2,3-oxidoreductase		gene_6597 or gene_4956	0	2	0	0	CH63R_04256;CH63R_12147		
rxn02720_x0	 Lauroyl-CoA:(acceptor) 2,3-oxidoreductase		gene_6597 or gene_4956	0	2	0	0	CH63R_04256;CH63R_12147		
rxn03253_x0	 Decanoyl-CoA:(acceptor) 2,3-oxidoreductase		gene_6597 or gene_4956	0	2	0	0	CH63R_04256;CH63R_12147		
rxn09480_x0	acetyl-CoA acyltransferase (tetracosanoyl-CoA), peroxisomal		gene_5400 or gene_1935	0	2	0	0	CH63R_05320;CH63R_14072		
rxn09463_x0	fatty acid oxidation (tetradecansoyl-CoA), peroxisomal		gene_5400 or gene_2331 or gene_1810 or gene_1935	0	4	0	0	CH63R_05320;CH63R_07711;CH63R_11258;CH63R_14072		
rxn00533_m0	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_m0	YMR207C	gene_10589	0	1	0	1	CH63R_03338	YMR207C	
rxn23551_r0	3-oxo-arachidonyl-CoA-synthase	NP_009963.1 and NP_013476.3	gene_3062 or gene_12844 or gene_6755	0	3	0	2	CH63R_02477;CH63R_04116;CH63R_06044	NP_009963.1;NP_013476.3	
rxn23534_r0	3-oxoarachidoyl-CoA-reductase	NP_009717.1	gene_5506	0	1	0	1	CH63R_13892	NP_009717.1	
rxn23565_r0	3-hydroxy-arachidoyl-CoA dehydratase	NP_012438.1	gene_7317 or gene_6410	0	2	0	1	CH63R_00275;CH63R_03084	NP_012438.1	
rxn19046_r0	trans-arachidon-2-enoyl-CoA reductase	NP_010269.1	gene_9021	0	1	0	1	CH63R_10413	NP_010269.1	
