rxn_id	01_trehalose	02_glycerol	03_palmitate	04_oleate	05_hexacosanoate	06_glucose_low	07_sucrose_low	08_glutamate	09_glutamine	10_gaba	11_galacturonate	12_xylose	13_arabinose	14_maltose	15_mixed_aa	16_pre_infection_mix	17_biotrophic_mix	18_necrotrophic_mix
rxn03004_c0	0.0091325747621638	0.002599816710482	0.014288392575779	0.0160505893568142	0.0258355623520323	0.0045658982358649	0.0045658982358614	0.0066109838322074	0.0066176562368404	0.0062160599859453	0.018713072780164	0.0182635929434469	0.0175026099041382	0.0456589823586313	0.0178543229134014	0.008694081854776	0.0078547210915925	0.0525686157615281
rxn03034_m0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rxn03052_c0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rxn03062_c0	0.0194321260553188	0.0055318425914328	0.0304025811878044	0.0341521513665469	0.0549724384862935	0.0097152350115568	0.0097152350115568	0.0140667308533113	0.0140809282742223	0.0132264190942878	0.0398173350469364	0.038860940046227	0.0372417342109677	0.0971523501155681	0.0	0.0297162606242369	0.0167131323154962	0.0
rxn03063_c0	6.55604792689571e-06	1.86634365432958e-06	2.0514562204996235e-05	1.1522318274813408e-05	1.8546706641799435e-05	3.2777446057884084e-06	3.277744605788404e-06	4.745860611778454e-06	4.750650564852346e-06	4.462354620205067e-06	1.3433648801260607e-05	1.3110978423153512e-05	1.2564687655522187e-05	3.277744605788401e-05	1.281717366359722e-05	6.241264791655826e-06	5.638708608467037e-06	4.009810508127282e-05
rxn03070_m0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rxn03075_c0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rxn03084_c0	0.0091325747621638	0.002599816710482	0.014288392575779	0.0160505893568142	0.0258355623520323	0.0045658982358649	0.0045658982358614	0.0066109838322074	0.0066176562368404	0.0062160599859453	0.018713072780164	0.0182635929434469	0.0175026099041382	0.0456589823586313	0.0178543229134014	0.008694081854776	0.0078547210915925	0.0525686157615281
rxn03091_c0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rxn03108_c0	1.311209585379142e-05	3.7326873086591593e-06	2.0514562204996235e-05	2.3044636549626816e-05	3.709341328359887e-05	6.555489211576817e-06	6.555489211576808e-06	9.491721223556908e-06	9.501301129704693e-06	8.924709240410133e-06	2.6867297602521215e-05	2.6221956846307023e-05	2.512937531104437e-05	6.555489211576802e-05	2.563434732719444e-05	1.2482529583311652e-05	1.1277417216934074e-05	8.019621016254564e-05
rxn03136_c0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rxn03137_c0	0.0124171547735385	0.0035348548813011	0.0194272904081305	0.0218232708124957	0.0351274623795738	0.0062080482833649	0.0062080482833614	0.0089886599987084	0.0089977321698314	0.008451699650668	0.0254433308295956	0.0248321931334468	0.0237975184195548	0.0620804828336311	0.0168033146729864	0.0118209555153956	0.0106797141044345	0.0525686157615281
rxn03147_c0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rxn03167_c0	0.0010489676683032	0.0002986149846927	0.0016411649763997	0.0018435709239701	0.0029674730626879	0.0005244391369261	0.0005244391369261	0.0007593376978845	0.0007601040903763	0.0007139767392328	0.0021493838082018	0.0020977565477045	0.0020103500248835	0.0052443913692614	0.0020507477861755	0.0009986023666649	0.0009021933773547	0.0064156968130036
rxn03175_c0	0.0038221759413801	0.0010880783504741	0.0059799948827564	0.0067175115542162	0.010812729972169	0.0019109251051746	0.0019109251051746	0.0027668367366668	0.0027696292793089	0.0026015527435795	0.0078318172511349	0.0076437004206984	0.0073252129031694	0.0191092510517463	0.0	0.0036386573735353	0.0032873671187362	0.0
rxn03224_m0	1.3112095853792805e-05	3.7326873086591593e-06	2.051456220499622e-05	2.3044636549626816e-05	3.709341328359887e-05	6.555489211576814e-06	6.555489211576814e-06	9.491721223556931e-06	9.501301129704806e-06	8.924709240629738e-06	2.686729760252061e-05	2.622195684630612e-05	2.5129375311044375e-05	6.555489211577156e-05	2.5634347327194856e-05	1.2482529583311652e-05	1.1277417216934074e-05	8.019621016254366e-05
rxn03240_x0	0.0	0.0	0.0	0.0	-0.7327319240402893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
