pathway	condition_id	stage	O2	sum_abs_flux	n_active	n_total	active_rate
Other / unassigned	12_xylose	necrotrophic	anaerobic	10.84	208	576	0.361
Oxidative phosphorylation / ETC	12_xylose	necrotrophic	anaerobic	0.105	5	24	0.208
Pectin / D-galacturonate (Ashwell)	12_xylose	necrotrophic	anaerobic	0.0	0	6	0.0
Pentose phosphate pathway	12_xylose	necrotrophic	anaerobic	6.423	12	20	0.6
Pentose-sugar catabolism	12_xylose	necrotrophic	anaerobic	12.839	4	6	0.667
Sink / demand	12_xylose	necrotrophic	anaerobic	0.017	1	1	1.0
Storage (glycogen / trehalose)	12_xylose	necrotrophic	anaerobic	0.005	2	7	0.286
Sulfur / nitrogen assimilation	12_xylose	necrotrophic	anaerobic	0.018	1	3	0.333
TCA cycle	12_xylose	necrotrophic	anaerobic	0.2	14	34	0.412
Transport (inter-compartmental)	12_xylose	necrotrophic	anaerobic	12.542	60	256	0.234
β-oxidation (peroxisomal)	12_xylose	necrotrophic	anaerobic	0.0	0	54	0.0
Amino-acid metabolism	13_arabinose	necrotrophic	aerobic	3.426	51	162	0.315
Biomass	13_arabinose	necrotrophic	aerobic	0.14	1	6	0.167
Cell-wall polysaccharide	13_arabinose	necrotrophic	aerobic	0.319	8	18	0.444
Cofactor / vitamin biosynthesis	13_arabinose	necrotrophic	aerobic	3.794	39	117	0.333
Compatible solute / mannitol	13_arabinose	necrotrophic	aerobic	0.056	2	2	1.0
Exchange	13_arabinose	necrotrophic	aerobic	36.169	9	170	0.053
Fatty-acid biosynthesis	13_arabinose	necrotrophic	aerobic	0.0	0	38	0.0
GAM / maintenance	13_arabinose	necrotrophic	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	13_arabinose	necrotrophic	aerobic	44.822	25	58	0.431
Lipid / membrane	13_arabinose	necrotrophic	aerobic	0.255	10	35	0.286
Melanin / DHN	13_arabinose	necrotrophic	aerobic	0.001	7	7	1.0
Nucleotide metabolism	13_arabinose	necrotrophic	aerobic	0.943	8	21	0.381
Other / unassigned	13_arabinose	necrotrophic	aerobic	98.436	207	576	0.359
Oxidative phosphorylation / ETC	13_arabinose	necrotrophic	aerobic	53.06	8	24	0.333
Pectin / D-galacturonate (Ashwell)	13_arabinose	necrotrophic	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	13_arabinose	necrotrophic	aerobic	26.126	14	20	0.7
Pentose-sugar catabolism	13_arabinose	necrotrophic	aerobic	20.0	4	6	0.667
Sink / demand	13_arabinose	necrotrophic	aerobic	0.001	1	1	1.0
Storage (glycogen / trehalose)	13_arabinose	necrotrophic	aerobic	0.045	2	7	0.286
Sulfur / nitrogen assimilation	13_arabinose	necrotrophic	aerobic	0.011	1	3	0.333
TCA cycle	13_arabinose	necrotrophic	aerobic	0.738	12	34	0.353
Transport (inter-compartmental)	13_arabinose	necrotrophic	aerobic	63.126	57	256	0.223
β-oxidation (peroxisomal)	13_arabinose	necrotrophic	aerobic	0.0	0	54	0.0
Amino-acid metabolism	14_maltose	necrotrophic	aerobic	6.668	51	162	0.315
Biomass	14_maltose	necrotrophic	aerobic	0.364	1	6	0.167
Cell-wall polysaccharide	14_maltose	necrotrophic	aerobic	0.833	8	18	0.444
Cofactor / vitamin biosynthesis	14_maltose	necrotrophic	aerobic	6.036	39	117	0.333
Compatible solute / mannitol	14_maltose	necrotrophic	aerobic	0.146	2	2	1.0
Exchange	14_maltose	necrotrophic	aerobic	65.657	9	170	0.053
Fatty-acid biosynthesis	14_maltose	necrotrophic	aerobic	0.0	0	38	0.0
GAM / maintenance	14_maltose	necrotrophic	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	14_maltose	necrotrophic	aerobic	128.102	30	58	0.517
Lipid / membrane	14_maltose	necrotrophic	aerobic	1.055	11	35	0.314
Melanin / DHN	14_maltose	necrotrophic	aerobic	0.002	7	7	1.0
Nucleotide metabolism	14_maltose	necrotrophic	aerobic	2.459	8	21	0.381
Other / unassigned	14_maltose	necrotrophic	aerobic	202.035	207	576	0.359
Oxidative phosphorylation / ETC	14_maltose	necrotrophic	aerobic	101.914	8	24	0.333
Pectin / D-galacturonate (Ashwell)	14_maltose	necrotrophic	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	14_maltose	necrotrophic	aerobic	21.134	13	20	0.65
Pentose-sugar catabolism	14_maltose	necrotrophic	aerobic	0.0	0	6	0.0
Sink / demand	14_maltose	necrotrophic	aerobic	0.003	1	1	1.0
Storage (glycogen / trehalose)	14_maltose	necrotrophic	aerobic	0.118	2	7	0.286
Sulfur / nitrogen assimilation	14_maltose	necrotrophic	aerobic	0.03	1	3	0.333
TCA cycle	14_maltose	necrotrophic	aerobic	15.879	14	34	0.412
Transport (inter-compartmental)	14_maltose	necrotrophic	aerobic	144.553	57	256	0.223
β-oxidation (peroxisomal)	14_maltose	necrotrophic	aerobic	0.0	0	54	0.0
Amino-acid metabolism	14_maltose	necrotrophic	anaerobic	8.03	50	162	0.309
Biomass	14_maltose	necrotrophic	anaerobic	0.074	1	6	0.167
Cell-wall polysaccharide	14_maltose	necrotrophic	anaerobic	0.339	9	18	0.5
Cofactor / vitamin biosynthesis	14_maltose	necrotrophic	anaerobic	20.626	41	117	0.35
Compatible solute / mannitol	14_maltose	necrotrophic	anaerobic	0.03	2	2	1.0
Exchange	14_maltose	necrotrophic	anaerobic	40.53	12	170	0.071
Fatty-acid biosynthesis	14_maltose	necrotrophic	anaerobic	0.0	0	38	0.0
GAM / maintenance	14_maltose	necrotrophic	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	14_maltose	necrotrophic	anaerobic	169.859	29	58	0.5
Lipid / membrane	14_maltose	necrotrophic	anaerobic	0.215	11	35	0.314
Melanin / DHN	14_maltose	necrotrophic	anaerobic	0.0	7	7	1.0
Nucleotide metabolism	14_maltose	necrotrophic	anaerobic	0.5	8	21	0.381
Other / unassigned	14_maltose	necrotrophic	anaerobic	24.41	204	576	0.354
Oxidative phosphorylation / ETC	14_maltose	necrotrophic	anaerobic	2.002	5	24	0.208
Pectin / D-galacturonate (Ashwell)	14_maltose	necrotrophic	anaerobic	0.0	0	6	0.0
Pentose phosphate pathway	14_maltose	necrotrophic	anaerobic	4.884	11	20	0.55
Pentose-sugar catabolism	14_maltose	necrotrophic	anaerobic	0.0	0	6	0.0
Sink / demand	14_maltose	necrotrophic	anaerobic	0.085	1	1	1.0
Storage (glycogen / trehalose)	14_maltose	necrotrophic	anaerobic	0.024	2	7	0.286
Sulfur / nitrogen assimilation	14_maltose	necrotrophic	anaerobic	0.09	1	3	0.333
TCA cycle	14_maltose	necrotrophic	anaerobic	1.929	14	34	0.412
Transport (inter-compartmental)	14_maltose	necrotrophic	anaerobic	50.64	61	256	0.238
β-oxidation (peroxisomal)	14_maltose	necrotrophic	anaerobic	0.0	0	54	0.0
Amino-acid metabolism	15_mixed_aa	necrotrophic	aerobic	23.9	65	162	0.401
Biomass	15_mixed_aa	necrotrophic	aerobic	0.142	1	6	0.167
Cell-wall polysaccharide	15_mixed_aa	necrotrophic	aerobic	0.307	7	18	0.389
Cofactor / vitamin biosynthesis	15_mixed_aa	necrotrophic	aerobic	7.238	35	117	0.299
Compatible solute / mannitol	15_mixed_aa	necrotrophic	aerobic	0.057	2	2	1.0
Exchange	15_mixed_aa	necrotrophic	aerobic	44.776	37	170	0.218
Fatty-acid biosynthesis	15_mixed_aa	necrotrophic	aerobic	0.0	0	38	0.0
GAM / maintenance	15_mixed_aa	necrotrophic	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	15_mixed_aa	necrotrophic	aerobic	16.23	22	58	0.379
Lipid / membrane	15_mixed_aa	necrotrophic	aerobic	0.432	12	35	0.343
Melanin / DHN	15_mixed_aa	necrotrophic	aerobic	0.001	7	7	1.0
Nucleotide metabolism	15_mixed_aa	necrotrophic	aerobic	0.956	7	21	0.333
Other / unassigned	15_mixed_aa	necrotrophic	aerobic	98.762	195	576	0.339
Oxidative phosphorylation / ETC	15_mixed_aa	necrotrophic	aerobic	55.551	7	24	0.292
Pectin / D-galacturonate (Ashwell)	15_mixed_aa	necrotrophic	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	15_mixed_aa	necrotrophic	aerobic	6.656	9	20	0.45
Pentose-sugar catabolism	15_mixed_aa	necrotrophic	aerobic	0.0	0	6	0.0
Sink / demand	15_mixed_aa	necrotrophic	aerobic	0.001	1	1	1.0
Storage (glycogen / trehalose)	15_mixed_aa	necrotrophic	aerobic	0.046	2	7	0.286
Sulfur / nitrogen assimilation	15_mixed_aa	necrotrophic	aerobic	0.001	1	3	0.333
TCA cycle	15_mixed_aa	necrotrophic	aerobic	16.132	14	34	0.412
Transport (inter-compartmental)	15_mixed_aa	necrotrophic	aerobic	95.189	59	256	0.23
β-oxidation (peroxisomal)	15_mixed_aa	necrotrophic	aerobic	0.0	0	54	0.0
Amino-acid metabolism	15_mixed_aa	necrotrophic	anaerobic	13.314	54	162	0.333
Biomass	15_mixed_aa	necrotrophic	anaerobic	0.011	1	6	0.167
Cell-wall polysaccharide	15_mixed_aa	necrotrophic	anaerobic	0.025	7	18	0.389
Cofactor / vitamin biosynthesis	15_mixed_aa	necrotrophic	anaerobic	1.332	35	117	0.299
Compatible solute / mannitol	15_mixed_aa	necrotrophic	anaerobic	0.005	2	2	1.0
Exchange	15_mixed_aa	necrotrophic	anaerobic	13.16	34	170	0.2
Fatty-acid biosynthesis	15_mixed_aa	necrotrophic	anaerobic	0.0	0	38	0.0
GAM / maintenance	15_mixed_aa	necrotrophic	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	15_mixed_aa	necrotrophic	anaerobic	6.357	23	58	0.397
Lipid / membrane	15_mixed_aa	necrotrophic	anaerobic	0.047	13	35	0.371
Melanin / DHN	15_mixed_aa	necrotrophic	anaerobic	0.0	7	7	1.0
Nucleotide metabolism	15_mixed_aa	necrotrophic	anaerobic	0.078	8	21	0.381
Other / unassigned	15_mixed_aa	necrotrophic	anaerobic	8.016	182	576	0.316
Oxidative phosphorylation / ETC	15_mixed_aa	necrotrophic	anaerobic	3.945	6	24	0.25
Pectin / D-galacturonate (Ashwell)	15_mixed_aa	necrotrophic	anaerobic	0.0	0	6	0.0
Pentose phosphate pathway	15_mixed_aa	necrotrophic	anaerobic	0.76	11	20	0.55
Pentose-sugar catabolism	15_mixed_aa	necrotrophic	anaerobic	0.0	0	6	0.0
Sink / demand	15_mixed_aa	necrotrophic	anaerobic	0.013	1	1	1.0
Storage (glycogen / trehalose)	15_mixed_aa	necrotrophic	anaerobic	0.004	2	7	0.286
Sulfur / nitrogen assimilation	15_mixed_aa	necrotrophic	anaerobic	0.0	1	3	0.333
TCA cycle	15_mixed_aa	necrotrophic	anaerobic	8.207	13	34	0.382
Transport (inter-compartmental)	15_mixed_aa	necrotrophic	anaerobic	13.494	58	256	0.227
β-oxidation (peroxisomal)	15_mixed_aa	necrotrophic	anaerobic	0.0	0	54	0.0
Amino-acid metabolism	16_pre_infection_mix	cocktail	aerobic	1.702	51	162	0.315
Biomass	16_pre_infection_mix	cocktail	aerobic	0.069	1	6	0.167
Cell-wall polysaccharide	16_pre_infection_mix	cocktail	aerobic	0.159	8	18	0.444
Cofactor / vitamin biosynthesis	16_pre_infection_mix	cocktail	aerobic	4.224	38	117	0.325
Compatible solute / mannitol	16_pre_infection_mix	cocktail	aerobic	0.028	2	2	1.0
Exchange	16_pre_infection_mix	cocktail	aerobic	10.928	11	170	0.065
Fatty-acid biosynthesis	16_pre_infection_mix	cocktail	aerobic	0.0	0	38	0.0
GAM / maintenance	16_pre_infection_mix	cocktail	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	16_pre_infection_mix	cocktail	aerobic	5.918	25	58	0.431
Lipid / membrane	16_pre_infection_mix	cocktail	aerobic	0.127	10	35	0.286
Melanin / DHN	16_pre_infection_mix	cocktail	aerobic	0.0	7	7	1.0
Nucleotide metabolism	16_pre_infection_mix	cocktail	aerobic	0.465	8	21	0.381
Other / unassigned	16_pre_infection_mix	cocktail	aerobic	46.752	212	576	0.368
Oxidative phosphorylation / ETC	16_pre_infection_mix	cocktail	aerobic	19.873	8	24	0.333
Pectin / D-galacturonate (Ashwell)	16_pre_infection_mix	cocktail	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	16_pre_infection_mix	cocktail	aerobic	5.242	15	20	0.75
Pentose-sugar catabolism	16_pre_infection_mix	cocktail	aerobic	0.0	0	6	0.0
Sink / demand	16_pre_infection_mix	cocktail	aerobic	0.001	1	1	1.0
Storage (glycogen / trehalose)	16_pre_infection_mix	cocktail	aerobic	0.619	3	7	0.429
Sulfur / nitrogen assimilation	16_pre_infection_mix	cocktail	aerobic	0.006	1	3	0.333
TCA cycle	16_pre_infection_mix	cocktail	aerobic	6.896	16	34	0.471
Transport (inter-compartmental)	16_pre_infection_mix	cocktail	aerobic	40.789	62	256	0.242
β-oxidation (peroxisomal)	16_pre_infection_mix	cocktail	aerobic	7.945	4	54	0.074
Amino-acid metabolism	16_pre_infection_mix	cocktail	anaerobic	0.969	50	162	0.309
Biomass	16_pre_infection_mix	cocktail	anaerobic	0.005	1	6	0.167
Cell-wall polysaccharide	16_pre_infection_mix	cocktail	anaerobic	0.023	9	18	0.5
Cofactor / vitamin biosynthesis	16_pre_infection_mix	cocktail	anaerobic	1.651	38	117	0.325
Compatible solute / mannitol	16_pre_infection_mix	cocktail	anaerobic	0.002	2	2	1.0
Exchange	16_pre_infection_mix	cocktail	anaerobic	3.378	14	170	0.082
Fatty-acid biosynthesis	16_pre_infection_mix	cocktail	anaerobic	0.0	0	38	0.0
GAM / maintenance	16_pre_infection_mix	cocktail	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	16_pre_infection_mix	cocktail	anaerobic	11.958	26	58	0.448
Lipid / membrane	16_pre_infection_mix	cocktail	anaerobic	0.015	10	35	0.286
Melanin / DHN	16_pre_infection_mix	cocktail	anaerobic	0.0	7	7	1.0
Nucleotide metabolism	16_pre_infection_mix	cocktail	anaerobic	0.034	8	21	0.381
Other / unassigned	16_pre_infection_mix	cocktail	anaerobic	2.004	205	576	0.356
Oxidative phosphorylation / ETC	16_pre_infection_mix	cocktail	anaerobic	0.317	6	24	0.25
Pectin / D-galacturonate (Ashwell)	16_pre_infection_mix	cocktail	anaerobic	0.0	0	6	0.0
Pentose phosphate pathway	16_pre_infection_mix	cocktail	anaerobic	1.122	13	20	0.65
Pentose-sugar catabolism	16_pre_infection_mix	cocktail	anaerobic	0.0	0	6	0.0
Sink / demand	16_pre_infection_mix	cocktail	anaerobic	0.006	1	1	1.0
Storage (glycogen / trehalose)	16_pre_infection_mix	cocktail	anaerobic	0.601	3	7	0.429
Sulfur / nitrogen assimilation	16_pre_infection_mix	cocktail	anaerobic	0.006	1	3	0.333
TCA cycle	16_pre_infection_mix	cocktail	anaerobic	0.275	14	34	0.412
Transport (inter-compartmental)	16_pre_infection_mix	cocktail	anaerobic	3.783	67	256	0.262
β-oxidation (peroxisomal)	16_pre_infection_mix	cocktail	anaerobic	0.021	4	54	0.074
Amino-acid metabolism	17_biotrophic_mix	cocktail	aerobic	3.528	56	162	0.346
Biomass	17_biotrophic_mix	cocktail	aerobic	0.063	1	6	0.167
Cell-wall polysaccharide	17_biotrophic_mix	cocktail	aerobic	0.143	8	18	0.444
Cofactor / vitamin biosynthesis	17_biotrophic_mix	cocktail	aerobic	3.549	40	117	0.342
Compatible solute / mannitol	17_biotrophic_mix	cocktail	aerobic	0.025	2	2	1.0
Exchange	17_biotrophic_mix	cocktail	aerobic	14.045	14	170	0.082
Fatty-acid biosynthesis	17_biotrophic_mix	cocktail	aerobic	0.0	0	38	0.0
GAM / maintenance	17_biotrophic_mix	cocktail	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	17_biotrophic_mix	cocktail	aerobic	6.748	27	58	0.466
Lipid / membrane	17_biotrophic_mix	cocktail	aerobic	0.257	13	35	0.371
Melanin / DHN	17_biotrophic_mix	cocktail	aerobic	0.0	7	7	1.0
Nucleotide metabolism	17_biotrophic_mix	cocktail	aerobic	0.42	7	21	0.333
Other / unassigned	17_biotrophic_mix	cocktail	aerobic	36.367	206	576	0.358
Oxidative phosphorylation / ETC	17_biotrophic_mix	cocktail	aerobic	19.056	7	24	0.292
Pectin / D-galacturonate (Ashwell)	17_biotrophic_mix	cocktail	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	17_biotrophic_mix	cocktail	aerobic	4.35	12	20	0.6
Pentose-sugar catabolism	17_biotrophic_mix	cocktail	aerobic	0.0	0	6	0.0
Sink / demand	17_biotrophic_mix	cocktail	aerobic	0.001	1	1	1.0
Storage (glycogen / trehalose)	17_biotrophic_mix	cocktail	aerobic	0.02	2	7	0.286
Sulfur / nitrogen assimilation	17_biotrophic_mix	cocktail	aerobic	0.005	1	3	0.333
TCA cycle	17_biotrophic_mix	cocktail	aerobic	5.722	12	34	0.353
Transport (inter-compartmental)	17_biotrophic_mix	cocktail	aerobic	37.925	60	256	0.234
β-oxidation (peroxisomal)	17_biotrophic_mix	cocktail	aerobic	0.0	0	54	0.0
Amino-acid metabolism	17_biotrophic_mix	cocktail	anaerobic	5.432	51	162	0.315
Biomass	17_biotrophic_mix	cocktail	anaerobic	0.009	1	6	0.167
Cell-wall polysaccharide	17_biotrophic_mix	cocktail	anaerobic	0.043	9	18	0.5
Cofactor / vitamin biosynthesis	17_biotrophic_mix	cocktail	anaerobic	1.297	38	117	0.325
Compatible solute / mannitol	17_biotrophic_mix	cocktail	anaerobic	0.004	2	2	1.0
Exchange	17_biotrophic_mix	cocktail	anaerobic	7.299	19	170	0.112
Fatty-acid biosynthesis	17_biotrophic_mix	cocktail	anaerobic	0.0	0	38	0.0
GAM / maintenance	17_biotrophic_mix	cocktail	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	17_biotrophic_mix	cocktail	anaerobic	10.435	28	58	0.483
Lipid / membrane	17_biotrophic_mix	cocktail	anaerobic	0.027	10	35	0.286
Melanin / DHN	17_biotrophic_mix	cocktail	anaerobic	0.0	7	7	1.0
Nucleotide metabolism	17_biotrophic_mix	cocktail	anaerobic	0.063	8	21	0.381
Other / unassigned	17_biotrophic_mix	cocktail	anaerobic	5.217	202	576	0.351
Oxidative phosphorylation / ETC	17_biotrophic_mix	cocktail	anaerobic	2.499	7	24	0.292
Pectin / D-galacturonate (Ashwell)	17_biotrophic_mix	cocktail	anaerobic	0.0	0	6	0.0
Pentose phosphate pathway	17_biotrophic_mix	cocktail	anaerobic	1.097	12	20	0.6
Pentose-sugar catabolism	17_biotrophic_mix	cocktail	anaerobic	0.0	0	6	0.0
Sink / demand	17_biotrophic_mix	cocktail	anaerobic	0.011	1	1	1.0
Storage (glycogen / trehalose)	17_biotrophic_mix	cocktail	anaerobic	0.003	2	7	0.286
Sulfur / nitrogen assimilation	17_biotrophic_mix	cocktail	anaerobic	0.011	1	3	0.333
TCA cycle	17_biotrophic_mix	cocktail	anaerobic	5.025	17	34	0.5
Transport (inter-compartmental)	17_biotrophic_mix	cocktail	anaerobic	10.571	62	256	0.242
β-oxidation (peroxisomal)	17_biotrophic_mix	cocktail	anaerobic	0.0	0	54	0.0
Amino-acid metabolism	18_necrotrophic_mix	cocktail	aerobic	9.43	63	162	0.389
Biomass	18_necrotrophic_mix	cocktail	aerobic	0.446	1	6	0.167
Cell-wall polysaccharide	18_necrotrophic_mix	cocktail	aerobic	0.96	7	18	0.389
Cofactor / vitamin biosynthesis	18_necrotrophic_mix	cocktail	aerobic	3.317	33	117	0.282
Compatible solute / mannitol	18_necrotrophic_mix	cocktail	aerobic	0.178	2	2	1.0
Exchange	18_necrotrophic_mix	cocktail	aerobic	81.385	41	170	0.241
Fatty-acid biosynthesis	18_necrotrophic_mix	cocktail	aerobic	0.0	0	38	0.0
GAM / maintenance	18_necrotrophic_mix	cocktail	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	18_necrotrophic_mix	cocktail	aerobic	112.081	27	58	0.466
Lipid / membrane	18_necrotrophic_mix	cocktail	aerobic	0.814	10	35	0.286
Melanin / DHN	18_necrotrophic_mix	cocktail	aerobic	0.003	7	7	1.0
Nucleotide metabolism	18_necrotrophic_mix	cocktail	aerobic	3.01	8	21	0.381
Other / unassigned	18_necrotrophic_mix	cocktail	aerobic	241.899	198	576	0.344
Oxidative phosphorylation / ETC	18_necrotrophic_mix	cocktail	aerobic	124.731	8	24	0.333
Pectin / D-galacturonate (Ashwell)	18_necrotrophic_mix	cocktail	aerobic	5.0	5	6	0.833
Pentose phosphate pathway	18_necrotrophic_mix	cocktail	aerobic	29.621	11	20	0.55
Pentose-sugar catabolism	18_necrotrophic_mix	cocktail	aerobic	4.0	5	6	0.833
Sink / demand	18_necrotrophic_mix	cocktail	aerobic	0.004	1	1	1.0
Storage (glycogen / trehalose)	18_necrotrophic_mix	cocktail	aerobic	0.144	2	7	0.286
Sulfur / nitrogen assimilation	18_necrotrophic_mix	cocktail	aerobic	0.004	1	3	0.333
TCA cycle	18_necrotrophic_mix	cocktail	aerobic	21.164	14	34	0.412
Transport (inter-compartmental)	18_necrotrophic_mix	cocktail	aerobic	186.527	60	256	0.234
β-oxidation (peroxisomal)	18_necrotrophic_mix	cocktail	aerobic	0.0	0	54	0.0
Amino-acid metabolism	18_necrotrophic_mix	cocktail	anaerobic	5.774	54	162	0.333
Biomass	18_necrotrophic_mix	cocktail	anaerobic	0.088	1	6	0.167
Cell-wall polysaccharide	18_necrotrophic_mix	cocktail	anaerobic	0.19	7	18	0.389
Cofactor / vitamin biosynthesis	18_necrotrophic_mix	cocktail	anaerobic	15.688	33	117	0.282
Compatible solute / mannitol	18_necrotrophic_mix	cocktail	anaerobic	0.035	2	2	1.0
Exchange	18_necrotrophic_mix	cocktail	anaerobic	46.442	39	170	0.229
Fatty-acid biosynthesis	18_necrotrophic_mix	cocktail	anaerobic	0.0	0	38	0.0
GAM / maintenance	18_necrotrophic_mix	cocktail	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	18_necrotrophic_mix	cocktail	anaerobic	136.527	28	58	0.483
Lipid / membrane	18_necrotrophic_mix	cocktail	anaerobic	0.256	11	35	0.314
Melanin / DHN	18_necrotrophic_mix	cocktail	anaerobic	0.001	7	7	1.0
Nucleotide metabolism	18_necrotrophic_mix	cocktail	anaerobic	0.597	8	21	0.381
Other / unassigned	18_necrotrophic_mix	cocktail	anaerobic	26.048	184	576	0.319
Oxidative phosphorylation / ETC	18_necrotrophic_mix	cocktail	anaerobic	1.859	5	24	0.208
Pectin / D-galacturonate (Ashwell)	18_necrotrophic_mix	cocktail	anaerobic	5.0	5	6	0.833
Pentose phosphate pathway	18_necrotrophic_mix	cocktail	anaerobic	6.761	13	20	0.65
Pentose-sugar catabolism	18_necrotrophic_mix	cocktail	anaerobic	2.969	4	6	0.667
Sink / demand	18_necrotrophic_mix	cocktail	anaerobic	0.101	1	1	1.0
Storage (glycogen / trehalose)	18_necrotrophic_mix	cocktail	anaerobic	0.029	2	7	0.286
Sulfur / nitrogen assimilation	18_necrotrophic_mix	cocktail	anaerobic	0.001	1	3	0.333
TCA cycle	18_necrotrophic_mix	cocktail	anaerobic	2.0	12	34	0.353
Transport (inter-compartmental)	18_necrotrophic_mix	cocktail	anaerobic	56.528	61	256	0.238
β-oxidation (peroxisomal)	18_necrotrophic_mix	cocktail	anaerobic	0.0	0	54	0.0
