pathway	condition_id	stage	O2	sum_abs_flux	n_active	n_total	active_rate
Biomass	08_glutamate	biotrophic	aerobic	0.053	1	6	0.167
Cell-wall polysaccharide	08_glutamate	biotrophic	aerobic	0.121	9	18	0.5
Cofactor / vitamin biosynthesis	08_glutamate	biotrophic	aerobic	3.033	41	117	0.35
Compatible solute / mannitol	08_glutamate	biotrophic	aerobic	0.021	2	2	1.0
Exchange	08_glutamate	biotrophic	aerobic	13.699	10	170	0.059
Fatty-acid biosynthesis	08_glutamate	biotrophic	aerobic	0.0	0	38	0.0
GAM / maintenance	08_glutamate	biotrophic	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	08_glutamate	biotrophic	aerobic	8.854	24	58	0.414
Lipid / membrane	08_glutamate	biotrophic	aerobic	0.16	12	35	0.343
Melanin / DHN	08_glutamate	biotrophic	aerobic	0.0	7	7	1.0
Nucleotide metabolism	08_glutamate	biotrophic	aerobic	0.356	8	21	0.381
Other / unassigned	08_glutamate	biotrophic	aerobic	32.244	206	576	0.358
Oxidative phosphorylation / ETC	08_glutamate	biotrophic	aerobic	20.682	9	24	0.375
Pectin / D-galacturonate (Ashwell)	08_glutamate	biotrophic	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	08_glutamate	biotrophic	aerobic	3.324	12	20	0.6
Pentose-sugar catabolism	08_glutamate	biotrophic	aerobic	0.0	0	6	0.0
Sink / demand	08_glutamate	biotrophic	aerobic	0.0	1	1	1.0
Storage (glycogen / trehalose)	08_glutamate	biotrophic	aerobic	0.017	2	7	0.286
Sulfur / nitrogen assimilation	08_glutamate	biotrophic	aerobic	0.004	1	3	0.333
TCA cycle	08_glutamate	biotrophic	aerobic	12.826	16	34	0.471
Transport (inter-compartmental)	08_glutamate	biotrophic	aerobic	35.494	60	256	0.234
β-oxidation (peroxisomal)	08_glutamate	biotrophic	aerobic	0.0	0	54	0.0
Amino-acid metabolism	08_glutamate	biotrophic	anaerobic	0.0	0	162	0.0
Biomass	08_glutamate	biotrophic	anaerobic	0.0	0	6	0.0
Cell-wall polysaccharide	08_glutamate	biotrophic	anaerobic	0.0	0	18	0.0
Cofactor / vitamin biosynthesis	08_glutamate	biotrophic	anaerobic	0.0	0	117	0.0
Compatible solute / mannitol	08_glutamate	biotrophic	anaerobic	0.0	0	2	0.0
Exchange	08_glutamate	biotrophic	anaerobic	0.0	0	170	0.0
Fatty-acid biosynthesis	08_glutamate	biotrophic	anaerobic	0.0	0	38	0.0
GAM / maintenance	08_glutamate	biotrophic	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	08_glutamate	biotrophic	anaerobic	0.0	0	58	0.0
Lipid / membrane	08_glutamate	biotrophic	anaerobic	0.0	0	35	0.0
Melanin / DHN	08_glutamate	biotrophic	anaerobic	0.0	0	7	0.0
Nucleotide metabolism	08_glutamate	biotrophic	anaerobic	0.0	0	21	0.0
Other / unassigned	08_glutamate	biotrophic	anaerobic	0.0	0	576	0.0
Oxidative phosphorylation / ETC	08_glutamate	biotrophic	anaerobic	0.0	0	24	0.0
Pectin / D-galacturonate (Ashwell)	08_glutamate	biotrophic	anaerobic	0.0	0	6	0.0
Pentose phosphate pathway	08_glutamate	biotrophic	anaerobic	0.0	0	20	0.0
Pentose-sugar catabolism	08_glutamate	biotrophic	anaerobic	0.0	0	6	0.0
Sink / demand	08_glutamate	biotrophic	anaerobic	0.0	0	1	0.0
Storage (glycogen / trehalose)	08_glutamate	biotrophic	anaerobic	0.0	0	7	0.0
Sulfur / nitrogen assimilation	08_glutamate	biotrophic	anaerobic	0.0	0	3	0.0
TCA cycle	08_glutamate	biotrophic	anaerobic	0.0	0	34	0.0
Transport (inter-compartmental)	08_glutamate	biotrophic	anaerobic	0.0	0	256	0.0
β-oxidation (peroxisomal)	08_glutamate	biotrophic	anaerobic	0.0	0	54	0.0
Amino-acid metabolism	09_glutamine	biotrophic	aerobic	9.748	52	162	0.321
Biomass	09_glutamine	biotrophic	aerobic	0.053	1	6	0.167
Cell-wall polysaccharide	09_glutamine	biotrophic	aerobic	0.122	9	18	0.5
Cofactor / vitamin biosynthesis	09_glutamine	biotrophic	aerobic	3.061	41	117	0.35
Compatible solute / mannitol	09_glutamine	biotrophic	aerobic	0.021	2	2	1.0
Exchange	09_glutamine	biotrophic	aerobic	14.954	10	170	0.059
Fatty-acid biosynthesis	09_glutamine	biotrophic	aerobic	0.0	0	38	0.0
GAM / maintenance	09_glutamine	biotrophic	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	09_glutamine	biotrophic	aerobic	8.863	24	58	0.414
Lipid / membrane	09_glutamine	biotrophic	aerobic	0.217	13	35	0.371
Melanin / DHN	09_glutamine	biotrophic	aerobic	0.0	7	7	1.0
Nucleotide metabolism	09_glutamine	biotrophic	aerobic	0.354	7	21	0.333
Other / unassigned	09_glutamine	biotrophic	aerobic	33.382	206	576	0.358
Oxidative phosphorylation / ETC	09_glutamine	biotrophic	aerobic	19.474	9	24	0.375
Pectin / D-galacturonate (Ashwell)	09_glutamine	biotrophic	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	09_glutamine	biotrophic	aerobic	3.331	12	20	0.6
Pentose-sugar catabolism	09_glutamine	biotrophic	aerobic	0.0	0	6	0.0
Sink / demand	09_glutamine	biotrophic	aerobic	0.0	1	1	1.0
Storage (glycogen / trehalose)	09_glutamine	biotrophic	aerobic	0.017	2	7	0.286
Sulfur / nitrogen assimilation	09_glutamine	biotrophic	aerobic	0.004	1	3	0.333
TCA cycle	09_glutamine	biotrophic	aerobic	12.827	16	34	0.471
Transport (inter-compartmental)	09_glutamine	biotrophic	aerobic	36.568	63	256	0.246
β-oxidation (peroxisomal)	09_glutamine	biotrophic	aerobic	0.0	0	54	0.0
Amino-acid metabolism	09_glutamine	biotrophic	anaerobic	0.0	0	162	0.0
Biomass	09_glutamine	biotrophic	anaerobic	0.0	0	6	0.0
Cell-wall polysaccharide	09_glutamine	biotrophic	anaerobic	0.0	0	18	0.0
Cofactor / vitamin biosynthesis	09_glutamine	biotrophic	anaerobic	0.0	0	117	0.0
Compatible solute / mannitol	09_glutamine	biotrophic	anaerobic	0.0	0	2	0.0
Exchange	09_glutamine	biotrophic	anaerobic	0.0	0	170	0.0
Fatty-acid biosynthesis	09_glutamine	biotrophic	anaerobic	0.0	0	38	0.0
GAM / maintenance	09_glutamine	biotrophic	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	09_glutamine	biotrophic	anaerobic	0.0	0	58	0.0
Lipid / membrane	09_glutamine	biotrophic	anaerobic	0.0	0	35	0.0
Melanin / DHN	09_glutamine	biotrophic	anaerobic	0.0	0	7	0.0
