rxn_id	name	subsystem	equation	n_conditions_active	conditions	max_abs_flux	sum_abs_flux	top_candidates	top_candidate_expr
rxn30328_m0	3-(4-hydroxyphenyl-)lactate formation_m0		NADH + H+ + p-hydroxyphenylpyruvate_m0 --> NAD + HPL_m0	4	15_mixed_aa_aerobic;15_mixed_aa_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	8.9e-05	0.000138		
rxn13208_m0	4-hydroxybenzoate formation_m0		H2O + 4-hydroxybenoyl-CoA_m0 --> CoA + H+ + 4-Hydroxybenzoate_m0	4	15_mixed_aa_aerobic;15_mixed_aa_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	8.9e-05	0.000138		
rxn13207_m0	4-hydroxybenzoyl-CoA formation_m0		H2O + NAD + CoA + 4-Coumaroyl-CoA_m0 --> NADH + Acetyl-CoA + H+ + 4-hydroxybenoyl-CoA_m0	4	15_mixed_aa_aerobic;15_mixed_aa_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	8.9e-05	0.000138		
rxn09836_c0	malate/oxaloacetate shuttle_x0		Oxaloacetate + L-Malate_x0 <=> Oxaloacetate + L-Malate	3	04_oleate_aerobic;05_hexacosanoate_aerobic;16_pre_infection_mix_aerobic	3.74125	7.310507		
rxn00189_c0	L-Glutamine amidohydrolase_c0		H2O + L-Glutamine --> NH3 + L-Glutamate	3	09_glutamine_aerobic;15_mixed_aa_aerobic;17_biotrophic_mix_aerobic	1.946167	2.786745		
rxn09035_c0	Octadecenoate (n-C18:1) transport via facilitated irreversible diffusion (extracellular to periplasm)_c0		octadecenoate_e0 --> octadecenoate_c0	3	04_oleate_aerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic	1.0	1.301087		
EX_cpd15269_e0	Exchange for octadecenoate_e0		octadecenoate_e0 --> 	3	04_oleate_aerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic	1.0	1.301087		
PIt2p_c0	Inorganic phosphate transporter_x0		Phosphate + H+ <=> Phosphate_x0 + H+_x0	3	04_oleate_aerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic	0.994508	1.292404		
rxn08142_c0	L-arabinose transport via diffusion (extracellular to periplasm)_c0		L-Arabinose_e0 <=> L-Arabinose_c0	2	13_arabinose_aerobic;18_necrotrophic_mix_aerobic	5.0	5.5		
EX_cpd00224_e0	Exchange for L-Arabinose_e0		L-Arabinose_e0 --> 	2	13_arabinose_aerobic;18_necrotrophic_mix_aerobic	5.0	5.5		
rxn05483_c0	RXN0-1683.ce.maizeexp.L-ARABITOL_L-ARABITOL_c0		L-Lyxitol_e0 <=> L-Lyxitol_c0	2	12_xylose_anaerobic;18_necrotrophic_mix_anaerobic	2.838911	3.808022		
EX_cpd00417_e0	Exchange for L-Lyxitol_e0		L-Lyxitol_e0 --> 	2	12_xylose_anaerobic;18_necrotrophic_mix_anaerobic	2.838911	3.808022		
rxn09193_c0	L-proline transport via diffusion (extracellular to periplasm)_m0		L-Proline_c0 <=> L-Proline_m0	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.953659	1.208682		
rxn00503_m0	(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase_m0		2 H2O + NAD + 1-Pyrroline-5-carboxylate_m0 --> NADH + L-Glutamate + H+	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.953659	1.208682		
ID3ACALDtm_c0	indole-3-acetaldehyde mitochondrial transport via diffusion_m0		Indoleacetaldehyde <=> Indoleacetaldehyde_m0	2	02_glycerol_aerobic;02_glycerol_anaerobic	0.523199	0.78919		
rxn09741_c0	indole-3-acetate mitochondrial transport via diffusion_m0		Indoleacetate <=> Indoleacetate_m0	2	02_glycerol_aerobic;02_glycerol_anaerobic	0.523199	0.78919		
rxn05605_c0	Maltose permease MAL31_c0		H+ + L-Malate <=> H+ + L-Malate	2	17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic	0.5	1.0		
EX_cpd00130_e0	Exchange for L-Malate		L-Malate --> 	2	17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic	0.5	1.0		
rxn09742_c0	indole-3-acetaldehyde mitochondrial transport via diffusion_c0		Indoleacetaldehyde <=> Indoleacetaldehyde_e0	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.49587	0.68295		
EX_cpd00486_e0	Exchange for Indoleacetaldehyde_e0		Indoleacetaldehyde_e0 --> 	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.49587	0.68295		
rxn09061_c0	phenethylacetaldehyde transport via diffusion (extracellular to periplasm)_c0		alpha-Tolualdehyde_c0 <=> alpha-Tolualdehyde_e0	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.480931	0.621274		
EX_cpd00464_e0	Exchange for alpha-Tolualdehyde_e0		alpha-Tolualdehyde_e0 --> 	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.480931	0.621274		
EX_cpd00073_e0	Exchange for Urea_e0		Urea_e0 --> 	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.477114	0.605517		
rxn09798_c0	Transport of 3-methyl-2-oxopentanoate, mitochondrial_c0		3MOP_e0 <=> 3MOP_c0	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.472557	0.586703		
EX_cpd00508_e0	Exchange for 3MOP_e0		3MOP_e0 --> 	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.472557	0.586703		
rxn13193_c0	2-methylpropanal transport (extracellular)_c0		2-methylpropanal_c0 <=> 2-methylpropanal_e0	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.462275	0.544253		
EX_cpd16874_e0	Exchange for 2-methylpropanal_e0		2-methylpropanal_e0 --> 	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.462275	0.544253		
rxn13201_c0	3-methylbutanal transport (extracellular)_c0		3-Methylbutanal_c0 <=> 3-Methylbutanal_e0	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.457789	0.525732		
EX_cpd04534_e0	Exchange for 3-Methylbutanal_e0		3-Methylbutanal_e0 --> 	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.457789	0.525732		
rxn13209_c0	RXN-7692.c_c0		H+ + 4MOP_c0 --> CO2 + 3-Methylbutanal_c0	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.457789	0.525732		
rxn08428_m0	Ethanol transport		Ethanol <-- Ethanol	2	08_glutamate_aerobic;09_glutamine_aerobic	0.079187	0.152244		
rxn00898_m0	2,3-Dihydroxy-3-methylbutanoate hydro-lyase		 --> H2O + 3-Methyl-2-oxobutanoate_m0	2	08_glutamate_aerobic;10_gaba_aerobic	0.029598	0.057429		
rxn00835_c0	ATP:inosine 5'-phosphotransferase_c0		ATP + Inosine_c0 --> ADP + H+ + IMP_c0	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.014034	0.01852		
rxn30407_m0	CustomReaction_m0		H2O + Oxaloacetate + Propionyl-CoA_m0 --> CoA + H+ + 2-Methylcitrate	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.013901	0.018344		
rxn00741_c0	2-Hydroxybutyrate:NAD+ oxidoreductase_c0		NAD + 2-Hydroxybutyrate <=> NADH + H+ + 2-Oxobutyrate	2	15_mixed_aa_anaerobic;18_necrotrophic_mix_anaerobic	0.002757	0.003115		
rxn12585_c0	2-hydroxybutyrate cotransport with proton_c0		H+ + 2-Hydroxybutyrate_e0 <=> H+ + 2-Hydroxybutyrate	2	15_mixed_aa_anaerobic;18_necrotrophic_mix_anaerobic	0.002757	0.003115		
EX_cpd03561_e0	Exchange for 2-Hydroxybutyrate_e0		2-Hydroxybutyrate_e0 --> 	2	15_mixed_aa_anaerobic;18_necrotrophic_mix_anaerobic	0.002757	0.003115		
rxn02989_c0	R04293_c0		2-Amino-3-carboxymuconate semialdehyde_c0 --> H2O + H+ + Quinolinate_c0	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.000267	0.000353		
rxn01927_c0	3-Hydroxyanthranilate:oxygen 3,4-oxidoreductase (decyclizing)_c0		O2 + 3-Hydroxyanthranilate_c0 --> H+ + 2-Amino-3-carboxymuconate semialdehyde_c0	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	0.000267	0.000353		
EX_cpd00218_e0	Exchange for Niacin_e0		Niacin_e0 --> 	2	15_mixed_aa_aerobic;18_necrotrophic_mix_aerobic	8.9e-05	0.000118		
rxn05488_c0	acetate reversible transport via proton symport_c0		Acetate + H+ <=> Acetate + H+	1	11_galacturonate_anaerobic	4.07127	4.07127		
EX_cpd00029_e0	Exchange for Acetate		Acetate --> 	1	11_galacturonate_anaerobic	4.07127	4.07127		
HDCAt_c0	Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)_c0		Palmitate_e0 --> Palmitate_c0	1	03_palmitate_aerobic	1.0	1.0		
EX_cpd00214_e0	Exchange for Palmitate_e0		Palmitate_e0 --> 	1	03_palmitate_aerobic	1.0	1.0		
rxn10638_c0	Hexacosanoic acid:CoA ligase (AMP-forming)_c0		ATP + CoA + hexacosanoate_c0 --> PPi + AMP + Hexacosanoyl-CoA_c0	1	05_hexacosanoate_aerobic	1.0	1.0		
EX_cpd15240_e0	Exchange for hexacosanoate_e0		hexacosanoate_e0 --> 	1	05_hexacosanoate_aerobic	1.0	1.0		
HXCAt	Hexacosanoate transport via facilitated diffusion (e0 -> c0)	VLCFA transport	hexacosanoate_e0 --> hexacosanoate_c0	1	05_hexacosanoate_aerobic	1.0	1.0		
rxn13312_c0	fatty acid intracellular transport_x0		Hexacosanoyl-CoA_c0 <=> Hexacosanoyl-CoA_x0	1	05_hexacosanoate_aerobic	0.804456	0.804456		
rxn08705_c0	Hexadecenoate transport via facilitated irreversible diffusion (extracellular to periplasm)_x0		hexadecenoate_c0 --> hexadecenoate_x0	1	03_palmitate_aerobic	0.719976	0.719976		
tx_ppi_xc	PPi peroxisomal export	peroxisomal cofactor transport	PPi_x0 <=> PPi	1	03_palmitate_aerobic	0.719976	0.719976		
rxn09606_c0	alkaline ceramidase (ceramide-1), endoplasmic reticulum_c0		Sphinganine_c0 + Hexacosanoyl-CoA_c0 --> CoA + 2 H+ + Ceramide-1 Sphinganine:n-C26:0)_c0	1	05_hexacosanoate_aerobic	0.225961	0.225961		
TTCCOAtx_c0	Fatty acid intracellular transport		tetracosanoyl-CoA  (n-C24:0CoA)_c0 <=> tetracosanoyl-CoA  (n-C24:0CoA)_x0	1	05_hexacosanoate_aerobic	0.056815	0.056815		
rxn08104_c0	L-alanine transport via diffusion (extracellular to periplasm)_m0		L-Alanine --> L-Alanine	1	03_palmitate_aerobic	0.048095	0.048095		
EXP_c24coa_r0c0	Tetracosanoyl-CoA (C24) export r0→c0		tetracosanoyl-CoA  (n-C24:0CoA)_r0 <=> tetracosanoyl-CoA  (n-C24:0CoA)_c0	1	05_hexacosanoate_aerobic	0.040597	0.040597		
TRP_hxccoa_r0c0	Hexacosanoyl-CoA r0→c0		Hexacosanoyl-CoA_r0 <=> Hexacosanoyl-CoA_c0	1	05_hexacosanoate_aerobic	0.030417	0.030417		
rxn08764_m0	ketol-acid reductoisomerase (2-Acetolactate)		NADPH + H+ +  <=> NADP + 	1	01_trehalose_aerobic	0.014037	0.014037		
rxn01268_c0	Prephenate:NAD+ oxidoreductase(decarboxylating)_c0		NAD + Prephenate_c0 --> NADH + CO2 + p-hydroxyphenylpyruvate_c0	1	10_gaba_aerobic	0.005107	0.005107		
rxn03392_m0	2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase, mitochondrial_m0		NADPH + O2 + 2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone_m0 --> H2O + NADP + 2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone_m0	1	03_palmitate_aerobic	2.3e-05	2.3e-05		
rxn09631_c0	thiazole phosphate synthesis (xylulose 5-phosphate), yeast-specific_c0		Glycine_c0 + H+ + L-Cysteine_c0 + D-Xylulose5-phosphate + O-Acetyl-L-homoserine_c0 --> 3 H2O + CO2 + NH3 + Pyruvate + Acetate + GABA + 4-Methyl-5--2-phosphoethyl-thiazole_c0	1	06_glucose_low_aerobic	7e-06	7e-06		
