metabolite_id	name	compartment	formula	k_reactions	z_reporter	p_one_sided
cpd11295_c0	2,3-diketo5-methylthio-1-phosphopentane_c0	c0	C6H9O6PS	3	0.666	0.2527
cpd00002_x0	ATP_x0	x0	C10H13N5O13P3	19	-0.665	0.2532
cpd00066_c0	L-Phenylalanine_c0	c0	C9H11NO2	3	-0.662	0.2538
cpd00219_c0	Prephenate_c0	c0	C10H8O6	3	-0.66	0.2546
cpd00065_c0	L-Tryptophan_c0	c0	C11H12N2O2	5	-0.654	0.2564
cpd00182_c0	Adenosine	c0	C10H13N5O4	5	0.638	0.2617
cpd00298_c0	dTMP_c0	c0	C10H13N2O8P	3	-0.637	0.2621
cpd00035_c0	L-Alanine	c0	C3H7NO2	10	-0.631	0.2641
cpd01188_c0	Lanosterol_c0	c0	C30H50O	5	-0.629	0.2645
cpd00008_x0	ADP_x0	x0	C10H13N5O10P2	8	-0.619	0.2679
cpd00001_r0	H2O_r0	r0	H2O	8	-0.618	0.2684
cpd00348_c0	D-Galactose 1-phosphate	c0	C6H12O9P	3	-0.618	0.2684
cpd00031_c0	GDP	c0	C10H13N5O11P2	14	0.617	0.2686
cpd00053_c0	L-Glutamine	c0	C5H10N2O3	15	0.616	0.2688
cpd00873_c0	Nicotinate ribonucleotide_c0	c0	C11H12NO9P	3	-0.614	0.2695
cpd00873_m0	Nicotinate ribonucleotide_m0	m0	C11H12NO9P	3	-0.614	0.2695
cpd00350_m0	Farnesyldiphosphate_m0	m0	C15H26O7P2	3	-0.6	0.2743
cpd00249_c0	Uridine_c0	c0	C9H12N2O6	5	-0.589	0.2779
cpd03287_m0	Oxaloglutarate_m0	m0	C7H5O7	3	-0.588	0.2783
cpd03221_c0	Zymosterol_c0	c0	C27H44O	5	-0.588	0.2783
cpd00214_c0	Palmitate_c0	c0	C16H31O2	10	-0.57	0.2842
cpd00087_c0	Tetrahydrofolate_c0	c0	C19H21N7O6	9	-0.569	0.2845
cpd02755_c0	Fecosterol_c0	c0	C28H46O	4	-0.563	0.2868
cpd00023_m0	L-Glutamate	m0	C5H8NO4	13	-0.561	0.2873
cpd00347_m0	5-10-Methenyltetrahydrofolate_m0	m0	C20H20N7O6	4	-0.557	0.2888
cpd00012_c0	PPi	c0	H2O7P2	72	-0.55	0.291
cpd00146_c0	Carbamoylphosphate_c0	c0	CH2NO5P	3	-0.548	0.292
cpd00042_c0	GSH	c0	C10H16N3O6S	9	0.542	0.294
cpd00024_x0	2-Oxoglutarate_x0	x0	C5H4O5	4	0.539	0.2948
cpd02693_c0	3-Isopropylmalate_c0	c0	C7H10O5	4	-0.539	0.2948
cpd15295_x0	Tetradecenoyl-CoA_x0	x0	C35H57N7O17P3S	4	0.532	0.2973
cpd15238_x0	Hexadecenoyl-CoA_x0	x0	C37H61N7O17P3S	4	0.532	0.2973
cpd15269_c0	octadecenoate_c0	c0	C18H33O2	11	-0.531	0.2977
cpd00105_c0	D-Ribose_c0	c0	C5H10O5	3	-0.526	0.2995
cpd00093_c0	Anthranilate_c0	c0	C7H6NO2	3	-0.523	0.3005
cpd00260_c0	Isocitrate	c0	C6H5O7	4	0.513	0.3041
cpd00002_c0	ATP	c0	C10H13N5O13P3	142	0.504	0.3071
cpd00193_c0	APS_c0	c0	C10H12N5O10PS	3	-0.495	0.3105
cpd00147_c0	5-Methylthioadenosine_c0	c0	C11H15N5O3S	4	0.492	0.3114
cpd11677_c0	Triglyceride_c0	c0	C6H5O6R3	3	-0.486	0.3135
cpd00067_x0	H+_x0	x0	H	42	-0.485	0.3139
cpd00025_x0	H2O2_x0	x0	H2O2	20	0.481	0.3154
cpd00260_m0	Isocitrate	m0	C6H5O7	4	0.475	0.3174
cpd00738_c0	phosphoserine_c0	c0	C3H6NO6P	3	-0.467	0.3203
cpd00103_c0	PRPP_c0	c0	C5H9O14P3	12	-0.465	0.3211
cpd00367_c0	Cytidine_c0	c0	C9H13N3O5	4	-0.461	0.3226
cpd00041_c0	L-Aspartate	c0	C4H6NO4	12	0.454	0.3249
cpd15298_c0	tetradecenoate_c0	c0	C14H25O2	3	0.434	0.3322
cpd15272_c0	Octadecynoyl-CoA_c0	c0	C39H63N7O17P3S	9	-0.432	0.3329
cpd00132_c0	L-Asparagine_c0	c0	C4H8N2O3	4	0.427	0.3347
cpd00054_c0	L-Serine_c0	c0	C3H7NO3	10	0.427	0.3346
cpd00039_c0	L-Lysine_c0	c0	C6H15N2O2	3	-0.424	0.3357
cpd00305_e0	Thiamin_e0	e0	C12H17N4OS	3	-0.423	0.3362
cpd00774_c0	UroporphyrinogenIII_c0	c0	C40H36N4O16	3	-0.415	0.3389
cpd14514_c0	Episterol_c0	c0	C28H46O	4	-0.408	0.3418
cpd02893_c0	5'-Phosphoribosyl-4-carboxy-5-aminoimidazole_c0	c0	C9H12N3O9P	3	0.404	0.343
cpd00025_c0	H2O2	c0	H2O2	12	-0.403	0.3436
cpd02775_c0	4-Amino-5-phosphomethyl-2-methylpyrimidine_c0	c0	C6H8N3O4P	3	-0.399	0.3451
cpd00424_c0	Cystathionine_c0	c0	C7H14N2O4S	5	-0.389	0.3488
cpd00094_c0	2-Oxobutyrate	c0	C4H5O3	4	-0.387	0.3495
cpd00135_c0	Homocysteine_c0	c0	C4H9NO2S	8	-0.386	0.3499
cpd00018_x0	AMP_x0	x0	C10H12N5O7P	12	-0.386	0.3497
cpd00106_m0	Fumarate	m0	C4H2O4	4	-0.384	0.3506
cpd00106_c0	Fumarate	c0	C4H2O4	8	-0.369	0.3562
cpd15272_x0	Octadecynoyl-CoA_x0	x0	C39H63N7O17P3S	4	0.367	0.3569
cpd00497_c0	XMP_c0	c0	C10H11N4O9P	3	-0.357	0.3606
cpd00419_c0	PM_c0	c0	C8H13N2O2	3	-0.356	0.361
cpd00215_c0	Pyridoxal_c0	c0	C8H9NO3	4	-0.35	0.3633
cpd00094_m0	2-Oxobutyrate_m0	m0	C4H5O3	4	0.348	0.3639
ocdcya-c_c0	Octadecadienoate  n C182  C18H31O2	c0		4	0.34	0.3671
cpd00858_c0	L-Glutamate5-semialdehyde_c0	c0	C5H9NO3	3	0.332	0.3699
cpd00350_c0	Farnesyldiphosphate_c0	c0	C15H26O7P2	3	-0.33	0.3709
cpd00227_c0	L-Homoserine_c0	c0	C4H9NO3	4	-0.327	0.3717
cpd03127_x0	(2E)-Tetradecenoyl-CoA_x0	x0	C35H56N7O17P3S	3	0.321	0.3741
cpd14937_x0	(2E)-Octadecenoyl-CoA_x0	x0	C39H65N7O17P3S	3	0.321	0.3741
cpd03129_x0	(2E)-Decenoyl-CoA_x0	x0	C31H48N7O17P3S	3	0.321	0.3741
cpd02060_x0	(2E)-Dodecenoyl-CoA_x0	x0	C33H52N7O17P3S	3	0.321	0.3741
