rxn_id	flux
rxn01100_c0	-1.8729894428041745
rxn01106_c0	-1.8729894428041745
rxn00781_c0	1.8729894428041745
rxn00459_c0	1.8729894428041742
rxn35242_c0	-1.8688197411304077
rxn05467_c0	-1.77252411002238
EX_cpd00011_e0	1.77252411002238
rxn00168_c0	1.7264332794037185
EX_cpd00363_e0	1.5885652782349775
rxn08428_c0	1.5885652782349775
rxn00543_c0	-1.5885652782349775
rxn08617_c0	1.0
EX_cpd00027_e0	-1.0
rxn00747_c0	-0.9243665738050224
rxn00545_c0	0.8991304357486377
rxn00786_c0	0.8991304357486377
rxn09502_c0	0.8895969646349231
rxn02380_c0	0.889596964634923
rxn05319_c0	-0.46810578155421895
EX_cpd00001_e0	0.46810578155421895
rxn00102_c0	-0.31633178827250086
rxn00001_c0	0.30871149182374336
rxn00097_c0	0.25846651259261844
rxn00175_c0	0.2247543264358276
rxn00507_c0	0.21579113423665036
rxn30381_c0	-0.19705687939677471
rxn00533_c0	0.19705043598566285
rxn00764_c0	0.1966125062166217
rxn00744_c0	0.1966125062166217
rxn00610_c0	0.19661250621662169
rxn00184_c0	-0.14398616814411813
rxn00250_c0	0.11727204489057957
rxn00260_c0	-0.11336867087608468
EX_cpd00067_e0	0.1128695287015166
EX_cpd00013_e0	-0.11121649750238428
rxn05466_c0	0.11121649750238427
rxn00216_c0	0.11040303536507684
rxn05582_c0	0.09467296540959959
rxn00337_c0	0.08967921070434834
rxn01643_c0	-0.08967921070434832
rxn01301_c0	0.08967921070434832
rxn05652_c0	0.08832564999761458
rxn09266_c0	0.08832564999761458
rxn01115_c0	0.08588548577210228
rxn08570_c0	0.08588548577210227
rxn09648_c0	-0.08588548577210227
rxn01476_c0	0.08588548577210225
rxn00604_r0	0.08588548577210225
rxn01069_c0	0.08071601850517111
rxn01300_c0	0.0807160185051711
rxn00541_c0	0.07792313306790957
rxn09121_c0	-0.06332406691811551
H2Otm_c0	0.053688056693121405
rxn00973_c0	0.05100796798139236
rxn09779_c0	-0.05100796798139235
rxn00198_c0	0.051007967981391324
rxn01116_c0	0.049283577855864034
rxn00692_m0	0.04732463275332906
rxn05307_c0	-0.04732463275332906
rxn00908_m0	0.04732463275332905
NH4tm_c0	-0.04732463275332904
rxn09739_c0	-0.0472473858821781
rxn08633_c0	0.0466538514378576
rxn00505_m0	-0.04334401186768472
rxn00973_m0	-0.043344011867684704
TRP_coa_c0r0	-0.04293607728834886
rxn09802_c0	0.042846313905913265
rxn05301_c0	-0.042846313905913265
rxn00527_m0	-0.042846313905913265
rxn00527_c0	0.04208347327998396
rxn15114_c0	-0.03659746418444408
H2Oter_c0	-0.034244878506523274
TRP_co2_c0r0	-0.03423228793308561
TRP_malcoa_c0r0	0.0342322879330856
rxn00692_c0	-0.02834963874309777
rxn00364_c0	0.02609285251661662
rxn00409_c0	0.026092852516616617
rxn34273_c0	0.025683473724406772
rxn01343_c0	0.025683473724406772
rxn01334_c0	0.02568347372440677
CO2tm_c0	-0.024103319726907903
rxn00187_c0	0.024053994303849063
rxn00785_c0	-0.023598622887523377
rxn08350_m0	0.02198684433200533
rxn13247_c0	-0.02198684433200533
rxn00237_c0	0.021668117668525035
rxn01211_c0	0.01912619198474263
rxn00907_c0	0.01912619198474263
rxn09421_c0	0.01837038726752666
rxn09441_c0	0.01837038726752666
rxn09438_c0	0.018351131096386697
rxn09435_c0	0.018293362582966807
rxn09431_c0	0.018033404272577314
TRP_nadp_c0r0	0.01740757871052644
