rxn_id	seed_base	pathway_bucket	kegg_reaction	kegg_pathway_id	kegg_pathway_name	ec_number
rxn05301_c0	rxn05301	Oxidative phosphorylation / ETC				2.A.3.1.-
rxn09609_c0	rxn09609	Other / unassigned				
rxn05244_c0	rxn05244	Amino-acid metabolism				
rxn00913_c0	rxn00913	Other / unassigned	R01227	rn00230	Purine metabolism	3.1.3.5
rxn02914_c0	rxn02914	Amino-acid metabolism	R04173	rn00260;rn00680;rn01200;rn01230	Glycine, serine and threonine metabolism;Methane metabolism;Carbon metabolism;Biosynthesis of amino acids	2.6.1.52
rxn05209_c0	rxn05209	Other / unassigned				
rxn12919_c0	rxn12919	Other / unassigned				
rxn02063_r0	rxn02063	Cofactor / vitamin biosynthesis	R02874	rn00100;rn00909;rn01110	Steroid biosynthesis;Sesquiterpenoid and triterpenoid biosynthesis;Biosynthesis of secondary metabolites	1.14.13.132|1.14.99.7
rxn20476_x0	rxn20476	β-oxidation (peroxisomal)				1.1.1.35
rxn06447_c0	rxn06447	Amino-acid metabolism	R03663	rn00970	Aminoacyl-tRNA biosynthesis	6.1.1.3
rxn00124_c0	rxn00124	Cofactor / vitamin biosynthesis	R00174	rn00750	Vitamin B6 metabolism	2.7.1.35
rxn13354_c0	rxn13354	Other / unassigned				
CO2tp_c0		Transport (inter-compartmental)				
rxn13342_c0	rxn13342	Lipid / membrane				
rxn08065_c0	rxn08065	Transport (inter-compartmental)				
rxn32479_c0	rxn32479	Other / unassigned	R03313	rn00330;rn01230	Arginine and proline metabolism;Biosynthesis of amino acids	1.2.1.41
PMI12346PH_c0		Other / unassigned				
O2tm_c0		Other / unassigned				
rxn03445_c0	rxn03445	Amino-acid metabolism	R05085	rn00750	Vitamin B6 metabolism	2.6.1.52
rxn13236_c0	rxn13236	Transport (inter-compartmental)				
rxn09617_c0	rxn09617	Cofactor / vitamin biosynthesis				
rxn03892_m0	rxn03892	Other / unassigned	R05613			2.5.1.-|2.5.1.33
rxn01746_c0	rxn01746	Other / unassigned	R02422	rn00230	Purine metabolism	3.5.3.4
PYRDC2_c0		Glycolysis / gluconeogenesis				
rxn09853_x0	rxn09853	Transport (inter-compartmental)				
rxn30430_c0	rxn30430	Other / unassigned	R02024	rn00240	Pyrimidine metabolism	1.17.4.1
rxn13360_c0	rxn13360	Transport (inter-compartmental)				
CO2tm_c0		Transport (inter-compartmental)				
rxn06936_m0	rxn06936	Amino-acid metabolism	R05577	rn00970	Aminoacyl-tRNA biosynthesis	6.1.1.12|6.1.1.23
rxn30391_m0	rxn30391	TCA cycle	R00271	rn00300;rn00620;rn01210;rn01230	Lysine biosynthesis;Pyruvate metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.3.3.14|4.1.3.21
rxn09474_x0	rxn09474	β-oxidation (peroxisomal)				
rxn06280_c0	rxn06280	Amino-acid metabolism	R02918	rn00970	Aminoacyl-tRNA biosynthesis	6.1.1.1
rxn13257_c0	rxn13257	Lipid / membrane				
rxn02201_m0	rxn02201	Other / unassigned	R03067	rn00790	Folate biosynthesis	2.5.1.15
rxn02160_c0	rxn02160	Other / unassigned	R03013	rn00340;rn01110;rn01230	Histidine metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	3.1.3.15
rxn02666_c0	rxn02666	Other / unassigned	R03758			
rxn05582_c0	rxn05582	Oxidative phosphorylation / ETC				2.A.3.1.-
rxn01501_c0	rxn01501	Cofactor / vitamin biosynthesis	R02082	rn00900;rn01110	Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites	1.1.1.34
rxn13410_c0	rxn13410	Amino-acid metabolism				
rxn13311_m0	rxn13311	Other / unassigned				
rxn09431_c0	rxn09431	Other / unassigned				
GSNt2m_c0		Oxidative phosphorylation / ETC				
rxn09761_c0	rxn09761	Transport (inter-compartmental)				
rxn13395_c0	rxn13395	Other / unassigned				
rxn30044_c0	rxn30044	Other / unassigned				4.1.1.17
rxn20480_x0	rxn20480	β-oxidation (peroxisomal)	R04743	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	1.1.1.211|1.1.1.35
ATPtp_H_c0		Transport (inter-compartmental)				
rxn08067_m0	rxn08067	Other / unassigned				
rxn05308_c0	rxn05308	Transport (inter-compartmental)				
rxn30057_c0	rxn30057	Cofactor / vitamin biosynthesis				2.5.1.9
rxn01265_c0	rxn01265	Other / unassigned	R01724	rn00760	Nicotinate and nicotinamide metabolism	2.4.2.11
rxn09487_m0	rxn09487	Amino-acid metabolism				
rxn03245_x0	rxn03245	Other / unassigned	R04744	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	4.2.1.17|4.2.1.74
rxn00649_c0	rxn00649	Amino-acid metabolism	R00897	rn00270;rn00920;rn01200;rn01230	Cysteine and methionine metabolism;Sulfur metabolism;Carbon metabolism;Biosynthesis of amino acids	2.5.1.47|2.5.1.65
rxn09286_c0	rxn09286	Transport (inter-compartmental)				
rxn09456_c0	rxn09456	Other / unassigned	R08163	rn00061	Fatty acid biosynthesis	3.1.2.14
rxn29991_c0	rxn29991	Amino-acid metabolism				6.3.4.5
rxn01291_c0	rxn01291	Pentose-sugar catabolism	R01759	rn00040	Pentose and glucuronate interconversions	1.1.1.21
rxn00061_c0	rxn00061	Other / unassigned	R00085			3.6.1.5
rxn03241_x0	rxn03241	Other / unassigned	R04740	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	4.2.1.17|4.2.1.74
LYSt2r_c0		Amino-acid metabolism				
rxn09561_c0	rxn09561	Other / unassigned				
rxn00022_c0	rxn00022	Glycolysis / gluconeogenesis	R00028;R06084	rn00500	Starch and sucrose metabolism	3.2.1.20
rxn00116_c0	rxn00116	Other / unassigned	R00155	rn00240	Pyrimidine metabolism	3.6.1.5|3.6.1.6
rxn00792_c0	rxn00792	Cofactor / vitamin biosynthesis	R01074	rn00780	Biotin metabolism	6.2.1.11|6.3.4.10|6.3.4.11|6.3.4.15|6.3.4.9
rxn06538_m0	rxn06538	Cofactor / vitamin biosynthesis	R03940	rn00670;rn00970	One carbon pool by folate;Aminoacyl-tRNA biosynthesis	2.1.2.9
rxn09578_c0	rxn09578	Lipid / membrane				
FA181ACPtm_c0		Transport (inter-compartmental)				
rxn29990_c0	rxn29990	Amino-acid metabolism				4.3.2.1
rxn13365_c0	rxn13365	Transport (inter-compartmental)				
rxn00437_c0	rxn00437	Cofactor / vitamin biosynthesis	R00616	rn00730	Thiamine metabolism	2.7.4.15|2.7.6.2
rxn00914_c0	rxn00914	Nucleotide metabolism	R01228	rn00230	Purine metabolism	2.7.1.73
rxn13196_c0	rxn13196	Transport (inter-compartmental)				
rxn09639_c0	rxn09639	Transport (inter-compartmental)				
rxn13396_c0	rxn13396	Transport (inter-compartmental)				
rxn09765_c0	rxn09765	Transport (inter-compartmental)				
rxn10791_c0	rxn10791	Nucleotide metabolism				
rxn03224_m0	rxn03224	Other / unassigned	R04711	rn00130;rn01110	Ubiquinone and other terpenoid-quinone biosynthesis;Biosynthesis of secondary metabolites	2.1.1.114
rxn01043_c0	rxn01043	Pentose-sugar catabolism	R01431	rn00040	Pentose and glucuronate interconversions	1.1.1.21|1.1.1.307
rxn00100_m0	rxn00100	Other / unassigned	R00130	rn00770	Pantothenate and CoA biosynthesis	2.7.1.24
rxn13329_c0	rxn13329	Other / unassigned				
rxn13332_c0	rxn13332	Transport (inter-compartmental)				
rxn00686_m0	rxn00686	Cofactor / vitamin biosynthesis	R00939	rn00670;rn00790	One carbon pool by folate;Folate biosynthesis	1.5.1.3
rxn08318_c0	rxn08318	Transport (inter-compartmental)				
rxn09849_x0	rxn09849	Transport (inter-compartmental)				
rxn01513_c0	rxn01513	Nucleotide metabolism	R02094	rn00240	Pyrimidine metabolism	2.7.4.12|2.7.4.13|2.7.4.9
rxn01505_c0	rxn01505	Other / unassigned	R08193	rn00520;rn01110	Amino sugar and nucleotide sugar metabolism;Biosynthesis of secondary metabolites	5.4.2.3
rxn09606_r0	rxn09606	Other / unassigned				
rxn08314_c0	rxn08314	Transport (inter-compartmental)				
rxn00765_c0	rxn00765	Glycolysis / gluconeogenesis	R01041	rn00561	Glycerolipid metabolism	1.1.1.2|1.1.1.21|1.1.1.372|1.1.1.72
rxn09631_c0	rxn09631	Amino-acid metabolism				
rxn08451_c0	rxn08451	Transport (inter-compartmental)				6.2.1.3
34HPPt2p_c0		Transport (inter-compartmental)				
FAS161ACPm_m0		Fatty-acid biosynthesis				
rxn09218_c0	rxn09218	Transport (inter-compartmental)				
rxn01218_c0	rxn01218	Other / unassigned	R01664	rn00240	Pyrimidine metabolism	3.1.3.-|3.1.3.5
rxn05663_c0	rxn05663	Oxidative phosphorylation / ETC				2.A.3.1.-
CITtcp_c0		Transport (inter-compartmental)				
rxn05203_c0	rxn05203	Other / unassigned				
rxn12529_c0	rxn12529	Glycolysis / gluconeogenesis				
rxn09565_c0	rxn09565	Other / unassigned				
rxn00006_x0	rxn00006	Other / unassigned	R00009	rn00630;rn01110	Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites	1.11.1.21|1.11.1.6
C4STMO1_c0		Lipid / membrane				
SERt2r_c0		Amino-acid metabolism				
rxn08457_x0	rxn08457	Transport (inter-compartmental)				6.2.1.3
rxn00926_c0	rxn00926	Other / unassigned	R01244	rn00230	Purine metabolism	3.5.4.2
rxn13384_c0	rxn13384	Other / unassigned				
IPCS324_SC_c0		Other / unassigned				
rxn39072_r0	rxn39072	Other / unassigned				
rxn00615_c0	rxn00615	Glycolysis / gluconeogenesis	R00847	rn00561	Glycerolipid metabolism	2.7.1.30
rxn13375_c0	rxn13375	Lipid / membrane				
rxn00947_c0	rxn00947	Fatty-acid biosynthesis	R01280	rn00061;rn00071;rn01212	Fatty acid biosynthesis;Fatty acid degradation;Fatty acid metabolism	6.2.1.3
rxn09264_c0	rxn09264	Other / unassigned				2.3.1.57
rxn01783_c0	rxn01783	Other / unassigned	R02464	rn00600	Sphingolipid metabolism	4.1.2.27
rxn00420_c0	rxn00420	Amino-acid metabolism	R00582	rn00260;rn00680;rn01200;rn01230	Glycine, serine and threonine metabolism;Methane metabolism;Carbon metabolism;Biosynthesis of amino acids	3.1.3.3
rxn08435_c0	rxn08435	Fatty-acid biosynthesis				3.1.2.14
rxn08682_c0	rxn08682	Transport (inter-compartmental)				
rxn05736_c0	rxn05736	Cofactor / vitamin biosynthesis				6.2.1.3
rxn09465_x0	rxn09465	Other / unassigned				
rxn02835_c0	rxn02835	Other / unassigned	R04037	rn00340;rn01110;rn01230	Histidine metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	3.5.4.19
rxn01800_c0	rxn01800	Other / unassigned	R02485	rn00240	Pyrimidine metabolism	3.5.4.14|3.5.4.5
rxn09422_m0	rxn09422	Fatty-acid biosynthesis				
rxn06151_c0	rxn06151	Cell-wall polysaccharide				3.5.1.41
rxn08704_c0	rxn08704	Transport (inter-compartmental)				
rxn01226_c0	rxn01226	Other / unassigned	R01677	rn00230	Purine metabolism	3.2.2.1|3.2.2.8
rxn02938_c0	rxn02938	Other / unassigned	R04209	rn00230;rn01110	Purine metabolism;Biosynthesis of secondary metabolites	4.1.1.21
rxn08444_x0	rxn08444	Other / unassigned	R08174	rn01040	Biosynthesis of unsaturated fatty acids	3.1.2.2
rxn30056_c0	rxn30056	Cofactor / vitamin biosynthesis				2.5.1.9
rxn06434_m0	rxn06434	Amino-acid metabolism	R03648	rn00970	Aminoacyl-tRNA biosynthesis	6.1.1.22
rxn09843_x0	rxn09843	Transport (inter-compartmental)				
rxn00943_x0	rxn00943	β-oxidation (peroxisomal)	R01274	rn00062;rn01040;rn01212	Fatty acid elongation;Biosynthesis of unsaturated fatty acids;Fatty acid metabolism	3.1.2.2|3.1.2.22
rxn09499_m0	rxn09499	Amino-acid metabolism				
rxn00274_c0	rxn00274	Amino-acid metabolism	R00371	rn00260	Glycine, serine and threonine metabolism	2.3.1.29
rxn01808_c0	rxn01808	Other / unassigned	R02494	rn00750	Vitamin B6 metabolism	3.1.3.74
rxn09864_c0	rxn09864	Transport (inter-compartmental)				
rxn35571_c0	rxn35571	Amino-acid metabolism	R04591	rn00230;rn01110	Purine metabolism;Biosynthesis of secondary metabolites	6.3.2.6
rxn01825_c0	rxn01825	Other / unassigned	R02519	rn00350;rn00643	Tyrosine metabolism;Styrene degradation	1.13.11.5
rxn09742_c0	rxn09742	Transport (inter-compartmental)				
rxn15113_c0	rxn15113	Other / unassigned	R01055	rn00240	Pyrimidine metabolism	4.2.1.70
rxn09567_c0	rxn09567	Cofactor / vitamin biosynthesis				1.2.1.1
rxn09739_c0	rxn09739	Transport (inter-compartmental)				
rxn09469_x0	rxn09469	Other / unassigned				
rxn08453_x0	rxn08453	Transport (inter-compartmental)				6.2.1.3
rxn01127_c0	rxn01127	Nucleotide metabolism	R01547	rn00230	Purine metabolism	2.7.4.11|2.7.4.3
rxn09729_c0	rxn09729	Transport (inter-compartmental)				
rxn00709_c0	rxn00709	Nucleotide metabolism	R00964	rn00240	Pyrimidine metabolism	2.7.1.48
rxn30439_c0	rxn30439	Cofactor / vitamin biosynthesis	R02135	rn00730	Thiamine metabolism	3.1.3.-|3.1.3.100|3.1.3.2
rxn00829_c0	rxn00829	Other / unassigned	R01121	rn00900;rn01110	Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites	4.1.1.33
rxn11322_c0	rxn11322	Transport (inter-compartmental)				
rxn13386_c0	rxn13386	Other / unassigned				
rxn13378_c0	rxn13378	Lipid / membrane				
rxn00029_c0	rxn00029	Other / unassigned	R00036	rn00860;rn01110	Porphyrin and chlorophyll metabolism;Biosynthesis of secondary metabolites	4.2.1.24
rxn09471_x0	rxn09471	Other / unassigned				
3C3HMPtm_c0		Transport (inter-compartmental)				
rxn30014_c0	rxn30014	Other / unassigned				
rxn09615_c0	rxn09615	Other / unassigned				
rxn01509_c0	rxn01509	Nucleotide metabolism	R02090	rn00230	Purine metabolism	2.7.4.12|2.7.4.8
rxn05310_c0	rxn05310	Transport (inter-compartmental)				
rxn08172_c0	rxn08172	Other / unassigned				
rxn00100_c0	rxn00100	Other / unassigned	R00130	rn00770	Pantothenate and CoA biosynthesis	2.7.1.24
rxn05508_c0	rxn05508	Oxidative phosphorylation / ETC				
rxn13347_c0	rxn13347	Other / unassigned				
rxn28356_c0	rxn28356	Other / unassigned	R02611	rn00360	Phenylalanine metabolism	1.1.1.1|1.1.1.90
ACACT9p_x0		Other / unassigned				
rxn08028_c0	rxn08028	Transport (inter-compartmental)				
rxn01438_c0	rxn01438	Cofactor / vitamin biosynthesis	R01960	rn00380	Tryptophan metabolism	1.14.13.9
rxn01416_c0	rxn01416	Other / unassigned	R01931	rn00920	Sulfur metabolism	2.8.1.1
rxn02297_c0	rxn02297	Amino-acid metabolism	R03210	rn00780	Biotin metabolism	2.3.1.47
rxn13149_c0	rxn13149	Other / unassigned				
rxn05093_c0	rxn05093	Other / unassigned	R07365	rn00920	Sulfur metabolism	1.13.11.55
rxn05144_c0	rxn05144	Amino-acid metabolism	R07456	rn00750	Vitamin B6 metabolism	
rxn09810_c0	rxn09810	Transport (inter-compartmental)				
rxn09607_c0	rxn09607	Other / unassigned				
rxn09606_c0	rxn09606	Other / unassigned				
rxn11720_c0	rxn11720	Other / unassigned	R08185	rn01040	Biosynthesis of unsaturated fatty acids	3.1.2.-
rxn10638_c0	rxn10638	Fatty-acid biosynthesis				
rxn05148_c0	rxn05148	Transport (inter-compartmental)				
rxn05255_c0	rxn05255	Transport (inter-compartmental)				
rxn10147_c0	rxn10147	Other / unassigned				3.6.3.33
rxn05687_c0	rxn05687	Transport (inter-compartmental)				
rxn12666_c0	rxn12666	Transport (inter-compartmental)				
TRP_malcoa_c0r0		Transport (inter-compartmental)				
TRP_strcoa_c0r0		Transport (inter-compartmental)				
TRP_nadh_c0r0		Transport (inter-compartmental)				
EXP_c20coa_r0c0		Other / unassigned				
EXP_c22coa_r0c0		Other / unassigned				
EXP_c24coa_r0c0		Other / unassigned				
TRP_sphinganine_r0c0		Transport (inter-compartmental)				
TRP_phytosphingosine_r0c0		Transport (inter-compartmental)				
TRP_hxccoa_r0c0		Transport (inter-compartmental)				
EX_cpd03847_e0		Exchange				
EX_cpd00393_e0		Exchange				
EX_cpd16883_e0		Exchange				
EX_cpd00006_e0		Exchange				
EX_cpd01499_e0		Exchange				
EX_cpd03221_e0		Exchange				
EX_cpd00032_e0		Exchange				
EX_cpd00017_e0		Exchange				
EX_ocdcya-e_e0		Exchange				
EX_cpd00104_e0		Exchange				
EX_cpd00264_e0		Exchange				
EX_cpd00119_e0		Exchange				
EX_cpd00132_e0		Exchange				
EX_cpd00081_e0		Exchange				
EX_cpd00069_e0		Exchange				
EX_cpd00306_e0		Exchange				
EX_cpd00033_e0		Exchange				
EX_cpd00229_e0		Exchange				
EX_cpd00210_e0		Exchange				
EX_cpd00507_e0		Exchange				
EX_cpd16888_e0		Exchange				
EX_cpd15240_e0		Exchange				
EX_cpd00288_e0		Exchange				
EX_cpd00438_e0		Exchange				
EX_cpd00040_e0		Exchange				
EX_cpd01080_e0		Exchange				
EX_cpd00277_e0		Exchange				
EX_cpd09068_e0		Exchange				
EX_cpd01741_e0		Exchange				
EX_cpd00035_e0		Exchange				
EX_cpd01170_e0		Exchange				
EX_cpd00644_e0		Exchange				
EX_cpd00041_e0		Exchange				
EX_cpd00023_e0		Exchange				
EX_cpd16884_e0		Exchange				
EX_cpd00508_e0		Exchange				
EX_cpd01092_e0		Exchange				
EX_cpd00151_e0		Exchange				
EX_cpd00121_e0		Exchange				
EX_cpd00220_e0		Exchange				
EX_cpd00028_e0		Exchange				
EX_cpd00215_e0		Exchange				
EX_cpd00357_e0		Exchange				
EX_orn-e_e0		Exchange				
EX_cpd00280_e0		Exchange				
EX_cpd00307_e0		Exchange				
EX_cpd00128_e0		Exchange				
EX_cpd16896_e0		Exchange				
EX_cpd11966_e0		Exchange				
EX_cpd11608_e0		Exchange				
EX_cpd11601_e0		Exchange				
EX_cpd03279_e0		Exchange				
EX_cpd00053_e0		Exchange				
EX_cpd00098_e0		Exchange				
EX_cpd00214_e0		Exchange				
EX_cpd00108_e0		Exchange				
EX_cpd00066_e0		Exchange				
EX_cpd00654_e0		Exchange				
EX_cpd00054_e0		Exchange				
EX_cpd16885_e0		Exchange				
EX_cpd16880_e0		Exchange				
EX_cpd00417_e0		Exchange				
EX_cpd16873_e0		Exchange				
EX_cpd00558_e0		Exchange				
EX_cpd00185_e0		Exchange				
EX_cpd02755_e0		Exchange				
EX_cpd03198_e0		Exchange				
EX_cpd00218_e0		Exchange				
EX_cpd03481_e0		Exchange				
EX_cpd04534_e0		Exchange				
EX_cpd00092_e0		Exchange				
EX_cpd00281_e0		Exchange				
EX_cpd00794_e0		Exchange				
EX_cpd00226_e0		Exchange				
EX_cpd00084_e0		Exchange				
EX_cpd11624_e0		Exchange				
EX_cpd00036_e0		Exchange				
EX_cpd00902_e0		Exchange				
EX_cpd00338_e0		Exchange				
EX_cpd00138_e0		Exchange				
EX_cpd16877_e0		Exchange				
EX_cpd10408_e0		Exchange				
EX_cpd00704_e0		Exchange				
EX_cpd01646_e0		Exchange				
EX_cpd00065_e0		Exchange				
EX_cpd00367_e0		Exchange				
EX_cpd00154_e0		Exchange				
EX_cpd00322_e0		Exchange				
EX_cpd00388_e0		Exchange				
EX_cpd00764_e0		Exchange				
EX_cpd00073_e0		Exchange				
EX_cpd15269_e0		Exchange				
EX_cpd16874_e0		Exchange				
EX_cpd00266_e0		Exchange				
EX_cpd00060_e0		Exchange				
EX_cpd04533_e0		Exchange				
EX_cpd01107_e0		Exchange				
EX_cpd00221_e0		Exchange				
EX_cpd10515_e0		Exchange				
EX_cpd00056_e0		Exchange				
EX_cpd00971_e0		Exchange				
EX_cpd00118_e0		Exchange				
EX_cpd00246_e0		Exchange				
EX_cpd00205_e0		Exchange				
EX_cpd00635_e0		Exchange				
EX_cpd00050_e0		Exchange				
EX_cpd00184_e0		Exchange				
EX_cpd15237_e0		Exchange				
EX_cpd00047_e0		Exchange				
EX_cpd00048_e0		Exchange				
EX_cpd00224_e0		Exchange				
EX_cpd00182_e0		Exchange				
EX_cpd11791_e0		Exchange				
EX_cpd01217_e0		Exchange				
EX_cpd00111_e0		Exchange				
EX_cpd00355_e0		Exchange				
EX_cpd00051_e0		Exchange				
EX_cpd00105_e0		Exchange				
EX_cpd00309_e0		Exchange				
EX_cpd00156_e0		Exchange				
EX_cpd00013_e0		Exchange				
EX_cpd00311_e0		Exchange				
EX_cpd00100_e0		Exchange				
EX_cpd16872_e0		Exchange				
EX_cpd00800_e0		Exchange				
EX_cpd00045_e0		Exchange				
EX_cpd01187_e0		Exchange				
EX_cpd01031_e0		Exchange				
EX_cpd00443_e0		Exchange				
EX_cpd14514_e0		Exchange				
EX_cpd00039_e0		Exchange				
EX_cpd03561_e0		Exchange				
EX_cpd11822_e0		Exchange				
EX_cpd00179_e0		Exchange				
EX_cpd16803_e0		Exchange				
EX_cpd00107_e0		Exchange				
EX_cpd01188_e0		Exchange				
EX_cpd00793_e0		Exchange				
EX_cpd00129_e0		Exchange				
EX_cpd00024_e0		Exchange				
EX_cpd00042_e0		Exchange				
EX_cpd00464_e0		Exchange				
EX_cpd00207_e0		Exchange				
EX_cpd00305_e0		Exchange				
EX_cpd00162_e0		Exchange				
EX_cpd02027_e0		Exchange				
EX_cpd00249_e0		Exchange				
EX_ptd1ino-SC-e_e0		Exchange				
EX_cpd00412_e0		Exchange				
EX_cpd00161_e0		Exchange				
EX_cpd00486_e0		Exchange				
SK_cpd02701_c0		Sink / demand				
rxn00735_c0	rxn00735	Cofactor / vitamin biosynthesis	R00994	rn00290;rn00660;rn01210;rn01230	Valine, leucine and isoleucine biosynthesis;C5-Branched dibasic acid metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	1.1.1.85
rxn08043_m0	rxn08043	Glycolysis / gluconeogenesis	R08648	rn00290;rn01110;rn01210;rn01230	Valine, leucine and isoleucine biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.2.1.6
rxn08764_m0	rxn08764	Other / unassigned				1.1.1.86
rxn03437_m0	rxn03437	Other / unassigned	R05070	rn00290;rn01110;rn01210;rn01230	Valine, leucine and isoleucine biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	4.2.1.9
rxn02186_m0	rxn02186	Cofactor / vitamin biosynthesis	R03051	rn00770	Pantothenate and CoA biosynthesis	1.1.1.86
rxn00898_m0	rxn00898	Other / unassigned	R01209	rn00770	Pantothenate and CoA biosynthesis	4.2.1.9
rxn12193_c0	rxn12193	Other / unassigned	R10170	rn01210;rn01230	2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	4.2.1.33
rxn00527_c0	rxn00527	Amino-acid metabolism	R00734	rn00130;rn00350;rn00400;rn00401;rn00950;rn01110;rn01210;rn01230	Ubiquinone and other terpenoid-quinone biosynthesis;Tyrosine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Novobiocin biosynthesis;Isoquinoline alkaloid biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.6.1.1|2.6.1.5|2.6.1.57|2.6.1.9
rxn00527_m0	rxn00527	TCA cycle	R00734	rn00130;rn00350;rn00400;rn00401;rn00950;rn01110;rn01210;rn01230	Ubiquinone and other terpenoid-quinone biosynthesis;Tyrosine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Novobiocin biosynthesis;Isoquinoline alkaloid biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.6.1.1|2.6.1.5|2.6.1.57|2.6.1.9
rxn00527_x0	rxn00527	Amino-acid metabolism	R00734	rn00130;rn00350;rn00400;rn00401;rn00950;rn01110;rn01210;rn01230	Ubiquinone and other terpenoid-quinone biosynthesis;Tyrosine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Novobiocin biosynthesis;Isoquinoline alkaloid biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.6.1.1|2.6.1.5|2.6.1.57|2.6.1.9
rxn02508_c0	rxn02508	Other / unassigned	R03509	rn00400;rn01110;rn01230	Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	5.3.1.24
rxn01927_c0	rxn01927	Other / unassigned	R02665	rn00380	Tryptophan metabolism	1.13.11.6
rxn02465_m0	rxn02465	Cofactor / vitamin biosynthesis	R03443	rn00330;rn01110;rn01210;rn01230	Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	1.2.1.38
rxn03175_c0	rxn03175	Other / unassigned	R04640	rn00340;rn01110;rn01230	Histidine metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	5.3.1.16
rxn02466_m0	rxn02466	Other / unassigned	R03444	rn00300;rn01210;rn01230	Lysine biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	4.2.1.114
rxn03034_m0	rxn03034	Other / unassigned	R04371	rn00300;rn01210;rn01230	Lysine biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	4.2.1.114|4.2.1.36
rxn09638_c0	rxn09638	Other / unassigned				
rxn01663_c0	rxn01663	Amino-acid metabolism	R02315	rn00300;rn00310;rn01110;rn01230	Lysine biosynthesis;Lysine degradation;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	1.5.1.10
rxn05035_c0	rxn05035	Amino-acid metabolism	R07274	rn00270;rn01230	Cysteine and methionine metabolism;Biosynthesis of amino acids	2.5.1.65
rxn01816_c0	rxn01816	Amino-acid metabolism	R02508			2.5.1.48
rxn00950_c0	rxn00950	Cell-wall polysaccharide	R01285			4.4.1.8
rxn08703_c0	rxn08703	Cell-wall polysaccharide				2.1.1.10
rxn00692_c0	rxn00692	Amino-acid metabolism	R00945	rn00260;rn00460;rn00630;rn00670;rn00680;rn01110;rn01200;rn01230	Glycine, serine and threonine metabolism;Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;One carbon pool by folate;Methane metabolism;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	2.1.2.1
rxn00692_m0	rxn00692	Amino-acid metabolism	R00945	rn00260;rn00460;rn00630;rn00670;rn00680;rn01110;rn01200;rn01230	Glycine, serine and threonine metabolism;Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;One carbon pool by folate;Methane metabolism;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	2.1.2.1
rxn11084_c0	rxn11084	Other / unassigned				
rxn05107_c0	rxn05107	Other / unassigned	R07395	rn00270	Cysteine and methionine metabolism	3.1.3.77
rxn05091_c0	rxn05091	Other / unassigned	R07363	rn00270	Cysteine and methionine metabolism	1.13.11.53
rxn05092_c0	rxn05092	Other / unassigned	R07364	rn00270	Cysteine and methionine metabolism	1.13.11.54
rxn13209_c0	rxn13209	Other / unassigned				4.1.1.1
rxn01840_c0	rxn01840	Cofactor / vitamin biosynthesis	R02536	rn00360;rn00643	Phenylalanine metabolism;Styrene degradation	1.2.1.39|1.2.1.5
rxn00522_c0	rxn00522	Amino-acid metabolism	R00729	rn00350;rn00400;rn00950	Tyrosine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Isoquinoline alkaloid biosynthesis	1.4.3.2
