rxn_id	seed_base	pathway_bucket	kegg_reaction	kegg_pathway_id	kegg_pathway_name	ec_number
rxn00178_c0	rxn00178	Other / unassigned	R00238	rn00071;rn00072;rn00280;rn00310;rn00362;rn00380;rn00620;rn00630;rn00640;rn00650;rn00720;rn00900;rn01110;rn01200;rn01212	Fatty acid degradation;Synthesis and degradation of ketone bodies;Valine, leucine and isoleucine degradation;Lysine degradation;Benzoate degradation;Tryptophan metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Butanoate metabolism;Carbon fixation pathways in prokaryotes;Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid metabolism	2.3.1.9
rxn09665_c0	rxn09665	Transport (inter-compartmental)				
rxn06936_c0	rxn06936	Amino-acid metabolism	R05577	rn00970	Aminoacyl-tRNA biosynthesis	6.1.1.12|6.1.1.23
rxn02473_c0	rxn02473	Other / unassigned	R03457	rn00340;rn01110;rn01230	Histidine metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	4.2.1.19
rxn00912_c0	rxn00912	Cofactor / vitamin biosynthesis	R01226	rn00770;rn01110	Pantothenate and CoA biosynthesis;Biosynthesis of secondary metabolites	2.1.2.11
VALt2r_c0		Amino-acid metabolism				
rxn13398_c0	rxn13398	Transport (inter-compartmental)				
3OPHB5Hm_c0		Other / unassigned				
rxn01479_c0	rxn01479	Other / unassigned	R02038	rn00564	Glycerophospholipid metabolism	2.7.7.14
rxn01274_m0	rxn01274	Other / unassigned	R01736	rn00620	Pyruvate metabolism	3.1.2.6
rxn02264_c0	rxn02264	Other / unassigned	R03165	rn00860;rn01110	Porphyrin and chlorophyll metabolism;Biosynthesis of secondary metabolites	4.2.1.75
TAGL_SC_c0		Fatty-acid biosynthesis				
rxn15467_m0	rxn15467	Other / unassigned	R04441	rn00290;rn01110;rn01210;rn01230	Valine, leucine and isoleucine biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	4.2.1.9
rxn09839_c0	rxn09839	Transport (inter-compartmental)				
rxn13258_e0	rxn13258	Fatty-acid biosynthesis				
HISt2r_c0		Amino-acid metabolism				
rxn03240_x0	rxn03240	Other / unassigned	R04738	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	4.2.1.17|4.2.1.74
rxn28987_c0	rxn28987	Other / unassigned	R02864	rn00860;rn01110	Porphyrin and chlorophyll metabolism;Biosynthesis of secondary metabolites	4.99.1.4
rxn00947_x0	rxn00947	β-oxidation (peroxisomal)	R01280	rn00061;rn00071;rn01212	Fatty acid biosynthesis;Fatty acid degradation;Fatty acid metabolism	6.2.1.3
rxn00560_c0	rxn00560	Other / unassigned	R00774	rn00330	Arginine and proline metabolism	6.3.4.6
rxn09296_c0	rxn09296	Other / unassigned				1.11.1.-
NMNt2p_c0		Transport (inter-compartmental)				
rxn00839_c0	rxn00839	Other / unassigned	R01137	rn00230	Purine metabolism	2.7.4.6
