rxn_id	name	subsystem	equation	flux_pFBA	top_candidates	top_candidate_expr
H2Otm_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0		H2O <=> H2O	-76.32714854463458	(no candidates in same subsystem)	
rxn09121_c0	phosphate transport cytosol/mito		Phosphate <=> Phosphate	50.869849061850566	(no candidates in same subsystem)	
rxn05467_c0	CO2 transporter via diffusion_c0		CO2 <=> CO2	-26.991444590740315	(no candidates in same subsystem)	
EX_cpd00011_e0	Exchange for CO2		CO2 --> 	26.991444590740315	(no candidates in same subsystem)	
rxn05319_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0		H2O <=> H2O	-26.14283382879493	(no candidates in same subsystem)	
EX_cpd00001_e0	Exchange for H2O		H2O <=> 	24.14283382879493	(no candidates in same subsystem)	
rxn05468_c0	TRANS-RXNAVI-26568.ce_c0		O2 <=> O2	15.324196673313864	(no candidates in same subsystem)	
EX_cpd00007_e0	Exchange for O2		O2 <=> 	-15.324196673313864	(no candidates in same subsystem)	
O2tm_c0	TRANS-RXNAVI-26568.ce_m0		O2 <=> O2	14.311207155335708	(no candidates in same subsystem)	
CO2tm_c0	CO2 transporter via diffusion_m0		CO2 <=> CO2	-7.860455906528777	(no candidates in same subsystem)	
rxn09121_m0	Inorganic phosphate transporter		Phosphate <=> Phosphate	-6.368628441842902	(no candidates in same subsystem)	
PIt2r_c0	Inorganic phosphate transporter_c0		Phosphate + H+ <=> Phosphate + H+	-5.473638736428782	(no candidates in same subsystem)	
rxn09648_c0	6-phospho-D-glucono-1,5-lactone endoplasmic reticular transport via diffusion_g0		6-phospho-D-glucono-1-5-lactone <=> 6-phospho-D-glucono-1-5-lactone_r0	-5.166596286271826	(no candidates in same subsystem)	
rxn00604_r0	D-glucose-6-phosphate:NADP+ 1-oxidoreductase_r0		NADP_r0 + D-glucose-6-phosphate_r0 --> NADPH_r0 + H+_r0 + 6-phospho-D-glucono-1-5-lactone_r0	5.166596286271825	(no candidates in same subsystem)	
rxn08570_c0	glucose 6-phosphate transport via diffusion (extracellular to periplasm)_g0		D-glucose-6-phosphate <=> D-glucose-6-phosphate_r0	5.166596286271825	(no candidates in same subsystem)	
