rxn_id	name	subsystem	equation	flux_pFBA	top_candidates	top_candidate_expr
H2Otm_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0		H2O <=> H2O	-12.827779831804168	(no candidates in same subsystem)	
rxn09121_c0	phosphate transport cytosol/mito		Phosphate <=> Phosphate	12.318539374677297	(no candidates in same subsystem)	
EX_cpd00011_e0	Exchange for CO2		CO2 --> 	2.752417729023073	(no candidates in same subsystem)	
rxn05467_c0	CO2 transporter via diffusion_c0		CO2 <=> CO2	-2.752417729023073	(no candidates in same subsystem)	
EX_cpd00007_e0	Exchange for O2		O2 <=> 	-2.5795924346386787	(no candidates in same subsystem)	
rxn05468_c0	TRANS-RXNAVI-26568.ce_c0		O2 <=> O2	2.5795924346386787	(no candidates in same subsystem)	
O2tm_c0	TRANS-RXNAVI-26568.ce_m0		O2 <=> O2	2.466950208605913	(no candidates in same subsystem)	
EX_cpd00281_e0	Exchange for GABA_e0		GABA_e0 --> 	-2.0	(no candidates in same subsystem)	
EX_cpd00067_e0	Exchange for H+		H+ <=> 	-1.6637729831946504	(no candidates in same subsystem)	
EX_cpd00013_e0	Exchange for NH3_e0		NH3_e0 <=> 	1.6498459744263192	(no candidates in same subsystem)	
rxn05319_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0		H2O <=> H2O	-1.6452436580801115	(no candidates in same subsystem)	
EX_cpd00001_e0	Exchange for H2O		H2O <=> 	1.6452436580801115	(no candidates in same subsystem)	
CO2tm_c0	CO2 transporter via diffusion_m0		CO2 <=> CO2	-0.9937664978003806	(no candidates in same subsystem)	
rxn05582_c0	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_m0		Glycine_c0 + H+ <=> Glycine_m0 + H+	0.8373847849081901	(no candidates in same subsystem)	
rxn09648_c0	6-phospho-D-glucono-1,5-lactone endoplasmic reticular transport via diffusion_g0		6-phospho-D-glucono-1-5-lactone <=> 6-phospho-D-glucono-1-5-lactone_r0	-0.574969434586951	(no candidates in same subsystem)	
rxn08570_c0	glucose 6-phosphate transport via diffusion (extracellular to periplasm)_g0		D-glucose-6-phosphate <=> D-glucose-6-phosphate_r0	0.5749694345869509	(no candidates in same subsystem)	
