rxn_id	name	subsystem	equation	flux_pFBA	top_candidates	top_candidate_expr
H2Otm_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0		H2O <=> H2O	-11.435101369473186	(no candidates in same subsystem)	
rxn09121_c0	phosphate transport cytosol/mito		Phosphate <=> Phosphate	9.44854022364646	(no candidates in same subsystem)	
rxn05467_c0	CO2 transporter via diffusion_c0		CO2 <=> CO2	-4.419024006530417	(no candidates in same subsystem)	
EX_cpd00011_e0	Exchange for CO2		CO2 --> 	4.419024006530417	(no candidates in same subsystem)	
EX_cpd00007_e0	Exchange for O2		O2 <=> 	-2.17168580876745	(no candidates in same subsystem)	
rxn05468_c0	TRANS-RXNAVI-26568.ce_c0		O2 <=> O2	2.17168580876745	(no candidates in same subsystem)	
O2tm_c0	TRANS-RXNAVI-26568.ce_m0		O2 <=> O2	2.051887103977861	(no candidates in same subsystem)	
EX_cpd00023_e0	Exchange for L-Glutamate_e0		L-Glutamate_e0 --> 	-2.0	(no candidates in same subsystem)	
EX_cpd00067_e0	Exchange for H+		H+ <=> 	-2.0	(no candidates in same subsystem)	
EX_cpd00013_e0	Exchange for NH3_e0		NH3_e0 <=> 	1.627599700236884	(no candidates in same subsystem)	
CO2tm_c0	CO2 transporter via diffusion_m0		CO2 <=> CO2	-1.4168432059785134	(no candidates in same subsystem)	
rxn05319_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0		H2O <=> H2O	-1.3685736884807478	(no candidates in same subsystem)	
EX_cpd00001_e0	Exchange for H2O		H2O <=> 	1.3685736884807478	(no candidates in same subsystem)	
rxn05301_c0	TRANS-RXNBWI-115637.ce.maizeexp.TYR_TYR_m0		H+ + L-Tyrosine_c0 <=> H+ + L-Tyrosine_m0	-1.1496103260014452	(no candidates in same subsystem)	
rxn09802_c0	3-(4-hydroxyphenyl)pyruvate mitochondrial transport via proton symport_m0		H+ + p-hydroxyphenylpyruvate_c0 <=> H+ + p-hydroxyphenylpyruvate_m0	1.1496103260014452	(no candidates in same subsystem)	
GLXtp_c0	glyoxylate transport, peroxisomal_x0		Glyoxalate_c0 <=> Glyoxalate	-1.0361670147629838	(no candidates in same subsystem)	
