rxn_id	name	subsystem	equation	flux_pFBA	top_candidates	top_candidate_expr
H2Otm_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0		H2O <=> H2O	-33.15803569028352	(no candidates in same subsystem)	
rxn09121_c0	phosphate transport cytosol/mito		Phosphate <=> Phosphate	31.59095618396776	(no candidates in same subsystem)	
EX_cpd00011_e0	Exchange for CO2		CO2 --> 	11.156620751157195	(no candidates in same subsystem)	
rxn05467_c0	CO2 transporter via diffusion_c0		CO2 <=> CO2	-11.156620751157195	(no candidates in same subsystem)	
EX_cpd00013_e0	Exchange for NH3_e0		NH3_e0 <=> 	8.175747499519163	(no candidates in same subsystem)	
EX_cpd00067_e0	Exchange for H+		H+ <=> 	-6.62002571070723	(no candidates in same subsystem)	
rxn05468_c0	TRANS-RXNAVI-26568.ce_c0		O2 <=> O2	5.785732956678435	(no candidates in same subsystem)	
EX_cpd00007_e0	Exchange for O2		O2 <=> 	-5.785732956678435	(no candidates in same subsystem)	
O2tm_c0	TRANS-RXNAVI-26568.ce_m0		O2 <=> O2	5.461935546675795	(no candidates in same subsystem)	
CO2tm_c0	CO2 transporter via diffusion_m0		CO2 <=> CO2	-4.0964678309009335	(no candidates in same subsystem)	
EX_cpd00001_e0	Exchange for H2O		H2O <=> 	1.8170066408518173	(no candidates in same subsystem)	
rxn05319_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0		H2O <=> H2O	-1.8170066408518173	(no candidates in same subsystem)	
rxn05469_m0	Pyruvate transport via proton symport_m0		Pyruvate + H+ <=> Pyruvate + H+	-1.709571066315453	(no candidates in same subsystem)	
rxn09648_c0	6-phospho-D-glucono-1,5-lactone endoplasmic reticular transport via diffusion_g0		6-phospho-D-glucono-1-5-lactone <=> 6-phospho-D-glucono-1-5-lactone_r0	-1.6514785852504354	(no candidates in same subsystem)	
rxn08570_c0	glucose 6-phosphate transport via diffusion (extracellular to periplasm)_g0		D-glucose-6-phosphate <=> D-glucose-6-phosphate_r0	1.6514785852504354	(no candidates in same subsystem)	
rxn00604_r0	D-glucose-6-phosphate:NADP+ 1-oxidoreductase_r0		NADP_r0 + D-glucose-6-phosphate_r0 --> NADPH_r0 + H+_r0 + 6-phospho-D-glucono-1-5-lactone_r0	1.6514785852504352	(no candidates in same subsystem)	
rxn05582_c0	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_m0		Glycine_c0 + H+ <=> Glycine_m0 + H+	1.5714655962053106	(no candidates in same subsystem)	
rxn00088_c0	NADP+ 2'-phosphohydrolase_c0		H2O + NADP --> NAD + Phosphate	1.550377189019264	(no candidates in same subsystem)	
rxn30341_m0	CustomReaction_m0		CoA + S-Succinyldihydrolipoamide --> Succinyl-CoA + Dihydrolipoamide	1.2707606925174428	(no candidates in same subsystem)	
rxn05217_c0	TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_L-ASPARTATE_m0		L-Aspartate + H+ <=> L-Aspartate + H+	-0.953658796554062	(no candidates in same subsystem)	
