rxn_id	name	subsystem	equation	flux_pFBA	top_candidates	top_candidate_expr
SK_cpd02701_c0	Sink for S-Adenosyl-4-methylthio-2-oxobutanoate_c0		S-Adenosyl-4-methylthio-2-oxobutanoate_c0 --> 	0.0170842678083106	(no candidates in same subsystem)	
EX_cpd00764_e0	Exchange for 7-8-Diaminononanoate_e0		7-8-Diaminononanoate_e0 --> 	0.016964831334873	(no candidates in same subsystem)	
rxn09689_c0	Transport of 7,8-diaminononanoate, extracellular_c0		H+ + 7-8-Diaminononanoate_e0 <=> H+ + 7-8-Diaminononanoate_c0	-0.016964831334873	(no candidates in same subsystem)	
rxn05307_c0	TRANS-RXNBWI-115637.ce.maizeexp.SER_SER_m0		L-Serine_c0 + H+ <=> L-Serine_m0 + H+	-0.0168583835779201	(no candidates in same subsystem)	
NH4tm_c0	TRANS-RXN-173.ce_m0		NH3 <=> NH3_m0	-0.0168583835779201	(no candidates in same subsystem)	
rxn05654_c0	Transport of succinate, extracellular_c0		Succinate_e0 + H+ <=> Succinate + H+	-0.0168002180153742	(no candidates in same subsystem)	
EX_cpd00036_e0	Exchange for Succinate_e0		Succinate_e0 --> 	0.0168002180153742	(no candidates in same subsystem)	
rxn13238_c0	ceramide-2 (C26) endoplasmic reticular transport_g0		Ceramide-2 Phytosphingosine:n-C26:0)_c0 <=> Ceramide-2 Phytosphingosine:n-C26:0)_r0	-0.0159746283222793	(no candidates in same subsystem)	
TRP_phytosphingosine_r0c0	Phytosphingosine transport r0→c0		Phytosphingosine_r0 <=> Phytosphingosine_c0	-0.0159746283222793	(no candidates in same subsystem)	
bio_gsm	biomass [from GSM]		59.276 H2O + 59.276 ATP + 0.0002 NAD + 0.0002 NADP + 0.0002 CoA + 0.0002 FAD_c0 + 0.008 Pyridoxal phosphate_c0 + 0.008 S-Adenosyl-L-methionine_c0 + 0.046 AMP + 0.3018 L-Glutamate + 0.2904 Glycine_c0 + 0.4588 L-Alanine + 0.2862 L-Lysine_c0 + 0.2975 L-Aspartate + 0.0447 CMP_c0 + 0.02 Sulfate_c0 + 0.1607 L-Arginine_c0 + 0.1054 L-Glutamine + 0.1854 L-Serine_c0 + 0.0002 TPP + 0.0507 L-Methionine_c0 + 0.0284 L-Tryptophan_c0 + 0.1339 L-Phenylalanine_c0 + 0.102 L-Tyrosine_c0 + 0.0066 L-Cysteine_c0 + 0.008 Tetrahydrofolate_c0 + 0.0599 UMP_c0 + 0.008 BIOT_c0 + 0.2964 L-Leucine_c0 + 0.0663 L-Histidine_c0 + 0.046 GMP_c0 + 0.1647 L-Proline_c0 + 0.1017 L-Asparagine_c0 + 0.3 Glycogen + 0.2646 L-Valine_c0 + 0.1914 L-Threonine_c0 + 0.00316 dCMP_c0 + 0.0001 Riboflavin_c0 + 0.00284 dAMP_c0 + 0.00316 dGMP_c0 + 0.00284 dTMP_c0 + 0.2 cpd00314_c0 + 0.1927 L-Isoleucine_c0 + 0.008 5-Methyltetrahydrofolate_c0 + 0.0002 Siroheme_c0 + 0.0001 PAN_c0 + 0.0234 TRHL_c0 + 0.0001 Ergosterol_c0 + 0.0015 Zymosterol_c0 + 0.0002 hemeA_m0 + 0.0001 Lecithin_c0 + 0.0001 Triglyceride_c0 + 0.05 Chitin_c0 + 0.8079 Mannan_c0 + 1.1348 1,3-beta-Glucan_c0 + 0.0001 1-Phosphatidyl-myo-inositol_c0 + 0.05 1,3-alpha-D-Glucan_c0 + 0.001 cpd12744_c0 + 0.0001 Episterol_c0 + 0.00334 Inositol phosphorylceramide, ceramide-3 (26C), yeast-specific_c0 + 0.000259 mannose-(inositol-P)2-ceramide, ceramide-1 (24C), yeast-specific_c0 + 0.000265 mannose-(inositol-P)2-ceramide, ceramide-1 (26C), yeast-specific_c0 + 0.000262 mannose-(inositol-P)2-ceramide, ceramide-2 (24C), yeast-specific_c0 + 0.000268 mannose-(inositol-P)2-ceramide, ceramide-2 (26C), yeast-specific_c0 + 0.000266 mannose-(inositol-P)2-ceramide, ceramide-3 (24C), yeast-specific_c0 + 0.004616 mannose-(inositol-P)2-ceramide, ceramide-3 (26C), yeast-specific_c0 + 0.002476 mannose-inositol phosphorylceramide, ceramide-3 (26C)_c0 + 0.0001 Phosphatidate, yeast-specific_c0 + 0.0002 Ubiquinone-6 + 0.0001 ps_BS_c0 + 0.0001 psetha_BS_c0 --> 59.276 ADP + 59.305 Phosphate + 58.70001 H+	0.0149295591797003	(no candidates in same subsystem)	
rxn09510_c0	Dolichyl-phosphate D-mannosyltransferase_g0		GDP-mannose_c0 + Dolichyl phosphate_c0 --> GDP + Dolichyl phosphate D-mannose_r0	0.0120615908612799	(no candidates in same subsystem)	
rxn09642_c0	mannan endoplasmic reticulum transport via diffusion_g0		Mannan_c0 <=> Mannan_r0	-0.0120615908612799	(no candidates in same subsystem)	
