rxn_id	name	subsystem	equation	flux_pFBA	top_candidates	top_candidate_expr
rxn08747_c0	L-isoleucine transport via diffusion (extracellular to periplasm)_m0		L-Isoleucine_m0 --> L-Isoleucine_c0	0.0142717853025792	(no candidates in same subsystem)	
rxn13195_c0	2obut transporter (mitochondrial)_m0		2-Oxobutyrate <=> 2-Oxobutyrate_m0	0.0142717853025792	(no candidates in same subsystem)	
rxn02374_c0	R03314_c0		L-Glutamate5-semialdehyde_c0 <=> H2O + H+ + 1-Pyrroline-5-carboxylate_c0	0.0121980437951987	(no candidates in same subsystem)	
ORNt3m_c0	Ornithine mitochondrial transport via proton antiport		H+ + cpd19016_m0 <=> H+ + Ornithine_c0	0.0119017950084301	(no candidates in same subsystem)	
TRP_sphinganine_r0c0	Sphinganine transport r0→c0		Sphinganine_r0 <=> Sphinganine_c0	-0.0077913430920152	(no candidates in same subsystem)	
rxn13235_c0	ceramide-1 (C24) endoplasmic reticular transport_g0		Ceramide-1 Sphinganine:n-C24:0)_c0 <=> Ceramide-1 Sphinganine:n-C24:0)_r0	-0.005828694879673	(no candidates in same subsystem)	
rxn03175_c0	N-(5'-Phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase_c0		phosphoribosylformiminoaicar-phosphate_c0 --> phosphoribulosylformimino-AICAR-phosphate_c0	0.0043178260671529	(no candidates in same subsystem)	
rxn09584_c0	mannose-inositol phosphorylceramide synthase (ceramide-2, 26C), yeast-specific_c0		GDP-mannose_c0 + 0.01 Inositol phosphorylceramide, ceramide-2 (26C), yeast-specific_c0 --> GDP + H+ + 0.01 mannose-inositol phosphorylceramide, ceramide-2 (26C), yeast-specific_c0	0.0019848668713498	(no candidates in same subsystem)	
rxn09583_c0	mannose-inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific_c0		GDP-mannose_c0 + 0.01 Inositol phosphorylceramide, ceramide-3 (24C), yeast-specific_c0 --> GDP + H+ + 0.01 mannose-inositol phosphorylceramide, ceramide-3 (24C), yeast-specific_c0	0.0019700544320114	(no candidates in same subsystem)	
rxn09586_c0	mannose-inositol phosphorylceramide synthase (ceramide-1, 26C), yeast-specific_c0		GDP-mannose_c0 + 0.01 Inositol phosphorylceramide, ceramide-1 (26C), yeast-specific_c0 --> GDP + H+ + 0.01 mannose-inositol phosphorylceramide, ceramide-1 (26C), yeast-specific_c0	0.0019626482123422	(no candidates in same subsystem)	
rxn13236_c0	ceramide-1 (C26) endoplasmic reticular transport_g0		Ceramide-1 Sphinganine:n-C26:0)_c0 <=> Ceramide-1 Sphinganine:n-C26:0)_r0	-0.0019626482123422	(no candidates in same subsystem)	
rxn09585_c0	mannose-inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific_c0		GDP-mannose_c0 + 0.01 Inositol phosphorylceramide, ceramide-2 (24C), yeast-specific_c0 --> GDP + H+ + 0.01 mannose-inositol phosphorylceramide, ceramide-2 (24C), yeast-specific_c0	0.0019404295533345	(no candidates in same subsystem)	
