rxn_id	name	subsystem	gpr	expr_linear	eflux_scale	flux_baseline	flux_eflux	dflux
rxn05301_c0	TRANS-RXNBWI-115637.ce.maizeexp.TYR_TYR_m0					0.0	0.0	0.0
rxn09609_c0	Ceramide-1 hydroxylase (24C)_c0		gene_11213 or gene_31	95346771.2044125	0.006282646381539075	0.00505487389162357	0.005054873891623577	6.938893903907228e-18
rxn05244_c0	TRANS-RXNBWI-115637.ce.maizeexp.ILE_ILE_c0		gene_12204			0.00242572	0.00242572	0.0
rxn00913_c0	Guanosine 5'-monophosphate phosphohydrolase_c0					0.0	0.0	0.0
rxn02914_c0	3-Phosphoserine:2-oxoglutarate aminotransferase_c0		gene_8144	84115370.89685918	0.005542580245994873	0.1683434919276668	0.1683434919276883	2.1510571102112408e-14
rxn05209_c0	TRANS-RXNBWI-115525.ce.maizeexp.NA+_NA+_c0		gene_3662	30260981.48155924	0.0019939746611801435	0.0	0.0	0.0
rxn12919_c0	RXN3O-227.c_c0		gene_5143 or gene_5397	153021700.70947674	0.010082997275264398	0.0	0.0	0.0
rxn02063_r0	squalene,NADPH:oxygen oxidoreductase (2,3-epoxidizing)_r0		gene_5143 or gene_3496	153021700.70947674	0.010082997275264398	0.00016275162151060734	0.0001627516215106076	2.439454888092385e-19
rxn20476_x0	3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal_x0		gene_2331 or gene_7220	425781955.1422406	0.028055878830590478	0.0	0.0	0.0
rxn06447_c0	L-Threonine:tRNA(Thr) ligase (AMP-forming)_c0		gene_6744	154660225.71798334	0.010190963943518802	0.0	0.0	0.0
rxn00124_c0	ATP:pyridoxal 5'-phosphotransferase_c0		gene_8846	90400934.87063883	0.005956752380582809	7.67113e-05	7.67113e-05	0.0
rxn13354_c0	Mannose-inositol phosphorylceramide, ceramide-1 (26C) phospholipase C_c0		gene_5890			0.0	0.0	0.0
CO2tp_c0	CO2 transporter via diffusion_x0					0.0	0.0	0.0
rxn13342_c0	Lyso-phosphatidylcholine acyltransferase acyltransferase, yeast-specific_c0		gene_2347			0.0	0.0	0.0
rxn08065_c0	adenine transport via diffusion (extracellular to periplasm)_m0					0.0	0.0	0.0
rxn32479_c0	Glutamate-5-semialdehyde dehydrogenase_c0		gene_2036	75567809.41811751	0.0049793592211290205	0.0	0.0	0.0
PMI12346PH_c0	5 diphosphoinositol 1 2 3 4 6 pentakisphosphate diphosphohydrolase		gene_6037			0.0	0.0	0.0
O2tm_c0	TRANS-RXNAVI-26568.ce_m0					3.101471619156138	3.1014716191560425	-9.547918011776346e-14
rxn03445_c0	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase_c0		gene_8144	84115370.89685918	0.005542580245994873	0.0	0.0	0.0
rxn13236_c0	ceramide-1 (C26) endoplasmic reticular transport_g0					-0.002537010570606526	-0.0025370105706065296	-3.469446951953614e-18
rxn09617_c0	cytochrome P450 lanosterol 14-alpha-demethylase (NADP)_c0		gene_5143 or gene_4061 or gene_11718	153021700.70947674	0.010082997275264398	0.0	0.0	0.0
rxn03892_m0	R05613_m0		gene_11727	6419970.105377275	0.00042302850366757834	1.914724958948337e-05	1.914724958948337e-05	0.0
rxn01746_c0	Allantoate amidinohydrolase_c0		gene_3806	48850684.29656625	0.0032188984593253455	0.0	0.0	0.0
PYRDC2_c0	Pyruvate decarboxylase  acetoin forming 		gene_7361	588777280.7804655	0.038796064155097676	0.0	0.0	0.0
rxn09853_x0	fatty acid peroxisomal transport via ABC system_x0		gene_10045 or gene_11634	55428648.197616756	0.003652337584518471	0.0	0.0	0.0
rxn30430_c0	ribonucleoside-diphosphate reductase (CDP), nuclear_c0		gene_47 or gene_2076 or gene_9237	15176211649.374285	1.0	0.0	0.0	0.0
rxn13360_c0	NADP transporter_c0					0.0	0.0	0.0
CO2tm_c0	CO2 transporter via diffusion_m0					-1.6681843756380526	-1.6681843756366264	1.426192497433476e-12
rxn06936_m0	L-Aspartate:tRNA(Asp) ligase (AMP-forming)_m0		gene_3432	44098976.905670695	0.0029057961185912228	0.0	0.0	0.0
rxn30391_m0	homocitrate synthase_m0					0.024855564162550487	0.024855564162550522	3.469446951953614e-17
rxn09474_x0	acyl-CoA oxidase (hexacanoyl-CoA), peroxisomal_x0		gene_1810	86230620.62874764	0.00568195954438359	0.0	0.0	0.0
rxn06280_c0	L-Tyrosine:tRNA(Tyr) ligase (AMP-forming)_c0		gene_1196	203467178.0051551	0.013406980787167925	0.0	0.0	0.0
rxn13257_c0	Acyl-CoA:ergosterol acyltransferase, yeast-specific_c0		gene_7067 or gene_7466	13929229.498035448	0.0009178331074876483	0.0	0.0	0.0
rxn02201_m0	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_m0		gene_2704	28073346.15686169	0.0018498256880872608	0.0	0.0	0.0
rxn02160_c0	L-Histidinol-phosphate phosphohydrolase_c0		gene_4721	52024623.4416801	0.0034280375526935325	0.004033454555334357	0.004033454555334365	7.806255641895632e-18
rxn02666_c0	R03758_c0					0.0	0.0	0.0
rxn05582_c0	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_m0					0.0003063559934317315	0.0003063559934317319	4.336808689942018e-19
rxn01501_c0	(R)-Mevalonate:NADP+ oxidoreductase (CoA acylating)_c0		gene_3103			-0.001148834975368994	-0.0011488349753689955	-1.5178830414797062e-18
rxn13410_c0	L-tyrosine N-formyltransferase_c0		gene_977			0.0	0.0	0.0
rxn13311_m0	Heme O monooxygenase, mitochondrial_m0		gene_12589 or gene_7612 or gene_353 or gene_5893	206929864.33715197	0.013635146182590548	1.9147249589483218e-05	1.9147249589483245e-05	2.710505431213761e-20
rxn09431_c0	fatty-acyl-CoA synthase (n-C16:0CoA)_c0		gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063	2044382185.2284021	0.13470965168785665	0.23522396120680134	0.23522396120680164	3.0531133177191805e-16
GSNt2m_c0	TRANS-RXNBWI-115572.ce.maizeexp.GUANOSINE_GUANOSINE_m0					0.0	0.0	0.0
rxn09761_c0	fatty-acyl-ACP mitochondrial transport_m0					0.0	0.0	0.0
rxn13395_c0	sirohydrochlorin dehydrogenase_c0		gene_1218	77371666.86813577	0.005098220073342599	1.9147249589483218e-05	1.9147249589483245e-05	2.710505431213761e-20
rxn30044_c0	Ornithine Decarboxylase_c0		gene_5526			0.0	0.0	0.0
rxn20480_x0	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA), peroxisomal_x0		gene_2331 or gene_7220	425781955.1422406	0.028055878830590478	0.0	0.0	0.0
ATPtp_H_c0	ADP/ATP transporter, mitochondrial_x0		gene_12199	58410714.30239393	0.003848833664941817	0.0	0.0	0.0
rxn08067_m0	adentylate kinase (ITP)_m0		gene_7383			0.0	0.0	0.0
rxn05308_c0	Pantothenate reversible transport via proton symport_c0		gene_9493			2.8720874384462638e-05	2.872087438409489e-05	-3.6774782437992704e-16
rxn30057_c0	riboflavin synthase_c0		gene_6102	838969057.1188858	0.05528185007577147	2.5026674384224825e-05	2.5026674384224866e-05	4.0657581468206416e-20
rxn01265_c0	Nicotinate D-ribonucleotide:diphosphate phosphoribosyltransferase_c0		gene_6824	243732668.5433356	0.016060178532986174	0.0	0.0	0.0
rxn09487_m0	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial_m0		gene_2608	210663975.24720556	0.013881196448383166	0.0	0.0	0.0
rxn03245_x0	(S)-Hydroxydecanoyl-CoA hydro-lyase_x0		gene_2331 or gene_7999 or gene_2093	425781955.1422406	0.028055878830590478	0.0	0.0	0.0
rxn00649_c0	O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase_c0		gene_11438 or gene_4548 or gene_11855	151055264.91282564	0.009953423713555922	0.0	0.0	0.0
rxn09286_c0	taurine transport via diffusion (extracellular to periplasm)_c0					0.0	0.0	0.0
rxn09456_c0	R08163_c0		gene_12865 or gene_313	611307669.1863863	0.04028064996125634	0.0	0.0	0.0
rxn29991_c0	argininosuccinate synthase_c0		gene_9929	276352716.13170373	0.018209598186718603	0.009121935045149765	0.009121935045149786	2.0816681711721685e-17
rxn01291_c0	L-Arabitol:NADP+ 1-oxidoreductase_c0		gene_11124	161099598.3308209	0.010615270928793552	0.0	0.0	0.0
rxn00061_c0	ATP diphosphohydrolase (phosphate-forming)_c0		gene_12109			0.0	0.0	0.0
rxn03241_x0	(S)-3-Hydroxytetradecanoyl-CoA hydro-lyase_x0		gene_2331 or gene_7999 or gene_2093	425781955.1422406	0.028055878830590478	0.0	0.0	0.0
LYSt2r_c0	TRANS-RXN-58.cp_c0		gene_12204			0.00254415	0.00254415	0.0
rxn09561_c0	3',5'-cyclic-nucleotide phosphodiesterase 2_c0		gene_581	44663911.39941445	0.002943021119585924	0.0	0.0	0.0
rxn00022_c0	maltose glucohydrolase_c0		gene_8420	20103934.154833116	0.0013247004337648388	0.0	0.0	0.0
rxn00116_c0	UDP phosphohydrolase_c0		gene_12109			0.0	0.0	0.0
rxn00792_c0	biotin:CoA ligase (AMP-forming)_c0		gene_9972	68399688.1596321	0.004507033094945814	0.0	0.0	0.0
rxn06538_m0	10-Formyltetrahydrofolate:L-methionyl-tRNA N-formyltransferase_m0		gene_1965	46886819.86559732	0.0030894943315798095	0.0	0.0	0.0
rxn09578_c0	Sphingoid long chain base kinase 4_c0		gene_9205	136957005.94795787	0.009024452815509107	0.0	0.0	0.0
FA181ACPtm_c0	Fatty acyl ACP mitochondrial transport					0.0	0.0	0.0
rxn29990_c0	argininosuccinate lyase_c0		gene_5005 or gene_9929 or gene_7393	276352716.13170373	0.018209598186718603	0.009121935045149765	0.009121935045149786	2.0816681711721685e-17
rxn13365_c0	Oxaloacetate transport_c0					0.0	0.0	0.0
rxn00437_c0	ATP:thiamine-diphosphate phosphotransferase_c0		gene_6040 or gene_8746	602563742.2029029	0.039704489903298536	0.0	0.0	0.0
rxn00914_c0	ATP:guanosine 5'-phosphotransferase_c0					0.0	0.0	0.0
rxn13196_c0	2-phenylethanol reversible transport_c0					0.0	0.0	0.0
rxn09639_c0	squalene endoplamic reticular transport_g0					0.00016275162151060734	0.0001627516215106076	2.439454888092385e-19
rxn13396_c0	sphinganine 1-phosphate endoplasmic reticular transport_g0					0.0	0.0	0.0
rxn09765_c0	D-erythrose 4-phosphate mtiochondrial transport via diffusion_m0					0.0	0.0	0.0
rxn10791_c0	GTP diphosphohydrolase_c0		gene_12109			0.0	0.0	0.0
rxn03224_m0	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase_m0		gene_3869 or gene_12639 or gene_11580 or gene_11038 or gene_9719 or gene_2152 or gene_12934	88810226.12212731	0.005851936449883984	1.914724958948337e-05	1.914724958948337e-05	0.0
rxn01043_c0	xylitol:NADP+ oxidoreductase_c0		gene_11124	161099598.3308209	0.010615270928793552	0.0	0.0	0.0
rxn00100_m0	ATP:dephospho-CoA 3'-phosphotransferase_m0		gene_13023	91457732.62140273	0.006026387529009819	0.0	0.0	0.0
rxn13329_c0	inositol phosphorylceramide, ceramide-2 (26C) phospholipase C_c0		gene_5890			0.0	0.0	0.0
rxn13332_c0	Isopentenyl diphosphate transport, mitochondrial_m0					1.914724958948337e-05	1.914724958948337e-05	0.0
rxn00686_m0	5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase_m0		gene_10181	17573950.2176663	0.0011579932214763802	0.0	0.0	0.0
rxn08318_c0	Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm)_x0					0.0	0.0	0.0
