condition	capacity	rxn_id	name	subsystem	flux	ceiling	expr_norm
onetenth	0.3	rxn05312_c0	Inorganic phosphate transporter_m0		0.0064	0.0064	0.0213
onetenth	0.1	rxn00198_m0	Isocitrate:NADP+ oxidoreductase (decarboxylating)		-0.00278	0.00278	0.0278
onetenth	0.1	rxn00168_c0			0.00114	0.00114	0.0114
onetenth	0.1	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.00096	0.00096	0.0096
onetenth	0.1	rxn01106_c0	2-Phospho-D-glycerate 2,3-phosphomutase_c0		-0.00212	0.00212	0.0212
onetenth	0.1	rxn00616_m0	CustomReaction_m0		0.00151	0.00151	0.0151
onetenth	0.1	rxn09780_c0	ADP/ATP transporter, mitochondrial_c0		0.00613	0.00613	0.0613
onetenth	0.1	rxn13211_c0	Acetaldehyde condensation[c0]		-0.00018	0.00018	0.0018
onetenth	0.1	rxn00533_c0	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0		0.00112	0.00112	0.0112
onetenth	0.1	rxn05312_c0	Inorganic phosphate transporter_m0		0.00213	0.00213	0.0213
